
[00:00:00.000 --> 00:00:05.800]  大家剛才聽到我們這次新的年度崇拜廣道主題
[00:00:05.800 --> 00:00:09.360]  會特別提到誠實作主門徒
[00:00:09.360 --> 00:00:10.560]  我們會小心讀
[00:00:10.560 --> 00:00:13.400]  是《馬太福音》五至七章
[00:00:13.400 --> 00:00:16.200]  主耶穌登山補訓的經文
[00:00:16.200 --> 00:00:18.800]  主吩咐我們作他的門徒
[00:00:18.800 --> 00:00:20.200]  我們都在這段時間
[00:00:20.200 --> 00:00:24.480]  大家一齊追求更深的得著
[00:00:24.480 --> 00:00:28.520]  而教會有的中央整體查經的材料
[00:00:28.520 --> 00:00:30.200]  都是集中於這個方向
[00:00:30.200 --> 00:00:32.000]  研讀《馬太福音》
[00:00:32.000 --> 00:00:35.000]  題目就是「同去作主的門徒」
[00:00:35.000 --> 00:00:36.320]  所以在今年之內
[00:00:36.320 --> 00:00:37.680]  求神都帶領我們
[00:00:37.680 --> 00:00:40.120]  是真實地作主的門徒
[00:00:40.120 --> 00:00:41.520]  不如我們大家再一起祈禱
[00:00:41.520 --> 00:00:43.520]  我們再將時間交給主
[00:00:43.520 --> 00:00:52.880]  主耶穌我們到祢面前敬拜祢
[00:00:52.880 --> 00:00:54.920]  主讓祢有永生之道
[00:00:54.920 --> 00:00:58.800]  我們不跟隨祢 跟隨誰呢?
[00:00:58.800 --> 00:01:00.000]  主我們感謝祢
[00:01:00.000 --> 00:01:02.400]  不單止祢在祢天上的寶座
[00:01:02.400 --> 00:01:04.480]  掌管萬有
[00:01:04.480 --> 00:01:07.520]  祢更加樂意與我們同在
[00:01:07.520 --> 00:01:08.960]  在人生的路上
[00:01:08.960 --> 00:01:13.160]  引領我們走平安 蒙福的路
[00:01:13.160 --> 00:01:15.560]  也帶領我們進入永恆
[00:01:15.560 --> 00:01:17.120]  因為祢的應許
[00:01:17.120 --> 00:01:19.560]  不單單是地上的平安
[00:01:19.560 --> 00:01:22.600]  更加是永遠的救恩
[00:01:22.600 --> 00:01:23.920]  主我們到祢面前
[00:01:23.920 --> 00:01:27.320]  再次敬拜祢 尊崇祢
[00:01:27.320 --> 00:01:29.720]  萬有都是為祢而做
[00:01:29.720 --> 00:01:31.840]  亦都是靠祢而做
[00:01:31.840 --> 00:01:35.000]  我們都理當尊崇祢
[00:01:35.000 --> 00:01:35.720]  所以這段時間
[00:01:35.720 --> 00:01:36.720]  當我們打開聖經
[00:01:36.720 --> 00:01:38.720]  思想祢的說話的時候
[00:01:38.720 --> 00:01:41.840]  求主的靈引導我們的心思
[00:01:41.840 --> 00:01:45.400]  幫助我們明白 又聽從
[00:01:45.400 --> 00:01:46.640]  我們祈禱
[00:01:46.640 --> 00:01:48.720]  奉耶穌基督 聖名求
[00:01:48.720 --> 00:01:49.720]  阿們
[00:01:53.920 --> 00:01:55.480]  第七章的經文
[00:01:55.480 --> 00:01:56.800]  大家都會知道是
[00:01:56.800 --> 00:01:59.600]  主耶穌的登山部分
[00:01:59.600 --> 00:02:00.360]  這段經文
[00:02:00.360 --> 00:02:02.640]  大家可能有一部分會比較熟
[00:02:02.640 --> 00:02:05.720]  但我們這段日子會比較集中
[00:02:05.720 --> 00:02:07.720]  整體地去看
[00:02:07.720 --> 00:02:08.480]  在看的過程
[00:02:08.480 --> 00:02:10.120]  我們真的心裏很渴望
[00:02:10.120 --> 00:02:12.640]  神讓我們真實地明白
[00:02:12.640 --> 00:02:13.760]  和留心
[00:02:13.760 --> 00:02:16.120]  怎樣讓這些描述
[00:02:16.120 --> 00:02:18.400]  成為我們生命的實際
[00:02:18.400 --> 00:02:20.280]  和實況
[00:02:20.280 --> 00:02:21.920]  你讀回《馬太福音》第五章
[00:02:21.920 --> 00:02:23.560]  一開始的時候
[00:02:23.560 --> 00:02:27.760]  聖經就講到主耶穌的情況
[00:02:27.760 --> 00:02:31.920]  耶穌看見群眾就上了山
[00:02:31.920 --> 00:02:33.080]  他坐下之後
[00:02:33.080 --> 00:02:36.720]  門徒來到他跟前
[00:02:36.720 --> 00:02:40.120]  在當時有很多人擁擠著
[00:02:40.120 --> 00:02:43.720]  耶穌就特別走上去山上
[00:02:43.720 --> 00:02:45.000]  可能有幾個原因
[00:02:45.000 --> 00:02:47.920]  第一 或者祂想去一些高位的地方
[00:02:47.920 --> 00:02:51.000]  容易地向群眾說話
[00:02:51.000 --> 00:02:52.800]  又或者有其他原因就是
[00:02:52.800 --> 00:02:55.200]  祂會察覺到在群眾當中
[00:02:55.200 --> 00:02:58.280]  有一些只不過是臭熱鬧
[00:02:58.280 --> 00:02:59.200]  人家來了
[00:02:59.200 --> 00:03:00.000]  跟在一起
[00:03:00.000 --> 00:03:03.080]  看有甚麼好處利益都未定
[00:03:03.080 --> 00:03:05.520]  因此 耶穌去到山上
[00:03:05.520 --> 00:03:08.240]  可能某些人已經不再跟上祂
[00:03:08.240 --> 00:03:10.040]  但聖經特別提到
[00:03:10.040 --> 00:03:13.960]  當時門徒來到祂的跟前
[00:03:13.960 --> 00:03:16.760]  耶穌就開口向他們說話
[00:03:16.760 --> 00:03:18.800]  向哪些人說話呢?
[00:03:18.800 --> 00:03:21.760]  主耶穌所要教導的對象
[00:03:21.760 --> 00:03:25.280]  主要就是這一群的門徒
[00:03:25.280 --> 00:03:27.080]  可能你會想起聖經另一處地方
[00:03:27.080 --> 00:03:30.520]  《路加福音》第十四章有類似的經文
[00:03:30.520 --> 00:03:31.920]  講述到有一大群人
[00:03:31.920 --> 00:03:36.040]  他們都是跟隨著和耶穌同行
[00:03:36.040 --> 00:03:38.720]  在那個時候 耶穌轉身向他們
[00:03:38.720 --> 00:03:40.080]  本來在前面走
[00:03:40.080 --> 00:03:41.320]  突然轉身過來
[00:03:41.320 --> 00:03:45.000]  向著整個群眾說話
[00:03:45.000 --> 00:03:48.160]  祂說:如果你們哪一個不是愛我
[00:03:48.160 --> 00:03:51.680]  過於你們的父母、妻子、兒女
[00:03:51.680 --> 00:03:54.280]  弟兄姊妹和自己的性命
[00:03:54.280 --> 00:03:57.920]  就不能作我的門徒
[00:03:57.920 --> 00:04:00.200]  這句說話很震撼
[00:04:00.200 --> 00:04:01.840]  本來很開心一直跟著的時候
[00:04:01.840 --> 00:04:06.000]  突然間 耶穌好像要他們想清楚
[00:04:06.000 --> 00:04:09.680]  甚至好像要趕一些人走
[00:04:09.680 --> 00:04:11.240]  是要他們清楚考慮
[00:04:11.240 --> 00:04:15.560]  你是否願意愛主多過其他
[00:04:15.560 --> 00:04:17.520]  如果你沒有這樣的準備
[00:04:17.520 --> 00:04:20.640]  你大概可以不需要再跟隨
[00:04:20.640 --> 00:04:22.560]  我相信當時也有一些人
[00:04:22.560 --> 00:04:25.320]  在那個時候就離開了
[00:04:25.320 --> 00:04:27.520]  主要是清楚知道有些人的跟隨
[00:04:27.520 --> 00:04:31.840]  只不過可能是想得到一些好處
[00:04:31.840 --> 00:04:34.120]  或者只是湊熱鬧
[00:04:34.120 --> 00:04:35.760]  但是主清楚指出
[00:04:35.760 --> 00:04:37.480]  如果你要跟隨我
[00:04:37.480 --> 00:04:40.960]  就要預備去附上你自己
[00:04:40.960 --> 00:04:43.120]  去放下你自己
[00:04:43.120 --> 00:04:44.880]  很明顯主在當時
[00:04:44.880 --> 00:04:46.520]  沒有去呼召一些
[00:04:46.520 --> 00:04:50.400]  單單是口頭認順的人
[00:04:50.400 --> 00:04:53.560]  正如《四方書》不斷提到
[00:04:53.560 --> 00:04:57.360]  主耶穌呼召的對象是他的門徒
[00:04:57.360 --> 00:05:00.600]  門徒意味著是他的學生
[00:05:00.600 --> 00:05:04.320]  是願意按他所行的去行
[00:05:04.320 --> 00:05:08.040]  主今天同樣呼召人作他的門徒
[00:05:08.040 --> 00:05:11.120]  不單是信徒
[00:05:11.120 --> 00:05:12.840]  所以你會很明白
[00:05:12.840 --> 00:05:16.400]  有些人說「我相信你 主耶穌」
[00:05:16.400 --> 00:05:19.400]  但是主可以很清楚地告訴他們
[00:05:19.400 --> 00:05:21.760]  「那些說主啊主啊的人
[00:05:21.760 --> 00:05:25.480]  不能到進天國
[00:05:25.480 --> 00:05:28.960]  唯獨那些遵行我天父旨的人
[00:05:28.960 --> 00:05:31.360]  才能進去」
[00:05:31.360 --> 00:05:32.880]  那些人如果他們
[00:05:32.880 --> 00:05:35.520]  只不過在口裡說是主
[00:05:35.520 --> 00:05:37.480]  但是生活上實質沒有真正
[00:05:37.480 --> 00:05:41.600]  遵行主的指示來生活
[00:05:41.600 --> 00:05:44.000]  有一天可能要面對一個
[00:05:44.000 --> 00:05:45.920]  很嚴重的拒絕
[00:05:45.920 --> 00:05:48.640]  「你們不能進天國」
[00:05:48.640 --> 00:05:50.640]  有人說「我相信你」
[00:05:50.640 --> 00:05:52.320]  所以聖經看到後來的新約
[00:05:52.320 --> 00:05:54.400]  特別是《雅各書》提及
[00:05:54.400 --> 00:05:55.640]  雅各說
[00:05:55.640 --> 00:05:59.720]  「你們信神只有一位沒有錯
[00:05:59.720 --> 00:06:02.920]  但是你要知道魔鬼也相信
[00:06:02.920 --> 00:06:05.040]  只是賤經
[00:06:05.040 --> 00:06:08.040]  魔鬼也知道有一位天地獨一的真神
[00:06:08.040 --> 00:06:10.680]  但是他沒有去敬畏神
[00:06:10.680 --> 00:06:14.440]  沒有去聽從神的吩咐來生活
[00:06:14.440 --> 00:06:16.520]  他會賤經將來的審判
[00:06:16.520 --> 00:06:19.640]  但他仍然是違背神」
[00:06:19.640 --> 00:06:23.800]  很明顯魔鬼不會進入神的角度
[00:06:23.800 --> 00:06:25.160]  所以當主耶穌說到
[00:06:25.160 --> 00:06:26.560]  一些殺種的比喻
[00:06:26.560 --> 00:06:28.760]  你記得殺種的比喻嗎?
[00:06:28.760 --> 00:06:30.440]  種子殺到不同的地方
[00:06:30.440 --> 00:06:32.280]  有不同的反應
[00:06:32.280 --> 00:06:35.880]  殺到土踐石頭地上
[00:06:35.880 --> 00:06:39.400]  很快就起了一些苗
[00:06:39.400 --> 00:06:41.320]  因為土踐
[00:06:41.320 --> 00:06:44.920]  但是因為土踐根也不能夠紮得深
[00:06:44.920 --> 00:06:46.520]  所以日頭出來曬的時候
[00:06:46.520 --> 00:06:50.560]  意味著有些患難逼迫的時候
[00:06:50.560 --> 00:06:52.280]  那些草會怎樣?
[00:06:52.280 --> 00:06:56.400]  那些苗就會枯萎
[00:06:56.400 --> 00:06:56.880]  沒錯
[00:06:56.880 --> 00:06:58.680]  他很快速很開心接受
[00:06:58.680 --> 00:07:00.480]  可能覺得很有好處
[00:07:00.480 --> 00:07:03.080]  但因為沒有生命信仰的根
[00:07:03.080 --> 00:07:07.200]  所以很容易就會枯萎了
