
[00:00:00.000 --> 00:00:02.200]  各位聽衆,讓我們在聆聽主導而先,
[00:00:02.200 --> 00:00:05.800]  我們再次同心低頭禱告,仰望我們主耶穌的神。
[00:00:05.800 --> 00:00:08.840]  齋父神,多謝祢,
[00:00:08.840 --> 00:00:11.600]  讓我們能夠再次打開祢的說話,
[00:00:11.600 --> 00:00:14.160]  一起去對祢的啟示,
[00:00:14.160 --> 00:00:18.840]  對於祢的作為有更多的了解和譯聲。
[00:00:18.840 --> 00:00:21.000]  我們為此獻上感謝。
[00:00:21.000 --> 00:00:22.640]  求祢透過這段經文,
[00:00:22.640 --> 00:00:24.880]  今天我們所看的彈耳利書,
[00:00:24.880 --> 00:00:31.640]  讓我們去看看,上主祢怎樣對侍奉祢的人,
[00:00:31.640 --> 00:00:34.560]  在侍奉的過程當中,
[00:00:34.560 --> 00:00:39.160]  所面對的一些好像成功的個案,
[00:00:39.160 --> 00:00:43.160]  怎樣在當中面對一些侍奉上面,
[00:00:43.160 --> 00:00:47.520]  甚至靈性上面的一些挑戰和暗湧。
[00:00:47.520 --> 00:00:49.560]  求祢的幫助帶領,
[00:00:49.560 --> 00:00:58.600]  讓祢從祢的智慧去明辨我們今天所擔當的侍奉的角色。
[00:00:58.600 --> 00:01:01.120]  多謝祢給我們這份福氣,
[00:01:01.120 --> 00:01:03.880]  可以去更深的認識和了解。
[00:01:03.880 --> 00:01:08.000]  同心禱告,奉靠主耶穌基督得勝的名字而求。
[00:01:08.000 --> 00:01:09.360]  阿們。
[00:01:09.360 --> 00:01:13.200]  在很多的時候,
[00:01:13.200 --> 00:01:19.520]  我們會發覺到有些事情會使我們基督徒會覺得很興奮的。
[00:01:19.520 --> 00:01:25.040]  譬如在一個不信的世界裏面,
[00:01:25.040 --> 00:01:28.560]  突然間有一些不信主的人,
[00:01:28.560 --> 00:01:32.800]  他們的口當中去講述一些聖經說話,
[00:01:32.800 --> 00:01:35.960]  我們就會很驚訝,
[00:01:35.960 --> 00:01:39.200]  甚至覺得我們又勝一仗了。
[00:01:39.200 --> 00:01:43.880]  我很記得早幾年前,
[00:01:43.880 --> 00:01:47.960]  曾經有一次在電視裏面,
[00:01:47.960 --> 00:01:51.920]  由一個政府去做了一條新聞片,
[00:01:51.920 --> 00:01:54.760]  加拿大,所以你們不用擔心。
[00:01:54.760 --> 00:01:58.160]  這條新聞片是講述什麼呢?
[00:01:58.160 --> 00:02:05.960]  是講述一些人要愛惜生命,要工作等等。
[00:02:05.960 --> 00:02:12.320]  接著就引用了一段聖經裏面常常我們會聽見的說話,
[00:02:12.320 --> 00:02:15.920]  我們不單止要活得像主,
[00:02:15.920 --> 00:02:19.080]  我們還要活得更豐盛。
[00:02:19.080 --> 00:02:23.560]  當我們聽見這些聖經用詞,
[00:02:23.560 --> 00:02:26.120]  一發現在一個不信主的世界,
[00:02:26.120 --> 00:02:27.480]  甚至傳媒裏面,
[00:02:27.480 --> 00:02:31.160]  我們就會說,你看看我們基督教又勝一仗了,
[00:02:31.160 --> 00:02:35.120]  又在這個世界裏面能夠生出影響了,
[00:02:35.120 --> 00:02:40.560]  連一個不信主的世界的政府都願意引用聖經,
[00:02:40.560 --> 00:02:42.960]  我們不單止要活得精彩,
[00:02:42.960 --> 00:02:45.360]  甚至要活得更豐盛。
[00:02:46.920 --> 00:02:55.160]  這些情況很容易使我們基督徒會覺得既興奮,
[00:02:55.160 --> 00:02:58.160]  又好像成功,
[00:02:58.160 --> 00:03:04.960]  但其實實質上究竟原本用這句聖經的人,
[00:03:04.960 --> 00:03:10.560]  是不是真的用這種思想去希望將上帝的說話,
[00:03:10.560 --> 00:03:12.560]  上帝的信息傳開,
[00:03:12.560 --> 00:03:18.560]  還是一個利用來洗腦的工具呢?
[00:03:18.560 --> 00:03:20.560]  我經常都說,
[00:03:20.560 --> 00:03:24.560]  上帝的說話好像兩人的利劍一樣,
