
[00:00:00.000 --> 00:00:10.360]  兩個月前我遇到了一些困難。
[00:00:10.360 --> 00:00:15.920]  第一個問題是,當我思考喫的地方時,
[00:00:15.920 --> 00:00:21.200]  我會想到,我應該在一家中國餐廳裏喫飯嗎?
[00:00:21.200 --> 00:00:36.200]  有一回我真的想去喫中餐,可是難處就是,到底我應不應該去那個中餐店?
[00:00:36.200 --> 00:00:46.200]  因爲我看見那個中餐店門口就有一個祭拜偶像的一個供奉偶像的一個座談。
[00:00:46.200 --> 00:00:51.200]  第二個問題是我需要找到一個人。
[00:00:51.200 --> 00:00:59.200]  我找到這個人的唯一的地方就是在一家酒吧裏。
[00:00:59.200 --> 00:01:12.200]  另外有一次我必須去找一個人,可是只有在唯一一個地方可以尋訪到他的,是一個賣酒的酒吧。
[00:01:12.200 --> 00:01:24.200]  所以我的困難就是說,我到底應不應該走進去那個酒吧去找那位人,那個人?
[00:01:24.200 --> 00:01:40.200]  另外有一回我在爲一位準備結婚的年輕的弟兄姐妹,
[00:01:40.200 --> 00:01:45.200]  他們正在計劃一個婚禮,我給他們進行婚前輔導。
[00:01:45.200 --> 00:02:02.200]  他們跟我提到他們正在計劃一些婚禮之後的一些舞會和一些音樂等等。
[00:02:02.200 --> 00:02:19.200]  那我聽到就想到一個問題,像我做牧師的,我好不好去參與他們這個舞會呢?
[00:02:19.200 --> 00:02:25.200]  我曉得你們會很好奇我到底能不能跳嗎?
[00:02:25.200 --> 00:02:34.200]  我該怎麼辦呢?
[00:02:34.200 --> 00:02:46.200]  在我們的生活當中,是什麼支配你我的態度和行動?
[00:02:46.200 --> 00:02:57.200]  是不是我們根據別人對我的期待或者是我當時的感覺呢?
[00:02:57.200 --> 00:03:04.200]  或者是那個時候我想怎麼樣就怎麼樣?
[00:03:04.200 --> 00:03:10.200]  我們到底有沒有一些聖經上的經文的考量給我們做參考?
[00:03:17.200 --> 00:03:26.200]  你在做決定的過程當中你是怎麼樣的找到這個答案?
[00:03:26.200 --> 00:03:45.200]  今天早上我們要爲這一段經文是關於信徒的自由,在哥林多前書這裏面這一段經文,我們做一個總結。
[00:03:46.200 --> 00:04:10.200]  各位都記得,這段經文是由於哥林多教會的弟兄姐妹問保羅一個問題,到底我們可不可以喫那些祭拜過的肉?
