
[00:00:00.000 --> 00:00:03.000]  有機會跟大家分享整個說話
[00:00:03.000 --> 00:00:07.000]  如果大家有聖經,或者有手機,裡面有聖經的話
[00:00:07.000 --> 00:00:14.000]  可以遣返到這段聖經文,因為我們會多看一點上下文的一些說話
[00:00:14.000 --> 00:00:19.000]  大家有回過主學,都會聽過這個故事
[00:00:19.000 --> 00:00:23.000]  其實就這樣看來,就不需要很多的解釋
[00:00:23.000 --> 00:00:28.000]  耶和華的能力,大過巴力的能力
[00:00:28.000 --> 00:00:33.000]  但是看這段經文的時候,我們今天時間有限
[00:00:33.000 --> 00:00:36.000]  我們只是想問一兩個問題
[00:00:36.000 --> 00:00:41.000]  第一個問題就是為什麼這章這麼長
[00:00:41.000 --> 00:00:45.000]  今天其實我們沒有讀完整章聖經出來的
[00:00:45.000 --> 00:00:48.000]  讀完之後就不用怎麼說了
[00:00:48.000 --> 00:00:53.000]  但如果是讀的話,第十八章第一節到第十九節
[00:00:53.000 --> 00:01:02.000]  似乎用了一半的篇幅,去介紹一個不太重要的角色
[00:01:02.000 --> 00:01:09.000]  十八章第一節,以利亞奉命去見阿哈
[00:01:09.000 --> 00:01:15.000]  見阿哈王問題不是很大,只不過是跟他的手下交涉
[00:01:15.000 --> 00:01:18.000]  就用了很多的篇幅
[00:01:18.000 --> 00:01:25.000]  那些篇幅有點像是無聊的,浪費的一些說話
[00:01:25.000 --> 00:01:35.000]  僕人叫做柯巴底,有點像先知奧巴戴亞
[00:01:35.000 --> 00:01:41.000]  這個柯巴底的責任就是要傳話
[00:01:41.000 --> 00:01:45.000]  以利亞要見阿哈,就要經過這個僕人
[00:01:45.000 --> 00:01:49.000]  真的要我見他,要傳話
[00:01:49.000 --> 00:01:53.000]  搞了很久這段經文
[00:01:53.000 --> 00:01:57.000]  過了這些對話之後,第十節到第四十節
[00:01:57.000 --> 00:02:02.000]  才是真正我們說故事的高潮
[00:02:02.000 --> 00:02:06.000]  多數兒童聖經,如果記著這段說話
[00:02:06.000 --> 00:02:09.000]  就不會有第一節到第十九節了
[00:02:09.000 --> 00:02:12.000]  因為表面看來不是最重要的經文
[00:02:12.000 --> 00:02:15.000]  所以第一個問題要問,就是為什麼有十九節聖經在這裡
[00:02:15.000 --> 00:02:19.000]  為什麼有這麼長的引言去引介
[00:02:19.000 --> 00:02:24.000]  巴力與神爭鬥的一段說話
[00:02:24.000 --> 00:02:30.000]  第二個問題也是最根源的問題
[00:02:30.000 --> 00:02:34.000]  究竟以色列人要選什麼
[00:02:34.000 --> 00:02:40.000]  驟眼看來就是要選巴力和耶路華其中一個
[00:02:40.000 --> 00:02:45.000]  這是不是選擇的空間呢
[00:02:45.000 --> 00:02:52.000]  究竟這段聖經當時給以色列人的挑戰
[00:02:52.000 --> 00:02:54.000]  究竟是要選什麼
[00:02:54.000 --> 00:02:57.000]  我們知道有選擇,但不知道要選什麼
[00:02:57.000 --> 00:03:00.000]  是不是很多神在這裡,隨便選一個呢
[00:03:00.000 --> 00:03:03.000]  還是要選一個更威風的呢
