
[00:00:00.000 --> 00:00:03.980]  今天要講到的題目是基督將臨
[00:00:03.980 --> 00:00:05.100]  什麼意思呢?
[00:00:05.100 --> 00:00:08.260]  你有沒有聽過一個節日叫做將臨期?
[00:00:08.260 --> 00:00:11.220]  有的請舉手
[00:00:11.220 --> 00:00:12.760]  很多人都知道
[00:00:12.760 --> 00:00:14.780]  我想比我想像中多
[00:00:14.780 --> 00:00:16.420]  我以為在同福
[00:00:16.420 --> 00:00:18.480]  因為我們不是跟隨教會的日曆
[00:00:18.480 --> 00:00:20.440]  可能在同福的弟兄姊妹
[00:00:20.440 --> 00:00:22.340]  你未必聽過將臨期
[00:00:22.340 --> 00:00:24.340]  將臨期是什麼呢?
[00:00:24.340 --> 00:00:26.320]  英文就是advent
[00:00:26.320 --> 00:00:27.760]  拉丁語就是adventus
[00:00:27.760 --> 00:00:30.220]  意思就是即將來到
[00:00:30.220 --> 00:00:32.360]  等候耶穌基督的降臨
[00:00:32.360 --> 00:00:33.580]  就是告訴你
[00:00:33.580 --> 00:00:39.720]  原來在12月25日聖誕節之前的四個星期
[00:00:39.720 --> 00:00:42.300]  我們就正式進入將臨期了
[00:00:42.300 --> 00:00:44.940]  將臨期的第一個主日
[00:00:44.940 --> 00:00:47.660]  如果以今年來說就是12月3日
[00:00:47.660 --> 00:00:48.420]  OK?
[00:00:48.420 --> 00:00:50.080]  其實是兩個星期之前
[00:00:50.080 --> 00:00:52.200]  這篇道理應該是兩個星期之前講的
[00:00:52.200 --> 00:00:54.440]  不過因為兩個星期之前不是我講到
[00:00:54.440 --> 00:00:56.340]  所以就延遲了今天講
[00:00:56.720 --> 00:00:59.040]  原來根據教會曆
[00:00:59.040 --> 00:01:02.720]  將臨期是一年的開始
[00:01:02.720 --> 00:01:03.960]  是新年
[00:01:03.960 --> 00:01:06.540]  原來我們已經踏入了新年
[00:01:06.540 --> 00:01:08.820]  將臨期有四個星期
[00:01:08.820 --> 00:01:10.980]  四個星期有不同的主題
[00:01:10.980 --> 00:01:13.880]  第一個主日是講醒悟
[00:01:13.880 --> 00:01:16.320]  第二個主日是講悔改
[00:01:16.320 --> 00:01:18.320]  第三個主日是喜樂
[00:01:18.320 --> 00:01:20.560]  第四個主日是平安
[00:01:20.560 --> 00:01:25.040]  是一個很有意思的節期
[00:01:25.040 --> 00:01:27.720]  或者讓我們定時每一年
[00:01:27.720 --> 00:01:30.420]  都有幾個星期安靜在上帝面前
[00:01:30.420 --> 00:01:31.720]  真的再想想
[00:01:31.720 --> 00:01:33.560]  到底基督降生
[00:01:33.560 --> 00:01:36.160]  這個我們聽了這麼多次的故事
[00:01:36.160 --> 00:01:38.080]  其實對我們有什麼意義呢?
[00:01:38.080 --> 00:01:40.240]  有什麼值得我們再反省呢?
[00:01:40.240 --> 00:01:45.560]  如果你有機會去一些傳統禮儀的教會
[00:01:45.560 --> 00:01:47.760]  將臨期他們是有一些儀式的
[00:01:47.760 --> 00:01:49.180]  知不知道這個儀式是什麼?
[00:01:49.180 --> 00:01:51.040]  點蠟燭
[00:01:51.040 --> 00:01:52.820]  他們有四支蠟燭
[00:01:52.820 --> 00:01:55.500]  每個星期會點一支
[00:01:55.500 --> 00:01:57.720]  這張照片不是上網找的
[00:01:57.720 --> 00:01:59.900]  是上個星期我去澳門
[00:01:59.900 --> 00:02:01.720]  在澳門星期日
[00:02:01.720 --> 00:02:04.780]  經過一間教堂進去參觀
[00:02:04.780 --> 00:02:06.900]  有將臨期的擺設
[00:02:06.900 --> 00:02:10.320]  你會看到Doremi花有四支蠟燭
[00:02:10.320 --> 00:02:13.300]  中間上方那支是什麼顏色呢?
[00:02:13.300 --> 00:02:14.100]  看到嗎?
[00:02:14.100 --> 00:02:14.880]  粉紅色
[00:02:14.880 --> 00:02:19.100]  因為將臨期傳統的顏色是紫色
[00:02:19.100 --> 00:02:21.380]  紫色是代表君王
[00:02:21.380 --> 00:02:22.940]  可能代表基督的降生
[00:02:22.940 --> 00:02:24.940]  但是到了第三週
[00:02:24.940 --> 00:02:26.780]  顏色就是粉紅色
[00:02:26.780 --> 00:02:29.420]  因為那個被稱為喜樂的主人
[00:02:29.420 --> 00:02:32.020]  很希望你透過這件事情
[00:02:32.020 --> 00:02:35.020]  認識原來基督教除了有復活節
[00:02:35.020 --> 00:02:36.720]  有聖誕節
[00:02:36.720 --> 00:02:38.720]  還有將臨期
