
[00:00:00.000 --> 00:00:03.000]  在我們聽到之前有一個簡單的禱告
[00:00:03.000 --> 00:00:12.000]  多謝上主你帶領我們來到你的面前聆聽主的說話
[00:00:12.000 --> 00:00:18.000]  在這一刻求主給我們每一個人一個安靜的心
[00:00:18.000 --> 00:00:21.000]  願你自己的位置是住在我們的心裏面
[00:00:21.000 --> 00:00:25.000]  塑造我們的心,塑造我們的靈性
[00:00:26.000 --> 00:00:31.000]  也祝求主讓你的僕人講出從你以來的信息
[00:00:31.000 --> 00:00:36.000]  多謝上主聽我們的禱告,奉耶穌基督的名,阿彌陀佛
[00:00:36.000 --> 00:00:46.000]  今天最早是關愛州的宋敝主日
[00:00:46.000 --> 00:00:51.000]  或是宣教州的宋敝主日
[00:00:52.000 --> 00:00:56.000]  也是大齋期的第三個星期日
[00:00:56.000 --> 00:01:03.000]  我不知道你們的教會為什麼把關愛州放在大齋期的階段裏面
[00:01:03.000 --> 00:01:10.000]  可能是有些實在的原因
[00:01:10.000 --> 00:01:13.000]  但是我覺得當中很有智慧
[00:01:13.000 --> 00:01:16.000]  因為我們可以當這個大齋期的階段
[00:01:17.000 --> 00:01:22.000]  是一個耶穌入世的道路
[00:01:22.000 --> 00:01:29.000]  我們當然在這個大齋期的階段會紀念主耶穌基督的受苦的道路
[00:01:29.000 --> 00:01:32.000]  他從加利利去到耶路撒冷
[00:01:32.000 --> 00:01:38.000]  面對當局,面對那裏的權威
[00:01:38.000 --> 00:01:43.000]  直到最後受到死亡,被釘出十字架
[00:01:44.000 --> 00:01:48.000]  所以我們可以說大齋期的高峰期,當然是受苦節那一天
[00:01:48.000 --> 00:01:52.000]  但是我們可以暫時說,其實之後那一天,星期六
[00:01:52.000 --> 00:01:58.000]  照我們平時在一些教會的傳統裏面所念的使徒信經
[00:01:58.000 --> 00:02:03.000]  會覺得他當時就是錄到陰間
[00:02:03.000 --> 00:02:07.000]  避得一書第四章,第六章就相同說
[00:02:07.000 --> 00:02:12.000]  「死人也曾由福音傳給他們」
[00:02:13.000 --> 00:02:17.000]  我相信福音也是,耶穌就是死了之後
[00:02:17.000 --> 00:02:20.000]  在被釘出十字架之後,受苦之後
[00:02:20.000 --> 00:02:27.000]  就是錄到陰間,令那些在陰間當中的人
[00:02:27.000 --> 00:02:32.000]  聆聽到福音,或者得到釋放
[00:02:32.000 --> 00:02:35.000]  福音會帶領我們得到釋放
[00:02:35.000 --> 00:02:38.000]  所以我就是入監獄裏面
[00:02:38.000 --> 00:02:41.000]  雖然我沒有鎖匙帶領那些人走
[00:02:42.000 --> 00:02:45.000]  但是福音也可以令那些人得到釋放
[00:02:45.000 --> 00:02:49.000]  所以當我們,我就是說宣教
[00:02:49.000 --> 00:02:55.000]  我就會覺得宣教,我們很多時候就當是傳福音
[00:02:55.000 --> 00:02:59.000]  但是其實宣教的事功,這個mission
[00:02:59.000 --> 00:03:05.000]  就是多過只是傳福音,多過只是說話的一個動作
[00:03:05.000 --> 00:03:09.000]  而是一個入世的事功
[00:03:10.000 --> 00:03:14.000]  我們更入世,更加進入到人的痛苦裏面
[00:03:14.000 --> 00:03:19.000]  和那些人同行,這個就是上帝的宣教
[00:03:19.000 --> 00:03:22.000]  這個就是the mission of God
[00:03:22.000 --> 00:03:28.000]  所以我就覺得教會安排關雷州
[00:03:28.000 --> 00:03:32.000]  在大差期的階段是相當適合
[00:03:32.000 --> 00:03:35.000]  在這個主日我們就聽到一個
[00:03:36.000 --> 00:03:40.000]  《心禮經》第七章二十四節三十節
[00:03:40.000 --> 00:03:44.000]  我很記得我第一次聽到這個經文的時候
[00:03:44.000 --> 00:03:46.000]  我就覺得很難明白
[00:03:46.000 --> 00:03:49.000]  為什麼耶穌忽然間開始說狗
[00:03:49.000 --> 00:03:54.000]  聖經也不是經常說動物,很少會說狗
[00:03:54.000 --> 00:03:57.000]  為什麼耶穌就在這裏看著狗
[00:03:57.000 --> 00:04:01.000]  原來這個婦人很明顯就是
[00:04:01.000 --> 00:04:03.000]  掌握到她的意思是什麼
[00:04:04.000 --> 00:04:07.000]  但在現代的人最初不是很明白
[00:04:07.000 --> 00:04:13.000]  所以我當時和一個教會的弟兄一起查經的時候
[00:04:13.000 --> 00:04:19.000]  也有點額頭,要另外做一些查經才發現是什麼意思
[00:04:19.000 --> 00:04:23.000]  我相信你們當中可能有些人比我聰明
[00:04:23.000 --> 00:04:26.000]  會知道更多,但其實很簡單
[00:04:26.000 --> 00:04:30.000]  子女就是代表以色列人
[00:04:31.000 --> 00:04:34.000]  狗就是代表外邦人
[00:04:34.000 --> 00:04:37.000]  我一開始就是找到這個鑰匙
[00:04:37.000 --> 00:04:39.000]  整個故事都很清楚
[00:04:39.000 --> 00:04:43.000]  這就是看聖經的一個奇妙的事情
[00:04:43.000 --> 00:04:46.000]  就是你一看就可能有些東西不明白
[00:04:46.000 --> 00:04:48.000]  繼續看就了解多一點
[00:04:48.000 --> 00:04:50.000]  再繼續看就發現多一點
[00:04:50.000 --> 00:04:55.000]  所以聖經當然是每一次看就有新的解釋
[00:04:55.000 --> 00:04:59.000]  看到這個鑰匙就知道
[00:05:00.000 --> 00:05:05.000]  很清楚耶穌就是去一個陌生的地方
[00:05:05.000 --> 00:05:09.000]  然後祂就是去一個陌生的地方的屋裡
[00:05:09.000 --> 00:05:13.000]  那裡有一個婦人,伏伏在祂的面前
[00:05:13.000 --> 00:05:18.000]  叫祂,求祂,幫祂醫治祂的弟弟女兒
[00:05:18.000 --> 00:05:21.000]  耶穌看起來就是拒絕祂
[00:05:21.000 --> 00:05:25.000]  看起來我不知道,我遲些會再說這件事
[00:05:25.000 --> 00:05:27.000]  就是拒絕祂
[00:05:28.000 --> 00:05:31.000]  然後那個婦人就是堅持說
[00:05:31.000 --> 00:05:33.000]  我相信祢的恩典夠我用
[00:05:33.000 --> 00:05:35.000]  祢的恩典更豐富
[00:05:35.000 --> 00:05:43.000]  我應該令我的女兒也會得到醫治
[00:05:43.000 --> 00:05:46.000]  然後耶穌就說
[00:05:46.000 --> 00:05:49.000]  因為祢有這樣的信仰,祢就回去了
[00:05:49.000 --> 00:05:52.000]  祢的女兒就已經得到醫治
[00:05:52.000 --> 00:05:55.000]  然後祂回去看到祂的女兒就是健康的
[00:05:56.000 --> 00:05:59.000]  那是一個表面上關於醫治的故事
[00:05:59.000 --> 00:06:03.000]  又不是一個神經裡面關於醫治的故事
[00:06:03.000 --> 00:06:06.000]  其實醫治是一個經上的題目
[00:06:06.000 --> 00:06:11.000]  但是為什麼我覺得跟宣教很有關係
[00:06:11.000 --> 00:06:14.000]  有幾個原因
[00:06:14.000 --> 00:06:18.000]  第一方面就是我們在這個經文裡面看到
[00:06:18.000 --> 00:06:24.000]  耶穌祂自己也會跨過祂平時侍奉的地區
[00:06:25.000 --> 00:06:28.000]  在這個地圖裡面,我們看到下面黃色的是加勒尼
[00:06:28.000 --> 00:06:33.000]  大家知道耶穌主要是透過一段時間
[00:06:33.000 --> 00:06:36.000]  在加勒尼轉福音
[00:06:36.000 --> 00:06:41.000]  就是講道,鼓勵人,做醫治工作等等,行神式
[00:06:41.000 --> 00:06:46.000]  但是在這一刻,祂就離開祂屬的地方
[00:06:46.000 --> 00:06:49.000]  我們可以說祂離開祂的安全區
[00:06:49.000 --> 00:06:52.000]  宣教其實也跟這個有關係
[00:06:53.000 --> 00:06:56.000]  我們做宣教事工,我們要入世
[00:06:56.000 --> 00:06:59.000]  我們要離開我們平時很舒服的環境
[00:06:59.000 --> 00:07:02.000]  要離開安全區,入世
[00:07:02.000 --> 00:07:10.000]  祂就是去到西頓推羅,西頓境內的地方
[00:07:10.000 --> 00:07:13.000]  我上面圈了那些地方
[00:07:13.000 --> 00:07:16.000]  就是屬於今天的利品倫
[00:07:16.000 --> 00:07:20.000]  祂就在那裡進去一個陌生的屋
[00:07:21.000 --> 00:07:24.000]  我們除了這個地域上的界限
[00:07:24.000 --> 00:07:30.000]  我們看到耶穌在另外幾方面跨過人的界限
[00:07:30.000 --> 00:07:34.000]  當中有種族的界限,有宗教的界限,有性別的界限
[00:07:34.000 --> 00:07:36.000]  有價值觀的界限
[00:07:36.000 --> 00:07:43.000]  種族的界限就是祂跟一個非猶太教徒,非以色列人聊天
[00:07:43.000 --> 00:07:47.000]  那是不屬於我們的宗教信仰
[00:07:47.000 --> 00:07:50.000]  也不屬於耶穌的宗教信仰
[00:07:51.000 --> 00:07:56.000]  耶穌就是一個在見證的猶太教徒
[00:07:56.000 --> 00:07:59.000]  祂就是當時已經有一個社會的地位
[00:07:59.000 --> 00:08:03.000]  那些人是尊重祂,當祂是一個出名的老師
[00:08:03.000 --> 00:08:10.000]  他就是跟一個陌生的人,非神徒接觸
[00:08:10.000 --> 00:08:14.000]  傳統的人會說,你好像被污染了
[00:08:14.000 --> 00:08:16.000]  You will become dirty
[00:08:16.000 --> 00:08:19.000]  但是祂就沒有這個看法
[00:08:20.000 --> 00:08:24.000]  祂願意跨過人與人之間的界限
[00:08:24.000 --> 00:08:29.000]  相同跟一個非神徒,跟另一個種族的人接觸
[00:08:29.000 --> 00:08:31.000]  祂就不怕
[00:08:31.000 --> 00:08:33.000]  相同在最終的社會裏面
