
[00:00:00.000 --> 00:00:11.000]  各位親愛的同工,在網絡上的弟兄姊妹,主內平安,讓我們先一起祈禱。
[00:00:16.000 --> 00:00:38.000]  恩主,我們感謝祢,讓我們能夠雖然在不同的地點,但是能夠通過科技,無論在家中或在別處,我們都能夠以心靈誠實來敬拜祢,讚美祢。
[00:00:39.000 --> 00:00:59.000]  恩主,當我們去聆聽祢的聖言的時候,求祢幫助我們,讓我們預備好我們的心田,領受所栽種的稻,但願我們都有結出一百倍、六十倍、三十倍的果實。
[00:01:00.000 --> 00:01:07.000]  願祢順應我們的祈禱,靠賴耶穌基督的成名球。
[00:01:30.000 --> 00:01:47.000]  這也是人之常情,有人會怕高,有人會怕低,怕什麼低呢?給大家估一下謎面,就是獸骨淪殉的獅子。
[00:01:48.000 --> 00:02:06.000]  給大家看看,有些人會怕水,有些人會怕火,有些人怕黑,有些人怕光,有些人怕小強,有些人怕米尼。
[00:02:07.000 --> 00:02:24.000]  疫情中人流少,我們會怕,人流多呢?我們又怕。有些人什麼都怕,但不知道正在怕的是什麼,不知道你怕的是什麼呢?
[00:02:25.000 --> 00:02:47.000]  好了,和頂姐妹一起來思想。《司命十六篇》九到十一節的題目是:因此我們一無所懼。我們可以無懼是因為有愛我們的主,給我們全方位的保護和引導,分別有三點。
[00:02:48.000 --> 00:03:03.000]  第九節,上半節,我們一起讀,第九節,我們先讀第九節,找到我們一起讀,第九節,因此。
[00:03:10.000 --> 00:03:19.000]  第一個無懼的原因是「欲生安然居住」,「欲生安然居住」說的是什麼呢?
[00:03:19.000 --> 00:03:33.000]  有一個譯本翻譯叫做「無憂安眠」,其實相信大部分香港人,其實在過去這段日子,或多或少都有失眠的經驗。
[00:03:34.000 --> 00:03:45.000]  而根據研究,如果長期失眠,會導致很多問題出現,可能會有抑鬱,可能會有躁鬱,情況其實不可以輕視。
[00:03:45.000 --> 00:03:54.000]  「欲生也要安然居住,要無憂安眠,實在有時為我們都市人不容易。」
[00:03:55.000 --> 00:04:10.000]  近日,我們中間有一位同工,他晚上睡得不太安穩,因為他住的屋苑樓上住客,夜半傳來歌聲,不要猜是誰。
[00:04:11.000 --> 00:04:26.000]  但可惜不是天籟之音,是美美之音,什麼叫美美之音?美美之音就是頹廢和低級趣味的樂曲,有點像鬼哭神號。
[00:04:27.000 --> 00:04:42.000]  所以這位同工很慘,於是投訴,投訴靜了一會兒,又再來一次。我希望這位親愛的同工早日脫其苦海。
[00:04:43.000 --> 00:04:57.000]  但是我又想,或許上帝要他經歷心靈的黑夜,使他的靈魂更加有長進,也未必是可能的事,不過這純粹是我個人的預測。
[00:04:57.000 --> 00:05:09.000]  安眠,無憂地安眠,實在不容易。所以他詩人說,我這個身體,我這個肉身在上帝賜給我的地上安居,
[00:05:10.000 --> 00:05:20.000]  就會感到平安,而且不覺驚擾。《新命紀》三十三章十二節這樣說,上帝和辯雅文這樣說,這個支派,
[00:05:20.000 --> 00:05:36.000]  他說關於辯雅文,他說,耶和華所親愛的,必同耶和華安然居住,耶和華終日庇護他,他也住在耶和華兩間之中。
[00:05:37.000 --> 00:05:48.000]  耶和華所愛的,一定使他安然居住。其實這個安然居住,這個安然令我們想起孔子有一句說話,
[00:05:48.000 --> 00:06:04.000]  我背上戀,請劉全道接下戀。君子坦蕩蕩,小人呢?讀不到,讀不到他的唇,因為他戴了口罩,我猜他是能回答的。
