
[00:00:00.000 --> 00:00:02.940]  今天我們的題目是《夢人說癡》
[00:00:02.940 --> 00:00:05.720]  就是在做夢的人說些傻傻的話
[00:00:05.720 --> 00:00:07.540]  我們上一次看到
[00:00:07.540 --> 00:00:11.800]  主耶穌帶着三個門徒登山變像
[00:00:11.800 --> 00:00:13.480]  爲什麼要變像呢?
[00:00:13.480 --> 00:00:17.720]  就是要讓門徒看到祂真實的一面
[00:00:17.720 --> 00:00:19.680]  爲什麼呢?
[00:00:19.680 --> 00:00:24.280]  就是因爲當時耶穌仍然有自己肉體上的限制
[00:00:24.280 --> 00:00:27.320]  也是一個猶太人
[00:00:27.320 --> 00:00:29.120]  粗衣麻布
[00:00:29.120 --> 00:00:33.140]  但是祂真正的本質卻是超越一切的
[00:00:33.140 --> 00:00:37.720]  所以我們就先來看一看今晚的經文
[00:00:37.720 --> 00:00:39.560]  有《路加福音》
[00:00:39.560 --> 00:00:42.680]  但我們這次仍然是集中在《馬太福音》第17章
[00:00:42.680 --> 00:00:44.120]  第1到第9節
[00:00:44.120 --> 00:00:47.640]  我們就請Yvonne給我們讀了這段經文
[00:00:47.640 --> 00:00:49.840]  然後我們再看今晚的重點
[00:00:49.840 --> 00:00:51.400]  就是那三個門徒
[00:00:51.400 --> 00:00:54.400]  究竟有些什麼反應
[00:00:54.400 --> 00:00:57.000]  當我們面對耶穌這個登山變像
[00:00:57.000 --> 00:01:02.000]  「過了六天,耶穌帶着彼得、雅各和雅各的兄弟約翰
[00:01:02.000 --> 00:01:04.000]  暗暗地上了高山
[00:01:04.000 --> 00:01:07.000]  就在他們面前變了形象
[00:01:07.000 --> 00:01:09.800]  臉面明亮如日頭
[00:01:09.800 --> 00:01:11.800]  衣裳潔白如光
[00:01:11.800 --> 00:01:15.200]  忽然有摩西、以利亞向他們顯現
[00:01:15.200 --> 00:01:16.600]  和耶穌說話
[00:01:16.600 --> 00:01:20.200]  彼得對耶穌說:主啊,我們在這裏真好
[00:01:20.200 --> 00:01:23.400]  禰若願意我就在這裏搭三座棚
[00:01:23.400 --> 00:01:27.200]  一座爲你、一座爲摩西、一座爲以利亞
[00:01:27.200 --> 00:01:30.000]  說話之間
[00:01:30.000 --> 00:01:33.400]  忽然有一朵光明的雲彩遮蓋他們
[00:01:33.400 --> 00:01:36.200]  且有聲音從雲彩裏出來說:
[00:01:36.200 --> 00:01:38.800]  這是我的愛子我所喜悅的
[00:01:38.800 --> 00:01:40.200]  你們要聽他
[00:01:40.200 --> 00:01:43.400]  聞徒聽見就俯伏在地極其害怕
[00:01:43.400 --> 00:01:45.600]  耶穌進前來摸他們說:
[00:01:45.600 --> 00:01:47.200]  起來不要害怕
[00:01:47.200 --> 00:01:49.200]  他們舉目不見一人
[00:01:49.200 --> 00:01:51.000]  只見耶穌在那裏
[00:01:51.000 --> 00:01:53.600]  下山的時候耶穌吩咐他們說:
[00:01:53.600 --> 00:01:56.000]  人子說沒有從死裏復活
[00:01:56.000 --> 00:01:59.200]  你們不要將所看見的告訴人
[00:01:59.200 --> 00:02:01.200]  我們上次已經講了
[00:02:01.200 --> 00:02:02.800]  耶穌變臉
[00:02:02.800 --> 00:02:05.800]  就好像我們看電影那個Trailer那樣
[00:02:05.800 --> 00:02:08.800]  把精彩的片段給你看到
[00:02:08.800 --> 00:02:10.400]  剛纔也講過
[00:02:10.400 --> 00:02:13.800]  耶穌因爲仍然是有人的身軀
[00:02:13.800 --> 00:02:15.200]  是一個希伯來人
[00:02:15.200 --> 00:02:17.600]  粗衣麻布
[00:02:17.600 --> 00:02:22.600]  所以要讓聞徒看到他真正的本相
[00:02:22.600 --> 00:02:24.600]  其實都未得完全
[00:02:24.600 --> 00:02:26.600]  但是滿有榮耀
[00:02:26.600 --> 00:02:30.200]  讓這些聞徒對他有更深的認識
[00:02:30.200 --> 00:02:33.000]  以致他們有更大的信心
[00:02:33.000 --> 00:02:35.400]  去承擔更大的使命
[00:02:35.400 --> 00:02:39.600]  正如我們可否從一粒種子
[00:02:39.600 --> 00:02:42.000]  體會到花的美麗
[00:02:42.000 --> 00:02:45.000]  現在你去超市或者很多地方
[00:02:45.000 --> 00:02:47.200]  特別是花園中心
[00:02:47.200 --> 00:02:50.800]  有很多不同的花朵的種子賣出來
[00:02:50.800 --> 00:02:55.600]  但是包裝都會印了花是怎樣的
[00:02:55.600 --> 00:02:57.400]  但如果你看那粒種子
[00:02:57.400 --> 00:02:59.400]  又細又黑
[00:02:59.400 --> 00:03:03.400]  你會看不看到將來那朵花朵
[00:03:03.400 --> 00:03:07.400]  那種美麗優雅鮮豔色彩呢?
[00:03:07.400 --> 00:03:11.400]  你可否從微小的種子裏面
[00:03:11.400 --> 00:03:15.000]  看到鮮花的綻放呢?
[00:03:15.000 --> 00:03:18.200]  這個就正如聖經裏面怎樣說我們呢?
[00:03:18.200 --> 00:03:23.400]  我們原來就是寶貝放在雅氣裏面
[00:03:23.400 --> 00:03:26.000]  原來我們只是一個雅氣
[00:03:26.000 --> 00:03:28.000]  我們給世人看上來
[00:03:28.000 --> 00:03:30.600]  我們好像不行
[00:03:30.600 --> 00:03:32.800]  基督徒你很軟弱
[00:03:32.800 --> 00:03:34.000]  你覺得自己不行
[00:03:34.000 --> 00:03:35.800]  你先要信耶穌
[00:03:35.800 --> 00:03:38.400]  如果你有聽我這一集的《永逝論壇》
[00:03:38.400 --> 00:03:40.400]  你就會聽到我怎樣說
[00:03:40.400 --> 00:03:42.600]  我說基督徒纔是一個勇者
[00:03:42.600 --> 00:03:46.800]  你看看香港 無論黃福遠大火
[00:03:46.800 --> 00:03:49.400]  多少部門沒有好好的承擔責任
[00:03:49.400 --> 00:03:51.000]  人家投訴沒有去理會
[00:03:51.000 --> 00:03:53.000]  好了 現在要扣安全帶
[00:03:53.000 --> 00:03:56.400]  那些法例原來是寫明1月25日之後的巴士
[00:03:56.400 --> 00:03:58.000]  才需要安全帶
[00:03:58.000 --> 00:03:59.600]  但竟然又「甩甩漏漏」
[00:03:59.600 --> 00:04:01.200]  是很多人都「甩漏」
[00:04:01.200 --> 00:04:03.800]  好了 那些人就問陳美寶
[00:04:03.800 --> 00:04:05.600]  當年我曾經和她交過手
[00:04:05.600 --> 00:04:08.200]  十幾年前 那時她是做教育署的
[00:04:08.200 --> 00:04:12.600]  你需要帶她去道歉嗎?
[00:04:12.600 --> 00:04:16.400]  到現在沒有一個部門肯出來道歉
[00:04:16.400 --> 00:04:18.400]  所以我就說信耶穌
[00:04:18.400 --> 00:04:19.400]  你說我們差
[00:04:19.400 --> 00:04:20.600]  其實我們堅強
[00:04:20.600 --> 00:04:21.600]  我們有勇氣
[00:04:21.600 --> 00:04:23.600]  我們有勇氣承認自己的錯
[00:04:23.600 --> 00:04:25.400]  要人家帶她去承認自己的錯
[00:04:25.400 --> 00:04:26.600]  絕對不容易的
[00:04:26.600 --> 00:04:28.600]  雖然我們被人看上來很沒用
[00:04:28.600 --> 00:04:31.000]  但聖經說我們是雅氣
[00:04:31.000 --> 00:04:33.600]  但有寶貝放在雅氣裏面
[00:04:33.600 --> 00:04:37.800]  當然 花朵它怎樣纔可以生產呢?
[00:04:37.800 --> 00:04:41.400]  那粒種子要埋在泥土裏面
[00:04:41.400 --> 00:04:44.000]  好像死了一樣
[00:04:44.000 --> 00:04:45.600]  但有雨水的滋潤
[00:04:45.600 --> 00:04:47.200]  有陽光的照耀
[00:04:47.200 --> 00:04:48.800]  它就好像復活
