
[00:00:00.000 --> 00:00:04.400]  今天我們一起來先開始讀今天的經文
[00:00:04.400 --> 00:00:06.700]  如果你熟悉這個故事也不要緊
[00:00:06.700 --> 00:00:08.500]  當一起讀的時候
[00:00:08.500 --> 00:00:12.000]  你祈禱神今次你再讀的時候
[00:00:12.000 --> 00:00:13.700]  跟你說些什麼話 好不好
[00:00:13.700 --> 00:00:16.500]  我們由第四章第三節開始讀
[00:00:16.500 --> 00:00:17.500]  我們一起讀
[00:00:17.500 --> 00:00:20.000]  他就來了猶太
[00:00:20.000 --> 00:00:24.500]  猶往加利利去必須經過撒瑪利亞
[00:00:24.500 --> 00:00:28.000]  於是到了撒瑪利亞的一座城
[00:00:28.000 --> 00:00:30.000]  名叫罪加
[00:00:30.000 --> 00:00:34.500]  靠近瓦閣吸他而至藥室的那塊地
[00:00:34.500 --> 00:00:37.000]  在那裡有瓦閣井
[00:00:37.000 --> 00:00:41.500]  耶穌因走路困乏就坐在井旁
[00:00:41.500 --> 00:00:44.000]  那時若有誤證
[00:00:44.000 --> 00:00:48.500]  有一個撒瑪利亞的婦人來打水
[00:00:48.500 --> 00:00:52.500]  耶穌對她說請你給我水喝
[00:00:52.500 --> 00:00:56.500]  那時門徒進城買食物去了
[00:00:56.500 --> 00:00:59.500]  撒瑪利亞的婦人對他說
[00:00:59.500 --> 00:01:01.500]  你既是猶太人
[00:01:01.500 --> 00:01:06.500]  怎麼向我一個撒瑪利亞婦人要水喝呢
[00:01:06.500 --> 00:01:10.500]  原來猶太人和撒瑪利亞人沒有來往
[00:01:10.500 --> 00:01:12.500]  耶穌回答說
[00:01:12.500 --> 00:01:14.500]  你若知道神的恩賜
[00:01:14.500 --> 00:01:18.000]  和對你說給我水喝的是誰
[00:01:18.000 --> 00:01:20.000]  你必早求他
[00:01:20.000 --> 00:01:23.500]  他也必早給了你活水
[00:01:23.500 --> 00:01:27.500]  婦人說先生沒有打水的器具
[00:01:27.500 --> 00:01:29.500]  井又深
[00:01:29.500 --> 00:01:32.500]  你從哪裡得活水呢
[00:01:32.500 --> 00:01:36.500]  我們的祖宗瓦閣將這井留給我們
[00:01:36.500 --> 00:01:39.500]  他自己和兒子並生畜
[00:01:39.500 --> 00:01:41.500]  也都喝這井裡的水
[00:01:41.500 --> 00:01:44.500]  難道你比他還大嗎
[00:01:44.500 --> 00:01:46.500]  耶穌回答說
[00:01:46.500 --> 00:01:49.500]  凡喝這水的還要再喝
[00:01:49.500 --> 00:01:52.500]  人若喝我所賜的水
[00:01:52.500 --> 00:01:54.500]  就永遠不喝
[00:01:54.500 --> 00:01:59.500]  我所賜的水要在他裡成為泉源
[00:01:59.500 --> 00:02:01.500]  直湧到永生
[00:02:01.500 --> 00:02:04.500]  這裡說耶穌在猶太
[00:02:04.500 --> 00:02:07.500]  由耶路撒冷要去加利利
[00:02:07.500 --> 00:02:09.500]  由南去北
[00:02:09.500 --> 00:02:12.500]  其實路途頗遙遠
[00:02:12.500 --> 00:02:14.500]  說到他走到累了
[00:02:14.500 --> 00:02:16.500]  他就被罰了
[00:02:16.500 --> 00:02:20.500]  所以他來到瓦閣井旁邊休息
[00:02:20.500 --> 00:02:23.500]  剛好這個婦人走過
[00:02:23.500 --> 00:02:25.500]  她來到打水
[00:02:25.500 --> 00:02:27.500]  然後耶穌就問她
[00:02:27.500 --> 00:02:30.500]  請你給我水喝
[00:02:30.500 --> 00:02:32.500]  耶穌叫她給他水喝
[00:02:32.500 --> 00:02:35.500]  其實這個要求也很正常
[00:02:35.500 --> 00:02:38.500]  譬如我們很口渴
[00:02:38.500 --> 00:02:39.500]  我們沒有水
[00:02:39.500 --> 00:02:41.500]  我們就問可不可以給我水喝
[00:02:41.500 --> 00:02:43.500]  其實也很平凡
[00:02:43.500 --> 00:02:46.500]  但其實一點也不平凡
[00:02:46.500 --> 00:02:47.500]  其實水
[00:02:47.500 --> 00:02:50.500]  我們問她要水
[00:02:50.500 --> 00:02:52.500]  只不過是一個引子
[00:02:52.500 --> 00:02:54.500]  譬如我們想打開話題
[00:02:54.500 --> 00:02:56.500]  我們就說一件事
