
[00:00:00.000 --> 00:00:02.000]  好,大家節慰平安
[00:00:02.000 --> 00:00:07.280]  我們過去同工都一齊分享《彼得前書》這本書
[00:00:07.280 --> 00:00:12.720]  今日我同大家分享二章十一至二十五節
[00:00:12.720 --> 00:00:15.800]  在一章一節至二章十節裏面
[00:00:15.800 --> 00:00:17.240]  都提及一個
[00:00:17.240 --> 00:00:20.040]  雕塗在地上裏面一個獨特的身份
[00:00:20.040 --> 00:00:21.440]  一個獨特的群體
[00:00:21.440 --> 00:00:25.400]  我們和這個世界裏面分別出來一個另類的群體
[00:00:25.400 --> 00:00:27.480]  去到二章九節就說
[00:00:27.480 --> 00:00:28.920]  我們這個身份是甚麼呢?
[00:00:28.920 --> 00:00:30.680]  是被揀選的族類
[00:00:30.680 --> 00:00:32.400]  是君尊的祭司
[00:00:32.400 --> 00:00:33.920]  是聖結的國度
[00:00:33.920 --> 00:00:35.520]  是一個屬神的子民
[00:00:35.520 --> 00:00:39.000]  但在世上我們有一個使命或任務
[00:00:39.000 --> 00:00:44.720]  就是宣揚「召你們出黑暗,入奇妙光明者的美德」
[00:00:44.720 --> 00:00:47.920]  我們不是單單用口來說說
[00:00:47.920 --> 00:00:51.400]  我們用行動去顯明我們這個獨特的群體
[00:00:51.400 --> 00:00:52.880]  獨特的身份
[00:00:52.880 --> 00:00:56.840]  亦都用我們的行動去宣揚光明者的美德
[00:00:56.840 --> 00:00:58.840]  即是我們生活的見證
[00:00:58.840 --> 00:01:03.680]  接下來到二章十一至四章十一節裏面
[00:01:03.680 --> 00:01:06.200]  彼得就用六方面的關係
[00:01:06.200 --> 00:01:07.240]  提醒我們
[00:01:07.240 --> 00:01:09.400]  雕塗這個獨特的身份
[00:01:09.400 --> 00:01:14.160]  如何彰顯一個合宜的社會倫理的態度出來
[00:01:14.160 --> 00:01:20.160]  以至我們從中見證或宣揚這個奇妙光明者的美德
[00:01:20.160 --> 00:01:24.080]  今日我和大家看的是二章十一至二十五節
[00:01:24.080 --> 00:01:25.720]  來到三個段落
[00:01:25.720 --> 00:01:30.640]  第一方面就是我們如何來看待外邦人的私有社會
[00:01:30.640 --> 00:01:32.640]  我們如何對待政府
