
[00:00:00.000 --> 00:00:04.000]  我們讀一段聖經在馬太福音第28章第5到第6節
[00:00:04.000 --> 00:00:07.400]  這裡說天使對婦女說不要害怕
[00:00:07.400 --> 00:00:10.600]  我知道你們是尋找那定十字架的耶穌
[00:00:10.600 --> 00:00:12.500]  祂不在這裡
[00:00:12.500 --> 00:00:15.500]  照祂所說的已經復活了
[00:00:15.500 --> 00:00:18.400]  你們來看安放主的地方
[00:00:18.400 --> 00:00:21.400]  在這裡天使宣告
[00:00:21.400 --> 00:00:23.500]  祂不在這裡
[00:00:23.500 --> 00:00:27.100]  照祂所說的已經復活了
[00:00:27.100 --> 00:00:27.900]  哈利路亞
[00:00:29.300 --> 00:00:30.300]  今天是復活節
[00:00:30.300 --> 00:00:34.100]  在這裡首先恭賀大家復活節非常非常快樂
[00:00:34.100 --> 00:00:34.600]  你們
[00:00:34.600 --> 00:00:36.900]  在我們整個信仰當中
[00:00:36.900 --> 00:00:38.600]  我想復活節是一個
[00:00:38.600 --> 00:00:42.000]  最讓我們歡喜快樂的一個日子
[00:00:42.000 --> 00:00:45.600]  因為主的復活是我們整個信仰當中
[00:00:45.600 --> 00:00:48.100]  不可缺少的一個支柱
[00:00:48.100 --> 00:00:51.500]  為什麼主的復活對我們這麼重要
[00:00:51.500 --> 00:00:55.500]  因為主的復活證明了我們的主耶穌
[00:00:55.900 --> 00:00:59.500]  祂有勝過黑暗死亡的詮釋
[00:00:59.500 --> 00:01:01.900]  主的復活也證明了
[00:01:01.900 --> 00:01:04.400]  所有信主的人
[00:01:04.400 --> 00:01:08.700]  他已經為我們開了一條又新又活的道路
[00:01:08.700 --> 00:01:12.800]  讓我們今天可以不再活在罪惡跟黑暗當中
[00:01:12.800 --> 00:01:14.300]  在基督裡面
[00:01:14.300 --> 00:01:17.900]  我們享受一個自由喜樂的新生命
[00:01:17.900 --> 00:01:18.400]  你們
[00:01:18.400 --> 00:01:21.200]  所以在初代教會你知道他們
[00:01:21.200 --> 00:01:23.700]  弟兄姐妹彼此問安的時候
[00:01:24.400 --> 00:01:25.900]  他們不是說早
[00:01:25.900 --> 00:01:28.800]  初代教會彼此問安的時候
[00:01:28.800 --> 00:01:30.700]  說主已經復活了
[00:01:30.700 --> 00:01:31.500]  你們
[00:01:31.500 --> 00:01:33.400]  而且他們是一種
[00:01:33.400 --> 00:01:35.500]  應和式的問安
[00:01:35.500 --> 00:01:37.800]  當一個人說主已經復活了
[00:01:37.800 --> 00:01:40.000]  那另外一個人就要應和說
[00:01:40.000 --> 00:01:42.500]  主果然已經復活了
[00:01:42.500 --> 00:01:43.200]  你們
[00:01:43.200 --> 00:01:46.000]  所以我想今天我們要做一下這件事情
[00:01:46.000 --> 00:01:47.700]  我來說主已經復活了
[00:01:47.700 --> 00:01:50.900]  你們應和說主果然已經復活了好不好
[00:01:50.900 --> 00:01:51.400]  來啊
[00:01:51.400 --> 00:01:52.900]  主已經復活了
[00:01:55.300 --> 00:01:57.700]  哈利路亞讚美我們的主
