
[00:00:00.000 --> 00:00:02.000]  頂姊妹五芒
[00:00:02.000 --> 00:00:06.320]  今日我給她的講道題目叫做
[00:00:06.320 --> 00:00:08.980]  信仰的接力
[00:00:08.980 --> 00:00:12.960]  不知你看到這個題目時你有甚麼感覺
[00:00:12.960 --> 00:00:17.460]  昨晚臨睡前我兒子問我
[00:00:17.460 --> 00:00:19.100]  「明天你講道嗎?」
[00:00:19.100 --> 00:00:20.100]  我說「是呀」
[00:00:20.100 --> 00:00:21.380]  「你講甚麼?」
[00:00:21.380 --> 00:00:24.040]  我說「信仰的接力」
[00:00:24.040 --> 00:00:25.140]  然後他說
[00:00:25.140 --> 00:00:28.520]  「哦!即是耶穌講給他的門徒聽」
[00:00:28.520 --> 00:00:31.680]  「他的門徒又講給下一批門徒聽」
[00:00:31.680 --> 00:00:33.680]  「行了!講完」
[00:00:33.680 --> 00:00:42.680]  他都講到我想講的其中一些意思
[00:00:42.680 --> 00:00:45.180]  但今日我都很想
[00:00:45.180 --> 00:00:53.180]  我們可以再透過一篇詩篇一起思想
[00:00:53.180 --> 00:00:55.180]  我想問大家
[00:00:55.180 --> 00:00:59.180]  如果有一天你的小朋友
[00:00:59.180 --> 00:01:00.180]  你的下一代
[00:01:00.180 --> 00:01:01.180]  或者你說
[00:01:01.180 --> 00:01:04.180]  「我其實未有小朋友」
[00:01:04.180 --> 00:01:06.180]  「或者我未結婚」
[00:01:06.180 --> 00:01:09.180]  如果一些比你小的人跟你講
[00:01:09.180 --> 00:01:13.180]  「其實我不是很知神是誰」
[00:01:13.180 --> 00:01:14.180]  他一直在教會
[00:01:14.180 --> 00:01:17.180]  但他問一個這樣的問題
[00:01:17.180 --> 00:01:21.180]  你會有甚麼感受呢?
[00:01:21.180 --> 00:01:26.180]  是否都會有少少覺得心酸、難過?
[00:01:26.180 --> 00:01:30.180]  頂姐妹,這不是一個理論的問題
[00:01:30.180 --> 00:01:35.180]  而是一個很真實、很貼身的問題
[00:01:35.180 --> 00:01:40.180]  我們今日很多時為下一代做決定
[00:01:40.180 --> 00:01:43.180]  當初移民來英國
[00:01:43.180 --> 00:01:45.180]  我們去想住哪裏
[00:01:45.180 --> 00:01:47.180]  教育是怎樣
[00:01:47.180 --> 00:01:53.180]  或者未來怎樣對下一代最好
[00:01:53.180 --> 00:01:55.180]  完全是出於愛
[00:01:55.180 --> 00:01:58.180]  因為我們想給予他們一個
[00:01:58.180 --> 00:02:02.180]  最好而我們負擔得到的環境
[00:02:02.180 --> 00:02:04.180]  但有一件事
[00:02:04.180 --> 00:02:06.180]  我們有沒有同時都問
[00:02:06.180 --> 00:02:09.180]  我怎樣在這些新環境裏
[00:02:09.180 --> 00:02:14.180]  將這個信仰傳給我的下一代呢?
[00:02:14.180 --> 00:02:16.180]  因為來到英國之後
[00:02:16.180 --> 00:02:17.180]  我們會發現
