
[00:00:00.000 --> 00:00:03.100]  各位弟兄姊妹 復活節蒙恩
[00:00:03.100 --> 00:00:06.800]  我們心願從死裡復活的基督
[00:00:06.800 --> 00:00:10.100]  祂帶給我們的喜樂 平安 能力
[00:00:10.100 --> 00:00:13.600]  能夠常常成為我們那份的祝福
[00:00:13.600 --> 00:00:17.800]  使我們行走在主所喜悅的道路上
[00:00:17.800 --> 00:00:19.600]  就讓我們一起
[00:00:19.600 --> 00:00:22.800]  進入這個查考聖經的環節之前
[00:00:22.800 --> 00:00:25.300]  我們一起同心來祈禱
[00:00:25.300 --> 00:00:29.500]  親愛的主
[00:00:29.500 --> 00:00:32.000]  我們感謝讚美祢
[00:00:32.000 --> 00:00:35.000]  因為祢不但愛我們
[00:00:35.000 --> 00:00:37.000]  愛到為我們死
[00:00:37.000 --> 00:00:40.000]  祢更加從死裡復活
[00:00:40.000 --> 00:00:42.500]  我們是一群渺小的人
[00:00:42.500 --> 00:00:45.000]  竟然能夠有這份福氣
[00:00:45.000 --> 00:00:48.500]  去得著永生的盼望
[00:00:48.500 --> 00:00:52.000]  這完全是祢給我們的恩典
[00:00:52.000 --> 00:00:56.000]  我們也知道我們不配到祢的面前
[00:00:56.000 --> 00:01:01.500]  但是祢又願意接納我們的敬拜 侍奉
[00:01:01.500 --> 00:01:04.500]  我們求祢閱立我們
[00:01:04.500 --> 00:01:08.500]  無論透過詩歌 禱告 經文
[00:01:08.500 --> 00:01:12.500]  我們的敬拜都是禱祢的喜悅
[00:01:12.500 --> 00:01:14.500]  我們現在又願意學習
[00:01:14.500 --> 00:01:18.500]  好像瑪利亞安坐在主耶穌的腳前
[00:01:18.500 --> 00:01:21.500]  我們去領受真理的教誨
[00:01:21.500 --> 00:01:24.500]  我們又明白我們的渺小
[00:01:24.500 --> 00:01:27.500]  我們不能夠靠自己的力量
[00:01:27.500 --> 00:01:29.500]  明白很多的真理
[00:01:29.500 --> 00:01:32.500]  因此我們懇求聖靈保衛師
[00:01:32.500 --> 00:01:35.500]  在這一刻在我們當中自由的運行
[00:01:35.500 --> 00:01:39.500]  讓我們說的聽的都一同蒙恩
[00:01:39.500 --> 00:01:42.500]  又賜我們所需的力量
[00:01:42.500 --> 00:01:45.500]  我們去遵行天父上帝的美意
[00:01:45.500 --> 00:01:48.000]  我們就恭敬將這段時間
[00:01:48.000 --> 00:01:50.000]  仰望在恩主手中
[00:01:50.000 --> 00:01:52.000]  求祢賜福
[00:01:52.000 --> 00:01:55.000]  我們這樣的禱告謝恩
[00:01:55.000 --> 00:01:59.000]  是奉耶穌基督的聖名祈求 阿們
[00:01:59.000 --> 00:02:05.000]  我們今天要去思想的題目
[00:02:05.000 --> 00:02:08.000]  是復活主的使命
[00:02:08.000 --> 00:02:12.000]  在復活節的前兩天到現在
[00:02:12.000 --> 00:02:15.000]  香港有一件令我們都覺得
[00:02:15.000 --> 00:02:17.000]  很振奮的事情
[00:02:17.000 --> 00:02:20.000]  因為有一位的市民
[00:02:20.000 --> 00:02:25.000]  他陷在生命的一個很危險的情況
[00:02:25.000 --> 00:02:27.000]  他的肝出了問題
[00:02:27.000 --> 00:02:30.000]  正當他一個家庭
[00:02:30.000 --> 00:02:34.000]  陷在一種好像沒有希望的情況裡面
[00:02:34.000 --> 00:02:38.000]  突然間有一個非親非故的市民
[00:02:38.000 --> 00:02:41.000]  樂意捐贈肝給他
[00:02:41.000 --> 00:02:43.000]  手術成功
[00:02:43.000 --> 00:02:47.000]  不過按新聞的資料顯示
[00:02:47.000 --> 00:02:50.000]  接受肝的捐贈的那位病人
[00:02:50.000 --> 00:02:54.000]  好像還沒有完全像另外一位
[00:02:54.000 --> 00:02:57.000]  去到普通的病房裡面
[00:02:57.000 --> 00:03:01.000]  我們心願他很快的能夠去康復
[00:03:01.000 --> 00:03:04.000]  你說如果香港多一些
[00:03:04.000 --> 00:03:06.000]  這些美好的事情
[00:03:06.000 --> 00:03:08.000]  在我們當中出現
[00:03:08.000 --> 00:03:10.000]  你說多好
[00:03:10.000 --> 00:03:12.000]  假如
[00:03:12.000 --> 00:03:19.000]  不過我們祝願他很快康復蘇醒過來的市民
[00:03:19.000 --> 00:03:21.000]  他醒的時候
[00:03:21.000 --> 00:03:23.000]  你在他旁邊
[00:03:23.000 --> 00:03:25.000]  他跟你說一些話
[00:03:25.000 --> 00:03:27.000]  你會不會做?
[00:03:27.000 --> 00:03:28.000]  我想要一杯水
[00:03:28.000 --> 00:03:30.000]  莫輸一杯水
