
[00:00:00.000 --> 00:00:01.920]  我們繼續看《喜拔河書》
[00:00:01.920 --> 00:00:04.600]  《喜拔河書》作者我每次講到都會提
[00:00:04.600 --> 00:00:07.880]  就是說這個作者對舊約非常熟悉
[00:00:07.880 --> 00:00:11.160]  所以在《新約經書》當中
[00:00:11.160 --> 00:00:14.760]  可以說隱約舊約或者隱約舊約很多的觀念
[00:00:14.760 --> 00:00:16.760]  的確是《喜拔河書》
[00:00:16.760 --> 00:00:20.400]  而同樣《喜拔河書》作者對耶穌基督也是非常認識
[00:00:20.400 --> 00:00:23.600]  以至到當他寫這封信的時候
[00:00:23.600 --> 00:00:25.160]  給這羣對象的時候
[00:00:25.160 --> 00:00:27.640]  他就將耶穌基督的超越性
[00:00:27.640 --> 00:00:32.200]  藉着他認識舊約認識耶穌基督的對比下
[00:00:32.200 --> 00:00:34.920]  他知道耶穌基督是超越一切
[00:00:34.920 --> 00:00:39.120]  他的啓示遠超越舊約衆先知的啓示
[00:00:39.120 --> 00:00:40.680]  他是超越天使
[00:00:40.680 --> 00:00:42.280]  他是超越很多舊約
[00:00:42.280 --> 00:00:45.480]  我們生命當中覺得很多很重要的人物
[00:00:45.480 --> 00:00:48.000]  耶穌基督都完全超越
[00:00:48.000 --> 00:00:49.280]  在我過去幾次講道
[00:00:49.280 --> 00:00:51.600]  我都不能夠提一下一個人物的名字
[00:00:51.600 --> 00:00:54.680]  我說這個人物提完之後就下次講
[00:00:54.680 --> 00:00:57.200]  這個人物就叫做默基西德
[00:00:57.200 --> 00:00:59.160]  當我們看回默基西德的時候
[00:00:59.160 --> 00:01:00.720]  是一個神祕人物
[00:01:00.720 --> 00:01:02.720]  以至到我在前面講道
[00:01:02.720 --> 00:01:04.160]  其實由第五章開始
[00:01:04.160 --> 00:01:06.600]  這個人物的名字已經出現了
[00:01:06.600 --> 00:01:08.400]  不過我就說留待下次吧
[00:01:08.400 --> 00:01:09.960]  留待下次吧 留待下次
[00:01:09.960 --> 00:01:14.560]  而終於今天我就會和大家去揭宗這個神祕人物
[00:01:14.560 --> 00:01:16.640]  究竟這個人物的作用在哪裏
[00:01:16.640 --> 00:01:19.600]  究竟這個人物的重要性在哪裏
[00:01:19.600 --> 00:01:21.680]  而我們深信在舊約那邊
[00:01:21.680 --> 00:01:26.400]  默基西德同樣是一個重量級的人物
[00:01:26.400 --> 00:01:29.400]  不過 雖然我這麼說
[00:01:29.400 --> 00:01:32.040]  但是如果我們仔細去看舊約
[00:01:32.040 --> 00:01:37.160]  這個人物在整部舊約三十九卷書當中
[00:01:37.160 --> 00:01:40.120]  他只是出現了兩次那麼多
[00:01:40.120 --> 00:01:43.480]  你說牧師 出現兩次那麼多的人物
[00:01:43.480 --> 00:01:45.600]  有什麼那麼重要
[00:01:45.600 --> 00:01:48.240]  以至到今天我們教會 特別是華人教會
[00:01:48.240 --> 00:01:51.720]  我們極少看到華人教會團契的名字
[00:01:51.720 --> 00:01:53.800]  叫做默基西德團
[00:01:53.800 --> 00:01:55.320]  從來沒有人講這個名字
[00:01:55.320 --> 00:01:58.360]  通常會講大衛 保羅 彼得
[00:01:58.360 --> 00:02:01.240]  這些很厲害的人 亞伯拉罕
[00:02:01.240 --> 00:02:05.160]  但是從來沒有人去看這個默基西德的重要性
[00:02:05.160 --> 00:02:07.720]  而今天我想和大家去分析
[00:02:07.720 --> 00:02:10.840]  爲什麼我覺得這個人物的重要性在哪裏
[00:02:10.840 --> 00:02:15.640]  甚至爲什麼在舊約只是出現過兩次的人物
[00:02:15.640 --> 00:02:17.680]  居然在希伯羅書那邊
[00:02:17.680 --> 00:02:21.120]  短短的 由第五章到第七章
[00:02:21.120 --> 00:02:24.400]  卻出現了十次這個人物的名字
[00:02:24.400 --> 00:02:27.680]  以至到由希伯羅書的作者來詮釋
[00:02:27.680 --> 00:02:29.320]  來讓我們知道
[00:02:29.320 --> 00:02:32.440]  究竟這個默基西德的重要性在哪裏
[00:02:32.440 --> 00:02:36.040]  當然在希伯羅書第五章 第六節那裏講
[00:02:36.040 --> 00:02:41.760]  他說耶穌基督是照着默基西德的等次
[00:02:41.760 --> 00:02:44.000]  永遠爲祭祀
[00:02:44.000 --> 00:02:45.400]  這是第六節所講
[00:02:45.400 --> 00:02:49.160]  到了第十節 這個作者就加重了一些說話
[00:02:49.160 --> 00:02:51.400]  他說耶穌基督是蒙神
[00:02:51.400 --> 00:02:54.480]  照着默基西德的等次
[00:02:54.480 --> 00:02:57.080]  稱祂爲大祭祀
[00:02:57.080 --> 00:03:00.440]  前面只講祂是祭祀
[00:03:00.440 --> 00:03:03.840]  到後面他說祂是蒙神
[00:03:03.840 --> 00:03:07.200]  所照着默基西德的等次
[00:03:07.200 --> 00:03:09.160]  成爲大祭祀
[00:03:09.160 --> 00:03:11.320]  如果將這兩句聖經加在一起的時候
[00:03:11.320 --> 00:03:14.920]  前面那句他提到永遠這兩個字
[00:03:14.920 --> 00:03:17.160]  後面那句他說祂是蒙神
[00:03:17.160 --> 00:03:22.040]  是神自己親自讓耶穌基督的祭祀的職份
[00:03:22.040 --> 00:03:24.640]  是直着默基西德的等次
[00:03:24.640 --> 00:03:26.960]  而且是大祭祀
[00:03:26.960 --> 00:03:28.320]  到了第十一節
[00:03:28.320 --> 00:03:29.880]  上一節我也提過
[00:03:29.880 --> 00:03:31.840]  他說論到默基西德
[00:03:31.840 --> 00:03:33.480]  我有很多話想講
[00:03:33.480 --> 00:03:34.720]  不過先不講
[00:03:34.720 --> 00:03:36.920]  到了第六章十三節打後
[00:03:36.920 --> 00:03:38.600]  到了第七章的結尾
[00:03:38.600 --> 00:03:42.920]  就真的開始直着希伯羅書的作者去解釋
[00:03:42.920 --> 00:03:47.400]  將他對默基西德的觀念分享出來
[00:03:47.400 --> 00:03:50.120]  其實在我們讀《詩經》的來說
[00:03:50.120 --> 00:03:52.520]  我們《詩經學》裏面有一種觀點
[00:03:52.520 --> 00:03:54.440]  其中一個觀點就是以經解經
[00:03:54.440 --> 00:03:55.440]  我經常講
[00:03:55.440 --> 00:03:57.200]  以經解經的意思就是
[00:03:57.200 --> 00:03:58.720]  當你讀一節聖經的時候
[00:03:58.720 --> 00:04:00.400]  你不是很明白
