
[00:00:00.000 --> 00:00:03.440]  講起新年 我們華人的文化
[00:00:03.440 --> 00:00:06.680]  我們在新年裏面都會講一些祝賀的說話
[00:00:06.680 --> 00:00:08.000]  一些短的說話
[00:00:08.000 --> 00:00:11.200]  聖經裏面有一些文學的題材
[00:00:11.200 --> 00:00:13.520]  是有一點像這樣的氣氛
[00:00:13.520 --> 00:00:16.880]  有一點像這樣的格式
[00:00:16.880 --> 00:00:19.040]  這一本的書就叫做《針研》
[00:00:19.040 --> 00:00:20.160]  如果你可以的話
[00:00:20.160 --> 00:00:21.080]  打開去《針研》
[00:00:21.080 --> 00:00:24.160]  在聖經的中間大概那個地方
[00:00:24.160 --> 00:00:26.880]  我們現在的聖經就在詩篇之後
[00:00:26.880 --> 00:00:29.840]  《針研》Book of Proverbs
[00:00:29.840 --> 00:00:32.720]  這一本書我們很多時候
[00:00:32.720 --> 00:00:35.280]  未必會很整全地看
[00:00:35.280 --> 00:00:36.800]  或者由頭到尾地看
[00:00:36.800 --> 00:00:38.320]  因為我們打開《針研》的時候
[00:00:38.320 --> 00:00:41.440]  我們總是覺得好像有一些輝春的字句
[00:00:41.440 --> 00:00:42.800]  插在一起
[00:00:42.800 --> 00:00:47.040]  然後好像沒有什麼格式等等
[00:00:47.040 --> 00:00:50.000]  其實《針研》是一個選擇
[00:00:50.000 --> 00:00:51.520]  就是去到
[00:00:51.520 --> 00:00:53.840]  搜集了很多世界上
[00:00:53.840 --> 00:00:56.320]  或者他們當時的以色列國
[00:00:56.320 --> 00:00:58.320]  裏面一些有智慧的說話
[00:00:58.320 --> 00:01:00.320]  一些說話的智慧
[00:01:00.320 --> 00:01:01.920]  一些有智慧的說話
[00:01:01.920 --> 00:01:03.440]  去到告訴我們
[00:01:03.440 --> 00:01:05.680]  我們人生的生活
[00:01:05.680 --> 00:01:07.680]  我們應該怎麼去做一些抉擇
[00:01:07.680 --> 00:01:10.960]  通常都是一些兩句
[00:01:10.960 --> 00:01:12.240]  A句、B句
[00:01:12.240 --> 00:01:13.680]  或者三句、四句
[00:01:13.680 --> 00:01:15.280]  拼在一起的一些
[00:01:15.280 --> 00:01:20.000]  所謂好像格言那樣的格式
[00:01:20.000 --> 00:01:21.280]  什麼叫做智慧呢
[00:01:21.280 --> 00:01:21.920]  智慧文學
[00:01:21.920 --> 00:01:23.120]  說到智慧
[00:01:23.120 --> 00:01:24.880]  我們這幾個星期都看到
[00:01:24.880 --> 00:01:29.680]  聖經裏面有很多不同智慧文學的一些著作
[00:01:29.680 --> 00:01:31.040]  一些作品
[00:01:31.040 --> 00:01:32.400]  傳道書等等
[00:01:32.400 --> 00:01:36.400]  《針研》絕對就是最具代表性的
[00:01:36.400 --> 00:01:38.400]  什麼叫做智慧文學
[00:01:38.400 --> 00:01:39.600]  什麼叫做智慧
[00:01:39.600 --> 00:01:41.600]  聖經裏面說的wisdom
[00:01:41.600 --> 00:01:43.040]  就不是說IQ
[00:01:43.040 --> 00:01:46.080]  也不是說你讀書有沒有4.0
[00:01:46.080 --> 00:01:48.080]  是不是4.8
[00:01:48.080 --> 00:01:49.280]  智慧是什麼呢
[00:01:49.280 --> 00:01:51.280]  是生活的技巧
[00:01:51.280 --> 00:01:53.040]  生活的藝術
[00:01:53.040 --> 00:01:55.760]  怎樣在上帝的主權底下
[00:01:55.760 --> 00:01:58.160]  我們去到按照上帝的心意
[00:01:58.160 --> 00:02:01.440]  去到活得有skill
[00:02:01.440 --> 00:02:03.440]  有技巧
[00:02:03.440 --> 00:02:07.120]  有一點像今天我們說的所謂EQ
[00:02:07.120 --> 00:02:09.440]  Emotional Intelligence
[00:02:09.440 --> 00:02:13.440]  怎樣在你的職場上面有EQ
[00:02:13.440 --> 00:02:16.400]  怎樣在你的生活裏面有EQ等等
[00:02:16.400 --> 00:02:17.920]  有一點像是這樣
[00:02:17.920 --> 00:02:20.480]  所以我們不如今天看一下《針研》
[00:02:20.480 --> 00:02:21.680]  不同的地方
[00:02:21.680 --> 00:02:24.240]  或者是整本書這樣看
[00:02:24.240 --> 00:02:26.480]  看一下這本書怎樣幫助我們
[00:02:26.480 --> 00:02:28.080]  現在我們還在疫情裏面
[00:02:28.080 --> 00:02:31.440]  還在很多困境裏面
[00:02:31.440 --> 00:02:33.840]  這本書怎樣去提醒我們
[00:02:33.840 --> 00:02:35.600]  有什麼在生命裏面是最重要的
[00:02:35.600 --> 00:02:39.200]  所以我選了某一些《針研》來開始
[00:02:39.200 --> 00:02:40.880]  二十六章第十三節
[00:02:40.880 --> 00:02:42.320]  這裏智者這樣說
[00:02:42.320 --> 00:02:42.960]  他說什麼呢
[00:02:42.960 --> 00:02:45.520]  懶惰的人說路上有老虎
[00:02:45.520 --> 00:02:46.720]  有獅子
[00:02:46.720 --> 00:02:48.720]  廣場上有獅子
[00:02:48.720 --> 00:02:52.480]  懶惰的人在床上翻動
[00:02:52.480 --> 00:02:56.000]  就像繞著門鈸轉動一樣
[00:02:56.000 --> 00:02:58.800]  懶惰的人把手放在盤子裏
[00:02:58.800 --> 00:03:02.800]  連食物送回口邊也覺得勞累
[00:03:02.800 --> 00:03:07.920]  懶惰的人看自己比七個善於應對的人更加有智慧
[00:03:07.920 --> 00:03:08.880]  這裏說什麼
[00:03:08.880 --> 00:03:10.320]  這裏說懶人
[00:03:10.320 --> 00:03:11.600]  懶散的人
[00:03:11.600 --> 00:03:13.520]  懶散的人的生命是怎樣呢
[00:03:13.520 --> 00:03:15.200]  他說中間那兩節
[00:03:15.200 --> 00:03:20.160]  他用一些實物來去形容他
[00:03:20.160 --> 00:03:23.520]  就是說他好像在床上不想起床
[00:03:23.520 --> 00:03:26.080]  然後轉來轉去好像門鈸一樣
[00:03:26.080 --> 00:03:27.520]  轉來轉去也去不了哪裏
[00:03:27.520 --> 00:03:29.760]  都是在維持原地
[00:03:29.760 --> 00:03:33.680]  吃東西也不想出力
[00:03:33.680 --> 00:03:36.880]  其實是一種嘲諷的手法
[00:03:36.880 --> 00:03:39.520]  來去嘲諷一個懶的人
[00:03:39.520 --> 00:03:41.520]  頭尾就告訴我們
[00:03:41.520 --> 00:03:43.520]  第一句和第四句
[00:03:43.520 --> 00:03:47.280]  就是懶的人心裏面的想法是什麼
[00:03:47.280 --> 00:03:49.280]  他說外面有獅子
[00:03:49.280 --> 00:03:51.280]  就是外面有猛獸
[00:03:51.280 --> 00:03:53.280]  有很多危險很多anxiety
[00:03:53.280 --> 00:03:55.280]  我還是不要出去了
[00:03:55.280 --> 00:03:58.240]  不要出去的意思就是說不要去到工作
[00:03:58.240 --> 00:04:02.720]  不要去到用我的productivity
[00:04:02.720 --> 00:04:06.160]  我的工作能夠去祝福到人
[00:04:06.160 --> 00:04:06.960]  我都不做了
[00:04:06.960 --> 00:04:08.960]  因為外面太多事情令我憂慮
[00:04:08.960 --> 00:04:11.760]  然後最後那裏說什麼
[00:04:11.760 --> 00:04:12.480]  第四句
[00:04:12.480 --> 00:04:16.640]  他說懶惰的人想一想他怎樣看自己
[00:04:16.640 --> 00:04:19.440]  懶惰的人就是覺得自己很聰明
[00:04:19.440 --> 00:04:20.960]  你看我多懶
[00:04:20.960 --> 00:04:22.960]  我不需要做任何事情
[00:04:22.960 --> 00:04:26.160]  然後我又可以生活又有東西吃
[00:04:26.160 --> 00:04:29.600]  這些就是貪小便宜的時候覺得自己很聰明
[00:04:29.600 --> 00:04:30.640]  所以這裏說什麼
[00:04:30.640 --> 00:04:33.440]  他說比七個自己想
[00:04:33.440 --> 00:04:35.440]  懶散的人
[00:04:35.440 --> 00:04:39.440]  自己以為是比七個懂得應對的人
[00:04:39.440 --> 00:04:41.440]  有智慧的人更加聰明
[00:04:41.440 --> 00:04:43.440]  這個也是一個嘲諷
[00:04:43.440 --> 00:04:47.360]  有一點像我們今天中文有句格言叫做
[00:04:47.360 --> 00:04:49.360]  懶牛屎尿多
[00:04:49.360 --> 00:04:51.360]  懶人就明日多
[00:04:51.360 --> 00:04:53.360]  明天多
[00:04:53.360 --> 00:04:55.360]  懶散的人
[00:04:55.360 --> 00:04:58.160]  告訴我們不只是單單勤力這麼簡單
[00:04:58.160 --> 00:05:00.160]  在今年的世界裏面
[00:05:00.160 --> 00:05:02.160]  一個懶散的人
[00:05:02.160 --> 00:05:06.400]  就是不想去到供應或者不想去到祝福群體
[00:05:06.400 --> 00:05:08.400]  不想去建立群體
[00:05:08.400 --> 00:05:11.440]  懶散的人反過來就是一個勤力的義人
[00:05:11.440 --> 00:05:14.400]  義人就是想用他的才幹
[00:05:14.400 --> 00:05:16.400]  他的能力和時間
[00:05:16.400 --> 00:05:18.400]  來去祝福其他人
[00:05:18.400 --> 00:05:20.400]  所以永遠都是Art of Center的
[00:05:20.400 --> 00:05:22.400]  不是純粹叫我們勤力不要懶這麼簡單
[00:05:22.400 --> 00:05:24.400]  另外一段聖經
[00:05:24.400 --> 00:05:26.400]  又是講到懶人的
[00:05:26.400 --> 00:05:28.400]  這段我是最喜歡的
[00:05:28.400 --> 00:05:30.400]  二十章第三十節
[00:05:30.400 --> 00:05:32.400]  這裏道出了真言
[00:05:32.400 --> 00:05:34.400]  智者想做些什麼
[00:05:34.400 --> 00:05:36.400]  或者智者和其他善智有什麼分別
[00:05:36.400 --> 00:05:38.400]  二十章第三十節
[00:05:38.400 --> 00:05:40.400]  智者說什麼
[00:05:40.400 --> 00:05:42.400]  他說他經過懶惰人的田地
[00:05:42.400 --> 00:05:44.400]  無知人的葡萄園
[00:05:44.400 --> 00:05:46.400]  只見到到處長滿泥濘
[00:05:46.400 --> 00:05:48.400]  地面長滿刺草
[00:05:48.400 --> 00:05:50.400]  石牆也倒塌了
[00:05:50.400 --> 00:05:52.400]  我看了
[00:05:52.400 --> 00:05:54.400]  我用心去到思考
[00:05:54.400 --> 00:05:56.400]  我看見了
[00:05:56.400 --> 00:05:58.400]  就領受了教訓
[00:05:58.400 --> 00:06:00.400]  再睡片時
[00:06:00.400 --> 00:06:02.400]  打頓片時
[00:06:02.400 --> 00:06:04.400]  抱手躺臥片時
[00:06:04.400 --> 00:06:06.400]  你的貧窮就必將
[00:06:06.400 --> 00:06:08.400]  強度來到你的缺乏
[00:06:08.400 --> 00:06:10.400]  就會將拿兵器的人來到
[00:06:10.400 --> 00:06:12.400]  這位智者
[00:06:12.400 --> 00:06:14.400]  the wise man
[00:06:14.400 --> 00:06:16.400]  他和
[00:06:16.400 --> 00:06:18.400]  聖經裏面其他的人有什麼分別
[00:06:18.400 --> 00:06:20.400]  譬如祭司或者先知
[00:06:20.400 --> 00:06:22.400]  先知會是怎樣的
[00:06:22.400 --> 00:06:24.400]  先知得到上帝的默示
[00:06:24.400 --> 00:06:26.400]  就是他被聖靈
[00:06:26.400 --> 00:06:28.400]  的工作
[00:06:28.400 --> 00:06:30.400]  去感動
[00:06:30.400 --> 00:06:32.400]  他就去到另一個境界去到天上
[00:06:32.400 --> 00:06:34.400]  能夠見到上帝給他的vision
[00:06:34.400 --> 00:06:36.400]  然後將vision
[00:06:36.400 --> 00:06:38.400]  拿了的message他就下來
[00:06:38.400 --> 00:06:40.400]  他就去到向神的子民
[00:06:40.400 --> 00:06:42.400]  宣告
[00:06:42.400 --> 00:06:44.400]  這個是先知
[00:06:44.400 --> 00:06:46.400]  但是
[00:06:46.400 --> 00:06:48.400]  wiseman
[00:06:48.400 --> 00:06:50.400]  wisdom 智者是做什麼
[00:06:50.400 --> 00:06:52.400]  智者就沒有去到
[00:06:52.400 --> 00:06:54.400]  另一個境界
[00:06:54.400 --> 00:06:56.400]  智者用他的眼 用他的觸覺
[00:06:56.400 --> 00:06:58.400]  去觀察
[00:06:58.400 --> 00:07:00.400]  所謂
[00:07:00.400 --> 00:07:02.400]  觀察人心百態
[00:07:02.400 --> 00:07:04.400]  觀察這個宇宙這個世界
[00:07:04.400 --> 00:07:06.400]  他就領略到一些東西
[00:07:06.400 --> 00:07:08.400]  你見到他這裏
[00:07:08.400 --> 00:07:10.400]  他經過懶惰人的地方
[00:07:10.400 --> 00:07:12.400]  他的田地
[00:07:12.400 --> 00:07:14.400]  他的farmland
[00:07:14.400 --> 00:07:16.400]  他就領略到一些東西
[00:07:16.400 --> 00:07:18.400]  他見到一些自然界裏面
[00:07:18.400 --> 00:07:20.400]  的定律
[00:07:20.400 --> 00:07:22.400]  自然界的定律是什麼
[00:07:22.400 --> 00:07:24.400]  水一定向低流
[00:07:24.400 --> 00:07:26.400]  石頭一定是向
[00:07:26.400 --> 00:07:28.400]  下跌
[00:07:28.400 --> 00:07:30.400]  你不去修補他的時候
[00:07:30.400 --> 00:07:32.400]  他就會破壞
[00:07:32.400 --> 00:07:34.400]  他就會敗壞
[00:07:34.400 --> 00:07:36.400]  智者去到睜大眼睛
[00:07:36.400 --> 00:07:38.400]  去觀察這個世界
[00:07:38.400 --> 00:07:40.400]  他就發現有一個
[00:07:40.400 --> 00:07:42.400]  一個order
[00:07:42.400 --> 00:07:44.400]  那個規律
[00:07:44.400 --> 00:07:46.400]  那個規律就是
[00:07:46.400 --> 00:07:48.400]  如果我們
[00:07:48.400 --> 00:07:50.400]  不留意的話
[00:07:50.400 --> 00:07:52.400]  我們不去到下功夫的話
[00:07:52.400 --> 00:07:54.400]  世界裏面就有一個
[00:07:54.400 --> 00:07:56.400]  勢力
[00:07:56.400 --> 00:07:58.400]  有一種看不到的勢力
[00:07:58.400 --> 00:08:00.400]  我們現在知道
[00:08:00.400 --> 00:08:02.400]  他講的是gravity
[00:08:02.400 --> 00:08:04.400]  那種勢力做什麼呢
[00:08:04.400 --> 00:08:06.400]  那種勢力就是會令到我們生活
[00:08:06.400 --> 00:08:08.400]  由秩序變成混亂
[00:08:08.400 --> 00:08:10.400]  由order變成
[00:08:10.400 --> 00:08:12.400]  disorder變成chaos
[00:08:12.400 --> 00:08:14.400]  除非
[00:08:14.400 --> 00:08:16.400]  我們肯
[00:08:16.400 --> 00:08:18.400]  下功夫
[00:08:18.400 --> 00:08:20.400]  加一些能量下去
[00:08:20.400 --> 00:08:22.400]  將一些東西修理好
[00:08:22.400 --> 00:08:24.400]  整理好
[00:08:24.400 --> 00:08:26.400]  把石頭放回去
[00:08:26.400 --> 00:08:28.400]  或者將野草
[00:08:28.400 --> 00:08:30.400]  拔掉
[00:08:30.400 --> 00:08:32.400]  如果不是呢
[00:08:32.400 --> 00:08:34.400]  生命就一定會敗壞
[00:08:34.400 --> 00:08:36.400]  看看我們房屋
[00:08:36.400 --> 00:08:38.400]  清潔小鎮都不行
[00:08:38.400 --> 00:08:40.400]  我們住在city的人
[00:08:40.400 --> 00:08:42.400]  我們知道那些塵多少
[00:08:42.400 --> 00:08:44.400]  整天我們都要去清潔
[00:08:44.400 --> 00:08:46.400]  如果我們不下功夫的話
[00:08:46.400 --> 00:08:48.400]  不去reverse規律的話
[00:08:48.400 --> 00:08:50.400]  那個
[00:08:50.400 --> 00:08:52.400]  自然界
[00:08:52.400 --> 00:08:54.400]  就會
[00:08:54.400 --> 00:08:56.400]  混亂
[00:08:56.400 --> 00:08:58.400]  田地一定會由order變成chaos
[00:08:58.400 --> 00:09:00.400]  他不是停在這裡
[00:09:00.400 --> 00:09:02.400]  他不只是單單
[00:09:02.400 --> 00:09:04.400]  做一個自然的
[00:09:04.400 --> 00:09:06.400]  科學家
[00:09:06.400 --> 00:09:08.400]  或者觀察到
[00:09:08.400 --> 00:09:10.400]  自然的道理
[00:09:10.400 --> 00:09:12.400]  智者在做什麼呢
[00:09:12.400 --> 00:09:14.400]  在做一些屬靈的教師
[00:09:14.400 --> 00:09:16.400]  他領略了這個規律的時候
[00:09:16.400 --> 00:09:18.400]  他就去到
[00:09:18.400 --> 00:09:20.400]  應用在他的生命裏面
[00:09:20.400 --> 00:09:22.400]  就是說
[00:09:22.400 --> 00:09:24.400]  在屬靈上spiritually
[00:09:24.400 --> 00:09:26.400]  其實都是一樣
[00:09:26.400 --> 00:09:28.400]  你想想你的生命和上帝的關係
[00:09:28.400 --> 00:09:30.400]  在基督徒的生命
[00:09:30.400 --> 00:09:32.400]  如果
[00:09:32.400 --> 00:09:34.400]  你有他的話
[00:09:34.400 --> 00:09:36.400]  你冷散的話
[00:09:36.400 --> 00:09:38.400]  你一定會
[00:09:38.400 --> 00:09:40.400]  由本身的order
[00:09:40.400 --> 00:09:42.400]  變成chaos
[00:09:42.400 --> 00:09:44.400]  本身有的規律
[00:09:44.400 --> 00:09:46.400]  一定很快就會沒有
[00:09:46.400 --> 00:09:48.400]  變成混亂變成貧窮
[00:09:48.400 --> 00:09:50.400]  除非
[00:09:50.400 --> 00:09:52.400]  你肯下功夫
[00:09:52.400 --> 00:09:54.400]  你就去維持
[00:09:54.400 --> 00:09:56.400]  那個秩序
[00:09:56.400 --> 00:09:58.400]  你生命才會有平安
[00:09:58.400 --> 00:10:00.400]  你生命才會有
[00:10:00.400 --> 00:10:02.400]  神的祝福
[00:10:02.400 --> 00:10:04.400]  你想想
[00:10:04.400 --> 00:10:06.400]  我們的工作
[00:10:06.400 --> 00:10:08.400]  我們的家庭
[00:10:08.400 --> 00:10:10.400]  我們侍奉我們自己和上帝
[00:10:10.400 --> 00:10:12.400]  自己的關係
[00:10:12.400 --> 00:10:14.400]  給少一點功夫
