
[00:00:00.000 --> 00:00:03.080]  我在二十年前左右做過一間
[00:00:03.080 --> 00:00:06.220]  都是我自己創辦的一間雜誌公司
[00:00:06.220 --> 00:00:08.220]  我是一間雜誌公司的主席
[00:00:08.220 --> 00:00:14.320]  總之其中一個節目就是做了一份周刊的雜誌
[00:00:14.320 --> 00:00:18.120]  當時我們做最初那段時間
[00:00:18.120 --> 00:00:21.640]  我們這份雜誌號稱是健康第二最好賣的雜誌
[00:00:21.640 --> 00:00:23.480]  每個禮拜
[00:00:23.480 --> 00:00:25.480]  當然現在不能馬上講
[00:00:25.480 --> 00:00:28.040]  因為連第一那一本當時第一那一本
[00:00:28.040 --> 00:00:30.560]  亦都齊全都做不成
[00:00:30.560 --> 00:00:33.680]  所以健診雜誌是一個極勾的東西
[00:00:33.680 --> 00:00:35.120]  但當時不是勾
[00:00:35.120 --> 00:00:36.520]  我們做了一本雜誌
[00:00:36.520 --> 00:00:38.520]  我們創刊的時候
[00:00:38.520 --> 00:00:41.320]  我們就在想創刊要打起一個招牌
[00:00:41.320 --> 00:00:45.400]  就是我們第一個做的頭版訪問案的那個人
[00:00:45.400 --> 00:00:48.680]  那本雜誌我們跟鄭大班鄭英漢一起做的
[00:00:48.680 --> 00:00:51.920]  所以我們馬上就想起鄭英漢的一個老友
[00:00:51.920 --> 00:00:54.440]  當然這個老友現在就比較敏感
[00:00:54.440 --> 00:00:56.680]  譬如說就是曾錦權
[00:00:56.680 --> 00:00:59.360]  後來他當時還沒有做特首
[00:00:59.360 --> 00:01:03.280]  當時曾錦權是剛剛升任政務司司長
[00:01:03.280 --> 00:01:07.000]  剛剛宣佈了他是總理上面的司長
[00:01:07.000 --> 00:01:09.320]  我們於是就決定去訪問曾錦權
[00:01:09.320 --> 00:01:12.200]  就是用他的一個獨家專訪
[00:01:12.200 --> 00:01:14.120]  講他自己的登陸歷程
[00:01:14.120 --> 00:01:17.400]  作為我們的創刊的頭版
[00:01:17.400 --> 00:01:20.160]  做完那個訪問之後
[00:01:20.160 --> 00:01:22.920]  我們跟鄭大班
[00:01:22.920 --> 00:01:25.760]  和當時的總編輯和幾個編輯
[00:01:25.760 --> 00:01:30.080]  我們坐在那裡談那個專訪出來的時候
[00:01:30.080 --> 00:01:33.080]  有一張很大張的曾錦權的帥哥照片
[00:01:33.080 --> 00:01:35.920]  我們的題目在雜誌上是怎樣寫的
[00:01:35.920 --> 00:01:37.920]  我們就爭論了很久
[00:01:37.920 --> 00:01:41.600]  基本上我們幾個人裡面有一半人覺得
[00:01:41.600 --> 00:01:45.480]  三個大字寫著「我自大」
