
[00:00:00.000 --> 00:00:03.000]  我們知道萬物都互相效力
[00:00:03.000 --> 00:00:05.600]  來叫愛神的人得益處
[00:00:05.600 --> 00:00:09.000]  所以五十年來都是神不變的恩情
[00:00:09.000 --> 00:00:13.100]  有人的地方永遠都有不完美
[00:00:13.100 --> 00:00:15.000]  但是雖然是不完美
[00:00:15.000 --> 00:00:16.900]  這個不單是人的地方
[00:00:16.900 --> 00:00:18.600]  這是神的地方
[00:00:18.600 --> 00:00:21.300]  所以神叫萬物都互相效力
[00:00:21.300 --> 00:00:23.000]  叫愛他人得益處
[00:00:23.000 --> 00:00:26.400]  所以我仍然今天傳了一個凡事感恩的心
[00:00:26.400 --> 00:00:30.000]  來和大家分享主的道
[00:00:30.000 --> 00:00:33.700]  來慶祝這五十年神自己的恩情
[00:00:33.700 --> 00:00:36.400]  好了 大家今年的年提叫作
[00:00:36.400 --> 00:00:40.400]  作基督精兵 上學叫世衛主精兵
[00:00:40.400 --> 00:00:43.200]  想到當兵的時候大家有什麼感受
[00:00:43.200 --> 00:00:45.700]  想想我都快要退休了
[00:00:45.700 --> 00:00:47.200]  雖然我當然有些年輕人
[00:00:47.200 --> 00:00:48.700]  但是通常人們中年以後
[00:00:48.700 --> 00:00:51.200]  這個問題都會在腦裡浮現
[00:00:51.200 --> 00:00:52.700]  那時候你說不要吧
[00:00:52.700 --> 00:00:55.500]  要我當兵留給年輕人
[00:00:55.500 --> 00:00:57.400]  你不要叫我做精兵
[00:00:57.400 --> 00:00:59.400]  我當兵都不想當
[00:00:59.400 --> 00:01:00.400]  真的都不想
[00:01:00.400 --> 00:01:03.900]  於是我就想起加納這個人
[00:01:03.900 --> 00:01:06.400]  加納這個人到他八十歲的時候
[00:01:06.400 --> 00:01:07.200]  他做什麼
[00:01:07.200 --> 00:01:09.800]  他說Give me this mountain
[00:01:09.800 --> 00:01:11.200]  給我這個山
[00:01:11.200 --> 00:01:11.900]  我們做什麼
[00:01:11.900 --> 00:01:13.900]  去探世界嗎
[00:01:13.900 --> 00:01:15.600]  去那裡游山玩水嗎
[00:01:15.600 --> 00:01:16.400]  不是
[00:01:16.400 --> 00:01:19.400]  他用這個山的時候就是要征服這個山
[00:01:19.400 --> 00:01:21.100]  因為天父給他的
[00:01:21.100 --> 00:01:24.000]  就是說那個地方就是要征服的地方
[00:01:24.000 --> 00:01:26.100]  所以他不單止是退休之年
[00:01:26.100 --> 00:01:27.600]  他更加是
[00:01:27.600 --> 00:01:29.600]  說得有點過頭了
[00:01:29.600 --> 00:01:31.400]  他已經八十四歲了
[00:01:31.400 --> 00:01:33.100]  因為聖經告訴我們
[00:01:33.100 --> 00:01:36.100]  就是《詩人九十篇》九十篇那裡說
[00:01:36.100 --> 00:01:37.700]  人都是七十歲
[00:01:37.700 --> 00:01:39.600]  你骨頭硬一點的時候八十歲
[00:01:39.600 --> 00:01:41.600]  但是這個加納的老翁
[00:01:41.600 --> 00:01:43.100]  八十四歲的時候
[00:01:43.100 --> 00:01:44.800]  他不單止要當兵
[00:01:44.800 --> 00:01:46.800]  他更加要領兵去打仗
[00:01:46.800 --> 00:01:48.800]  哇 真的很厲害
[00:01:48.800 --> 00:01:51.200]  想像楊家將那個楊令公那樣
[00:01:51.200 --> 00:01:54.000]  他還要去打仗 不單止去打仗
[00:01:54.000 --> 00:01:56.000]  還要去領兵打仗的
[00:01:56.000 --> 00:01:58.800]  所以今天就是我們來到
[00:01:58.800 --> 00:02:00.200]  希望都激勵我們
[00:02:00.200 --> 00:02:02.200]  今天雖然有時候我們都會想退休
[00:02:02.200 --> 00:02:03.400]  我們都會想退休
[00:02:03.400 --> 00:02:06.500]  但是聖經告訴我們就是
[00:02:06.500 --> 00:02:07.500]  我們要仍然是
[00:02:07.500 --> 00:02:09.800]  希望因著五十年的恩情
[00:02:09.800 --> 00:02:13.000]  我們能夠洗作主的真病
[00:02:13.000 --> 00:02:16.000]  在大家這個月的金句那裡
[00:02:16.000 --> 00:02:18.800]  這個提前二章三到四節
[00:02:18.800 --> 00:02:19.800]  應該是三到四節的
[00:02:19.800 --> 00:02:22.200]  不過陳仲康傳道很好
[00:02:22.200 --> 00:02:23.800]  擔心你們這麼長
[00:02:23.800 --> 00:02:24.800]  所以短一點
[00:02:24.800 --> 00:02:26.200]  他給我就是二三節的
[00:02:26.200 --> 00:02:27.800]  所以我二三節都要讀完
[00:02:27.800 --> 00:02:29.800]  那裡面說的就是
[00:02:29.800 --> 00:02:32.800]  他說 你要和我同壽苦難
[00:02:32.800 --> 00:02:35.000]  好像基督耶穌的真兵
[00:02:35.000 --> 00:02:37.200]  犯在軍中當兵的
[00:02:37.200 --> 00:02:39.400]  就不將誓無全身
[00:02:39.400 --> 00:02:42.800]  好叫那朝他當兵的人的喜悅
[00:02:42.800 --> 00:02:43.600]  各位
[00:02:43.600 --> 00:02:45.800]  今天我們都是希望
[00:02:45.800 --> 00:02:52.000]  去召我們進入軍役的人的喜悅
[00:02:52.000 --> 00:02:53.000]  這個是誰呢
[00:02:53.000 --> 00:02:54.800]  摩爾曼就是我們的天父
[00:02:54.800 --> 00:02:56.600]  摩爾曼就是我們的主耶穌
[00:02:56.600 --> 00:02:58.400]  摩爾曼就是三一真神的聖靈
[00:02:58.400 --> 00:02:59.800]  我們要怎樣呢
[00:02:59.800 --> 00:03:03.200]  今天三一真神和我們有兩個真理
[00:03:03.200 --> 00:03:06.400]  怎樣去誓為主精兵
[00:03:06.400 --> 00:03:07.800]  一個就是精兵
[00:03:07.800 --> 00:03:11.000]  永遠都是以天父的事為念的
[00:03:11.000 --> 00:03:14.600]  精兵永遠都是愛神愛人的
[00:03:14.600 --> 00:03:17.000]  我們就看一下這兩個真理
[00:03:17.000 --> 00:03:21.000]  事後精兵是要永遠以天父的事為念
[00:03:21.000 --> 00:03:23.200]  我們就看主東文裡面的經文
[00:03:23.200 --> 00:03:24.400]  經文那裡說
[00:03:24.400 --> 00:03:25.000]  大家都很熟
[00:03:25.000 --> 00:03:26.600]  不如一起唸一唸
[00:03:26.600 --> 00:03:27.600]  就是上一個位
[00:03:27.600 --> 00:03:28.400]  不要唸
[00:03:28.400 --> 00:03:30.600]  所以你們祖國要這樣說
