
[00:00:00.000 --> 00:00:05.480]  我們會藉著聆聽神的話語去敬拜主
[00:00:05.480 --> 00:00:11.120]  今天講到的經文記載於肥勒比書第一章一至八節
[00:00:11.120 --> 00:00:14.040]  我們完成了《使徒行傳》之後
[00:00:14.040 --> 00:00:18.680]  就寫到保羅在羅馬被軟禁
[00:00:18.680 --> 00:00:22.400]  至少有兩年的時間
[00:00:22.400 --> 00:00:25.920]  大概在主曆六十
[00:00:25.920 --> 00:00:30.880]  我們深信他寫了這本寶貴的肥勒比書
[00:00:30.880 --> 00:00:34.840]  我們聽到之前都讀今天的經文
[00:00:34.840 --> 00:00:39.680]  在肥勒比書第一章一至八節
[00:00:39.680 --> 00:00:42.680]  肥勒比書第一章一至八節
[00:00:42.680 --> 00:00:47.880]  基督耶穌的僕人保羅和提摩太寫信給著肥勒比
[00:00:47.880 --> 00:00:54.320]  在基督耶穌女的眾聖徒以及諸位監督和執事
[00:00:54.320 --> 00:01:00.760]  願因為平安從我們的父神和主耶穌基督歸給你們
[00:01:00.760 --> 00:01:04.200]  我每逢想念你們就感謝我的神
[00:01:04.200 --> 00:01:10.160]  每逢為你們眾人祈求的時候總是歡歡喜喜地祈求
[00:01:10.160 --> 00:01:13.080]  因為從第一天直到如今
[00:01:13.080 --> 00:01:16.840]  你們都同心合意興旺福音
[00:01:16.840 --> 00:01:21.120]  我深信那在你們心裡動了美好工作的
[00:01:21.120 --> 00:01:25.200]  到了耶穌基督的日子必完成這功
[00:01:25.200 --> 00:01:28.080]  我為你們眾人有這樣的想法
[00:01:28.080 --> 00:01:29.680]  原是應當的
[00:01:29.680 --> 00:01:32.360]  因為你們常在我心裡
[00:01:32.360 --> 00:01:37.440]  無論我是在困所中在辯明並證實福音的時候
[00:01:37.440 --> 00:01:40.080]  你們都與我一同蒙恩
[00:01:40.080 --> 00:01:44.480]  我以基督耶穌的心腸切切想念你們眾人
[00:01:44.480 --> 00:01:48.520]  這是神可以為我作證的
[00:01:48.520 --> 00:01:50.800]  我們再祈禱一下
[00:01:50.800 --> 00:01:55.840]  天父我們感謝祢給我們寶貴的話語
[00:01:55.840 --> 00:02:00.000]  求聖靈你在我們心裡面動功
[00:02:00.000 --> 00:02:04.360]  讓祢的話語不是普通的新聞
[00:02:04.360 --> 00:02:07.680]  不是普通的信息
[00:02:07.680 --> 00:02:12.760]  乃是我們認定是神祢的真理
[00:02:12.760 --> 00:02:17.600]  是神祢透過文字
[00:02:17.600 --> 00:02:23.800]  透過這些說話向我們啟示祢的真理
[00:02:23.800 --> 00:02:26.320]  要使我們的生命得滋潤
[00:02:26.320 --> 00:02:28.920]  使我們的生命得長進
[00:02:28.920 --> 00:02:30.760]  得改變
[00:02:30.760 --> 00:02:32.520]  得到力量
[00:02:32.520 --> 00:02:35.560]  鼓勵和安慰
[00:02:35.560 --> 00:02:37.800]  求祢幫助我們
[00:02:37.800 --> 00:02:41.880]  主我們也為我們完成了小行傳
[00:02:41.880 --> 00:02:43.920]  我們讀菲律賓書
[00:02:43.920 --> 00:02:46.760]  求祢幫我們更加體會
[00:02:46.760 --> 00:02:51.320]  菲律賓教會在書信裡要學的功課
[00:02:51.320 --> 00:02:53.200]  怎樣做一個喜樂
[00:02:53.200 --> 00:02:56.200]  怎樣做一個有愛、合一
[00:02:56.200 --> 00:02:58.840]  一個榮耀祢的教會
[00:02:58.840 --> 00:03:00.080]  聽我們同心祈禱
[00:03:00.080 --> 00:03:01.680]  奉耶穌的聖名
[00:03:01.680 --> 00:03:02.680]  阿門
[00:03:16.760 --> 00:03:18.560]  與被愛的關係
[00:03:18.560 --> 00:03:23.120]  很切合我們啟福堂最近的主題
[00:03:23.120 --> 00:03:26.280]  或者我們所著重的焦點
[00:03:26.280 --> 00:03:28.280]  作為一個屬靈的群體
[00:03:28.280 --> 00:03:29.800]  我們只有一個很清楚的目標
[00:03:29.800 --> 00:03:30.960]  就是耶穌基督
[00:03:30.960 --> 00:03:32.640]  叫我們所有得救的人
[00:03:32.640 --> 00:03:34.080]  作為神的兒女
[00:03:34.080 --> 00:03:36.800]  我們都要做主的門徒
[00:03:36.800 --> 00:03:38.920]  作為保羅怎樣培育
[00:03:38.920 --> 00:03:40.400]  菲律賓教會的人
[00:03:40.400 --> 00:03:42.640]  做主的門徒
[00:03:42.640 --> 00:03:44.600]  其中一個特色就是
[00:03:44.600 --> 00:03:46.280]  一個主的門徒
[00:03:46.280 --> 00:03:49.160]  保羅說是可以很有喜樂的
[00:03:49.160 --> 00:03:50.160]  喜樂
[00:03:50.160 --> 00:03:52.200]  但今天我們看新聞
[00:03:52.200 --> 00:03:53.920]  快樂其實不是很多
[00:03:53.920 --> 00:03:55.720]  一說到快樂
[00:03:55.720 --> 00:03:59.440]  就是有些人快樂
[00:03:59.440 --> 00:04:04.560]  就對比或影襯出很多人不快樂
[00:04:04.560 --> 00:04:05.240]  很奇怪
[00:04:05.240 --> 00:04:08.520]  你看到世界做很多快樂指數的事
[00:04:08.520 --> 00:04:10.200]  你看完就發覺
[00:04:10.200 --> 00:04:12.280]  對比就是
[00:04:12.280 --> 00:04:15.760]  想顯出快樂的人很少
[00:04:15.760 --> 00:04:17.280]  不多
[00:04:17.280 --> 00:04:19.720]  好像越繁榮的社會
[00:04:19.720 --> 00:04:21.080]  越多自殺
[00:04:21.080 --> 00:04:23.800]  越多抑鬱
[00:04:23.800 --> 00:04:25.760]  所以說快樂
[00:04:25.760 --> 00:04:27.920]  反而是一種
[00:04:27.920 --> 00:04:31.040]  影襯出世界很多鬱結
[00:04:31.040 --> 00:04:32.160]  很多抑鬱
[00:04:32.160 --> 00:04:34.960]  很多負面的情緒
[00:04:34.960 --> 00:04:36.160]  關於抑鬱
[00:04:36.160 --> 00:04:37.360]  有些人說
[00:04:37.360 --> 00:04:40.440]  如果真的要看醫生
[00:04:40.440 --> 00:04:42.320]  除了要服藥治療
[00:04:42.320 --> 00:04:43.240]  他們會說
[00:04:43.240 --> 00:04:46.160]  怎樣做正向的操練
[00:04:46.160 --> 00:04:47.720]  譬如他會說
[00:04:47.720 --> 00:04:49.240]  你如果很不開心
[00:04:49.240 --> 00:04:51.240]  你找個地方關上門
[00:04:51.240 --> 00:04:52.760]  大聲叫出來
[00:04:52.760 --> 00:04:54.760]  我好辛苦
[00:04:54.760 --> 00:04:57.720]  我受不了
[00:04:57.720 --> 00:04:59.480]  大聲叫
[00:04:59.480 --> 00:05:02.320]  可以抒發你們的情感
[00:05:02.320 --> 00:05:04.800]  或者開著唱機
[00:05:04.800 --> 00:05:06.480]  唱一些很厲害的歌
[00:05:06.480 --> 00:05:08.680]  大聲呼喊
[00:05:08.680 --> 00:05:14.640]  睡覺時播放一些正面的說話
[00:05:14.640 --> 00:05:18.040]  或者鼓勵正面思想的音樂
[00:05:18.040 --> 00:05:20.680]  或者是訊息
[00:05:20.680 --> 00:05:24.200]  他說你要學習一些創意的想像力
[00:05:24.200 --> 00:05:27.480]  能夠幫你看東西用不同的角度
[00:05:27.480 --> 00:05:31.160]  譬如看東西要有幽默感
[00:05:31.160 --> 00:05:33.160]  他會教你很多方法
[00:05:33.160 --> 00:05:35.640]  來幫你成為一個正向的人
[00:05:35.640 --> 00:05:41.480]  他又會教你要把焦點放在當下
[00:05:41.480 --> 00:05:42.800]  放在現在
[00:05:42.800 --> 00:05:45.080]  不要想以前的不開心事
[00:05:45.080 --> 00:05:47.080]  也不要想將來會怎樣
[00:05:47.080 --> 00:05:49.120]  因為想起將來會有很多憂慮
[00:05:49.120 --> 00:05:50.080]  很多恐懼
[00:05:50.080 --> 00:05:51.920]  想起過去會有很多遺憾
[00:05:51.920 --> 00:05:54.920]  所以要定精在當下
[00:05:54.920 --> 00:05:56.640]  最後他會說
