
[00:00:00.000 --> 00:00:11.000]  今日和大家分享一下保羅在面對全福音或是建立教會的心聲
[00:00:11.000 --> 00:00:16.000]  在題目上大家可以在網上尋找自己的意思
[00:00:16.000 --> 00:00:28.400]  都是一些早期學者面對社會變遷時的心聲
[00:00:28.400 --> 00:00:38.000]  在當中借用、帶出保羅在當時面對木會時
[00:00:38.000 --> 00:00:42.000]  面對教會不同處境時的一些心聲
[00:00:42.000 --> 00:00:44.000]  如果從第一章來看
[00:00:44.000 --> 00:00:49.400]  貼薩萊尼加教會應該是一間很有見證的教會
[00:00:49.400 --> 00:00:56.000]  因為他們合乎使徒保羅所認定有信心、有愛心和盼望的教會
[00:00:56.000 --> 00:01:00.000]  在第一章三節大家可以留意到
[00:01:00.000 --> 00:01:04.000]  保羅對這間教會稱讚
[00:01:04.000 --> 00:01:11.000]  但當時早期教會建立時也面對著不少問題
[00:01:11.000 --> 00:01:19.000]  保羅在貼薩萊尼加全福音時也會面對著一些反對的力量
[00:01:19.000 --> 00:01:24.000]  而反對力量最大的可以說有兩種
[00:01:24.000 --> 00:01:27.000]  第一種是由猶太教而來
[00:01:27.000 --> 00:01:31.000]  第二種是由當時民間宗教的領袖而來
[00:01:31.000 --> 00:01:35.000]  因為當保羅去全福音建立教會時
[00:01:35.000 --> 00:01:42.000]  首先也會對這兩個群體形成威脅
[00:01:42.000 --> 00:01:48.000]  因為當時他去建立基督教
[00:01:48.000 --> 00:01:54.000]  對猶太教來說可以說是一個新興的支派
[00:01:54.000 --> 00:02:01.000]  無論在神學上或是對當時宗教的結構
[00:02:01.000 --> 00:02:05.000]  都形成了一個他們不能估計的因素
[00:02:05.000 --> 00:02:08.000]  所以對他們來說也會形成一個威脅
[00:02:08.000 --> 00:02:11.000]  而對當時民間宗教的領袖來說
[00:02:11.000 --> 00:02:17.000]  可能一個宗教對他們的新計產生一個影響
[00:02:17.000 --> 00:02:21.000]  所以對當時的民間宗教領袖來說
[00:02:21.000 --> 00:02:25.000]  對他們來說也是因為影響到他們的收入來源
[00:02:25.000 --> 00:02:29.000]  所以對他們來說也是感受到一種威脅在當中
[00:02:29.000 --> 00:02:37.000]  因此他們想盡辦法去阻止仕途保羅去全福音之外
[00:02:37.000 --> 00:02:43.000]  亦在這些過程中來故意製造一些社會動亂
[00:02:43.000 --> 00:02:50.000]  目的是要引起羅馬政府的一些注意
[00:02:50.000 --> 00:02:57.000]  而令到因為他們這些非法的行動
[00:02:57.000 --> 00:03:02.000]  然後他們就報警、查暴封艇、拘捕人
[00:03:02.000 --> 00:03:05.000]  他們的福音行動就可以因為這樣
[00:03:05.000 --> 00:03:11.000]  因為他們被捕入獄而令到他們的福音工作停止
[00:03:11.000 --> 00:03:14.000]  而要離開他們當時全福音的地方
[00:03:14.000 --> 00:03:21.000]  通常當時的猶太教領袖就做了很多這些工作
[00:03:21.000 --> 00:03:26.000]  所以在保羅去到貼薩萊尼加教會
[00:03:26.000 --> 00:03:30.000]  即是貼薩萊尼加地方去建立教會的時候
[00:03:30.000 --> 00:03:34.000]  他都會面對類似這些反對的工作
[00:03:34.000 --> 00:03:36.000]  這些搞妖的工作
[00:03:36.000 --> 00:03:46.000]  當中猶太教的人經常進入這些新興的教會裏面
[00:03:46.000 --> 00:03:49.000]  在信徒裏面造謠生事
[00:03:49.000 --> 00:03:51.000]  講一些不盡不實的說話
[00:03:51.000 --> 00:03:54.000]  所以對當時保羅一行人來說
[00:03:54.000 --> 00:03:56.000]  要建立一間教會
[00:03:56.000 --> 00:04:02.000]  但同時間這間是有信心、愛心、有盼望的教會
[00:04:02.000 --> 00:04:09.000]  同時間亦都要面對大大小小不同的一些這樣的流言
[00:04:09.000 --> 00:04:15.000]  或者是造謠生事或者是生安白造的一些理由
[00:04:15.000 --> 00:04:21.000]  實在是一趟充滿困難、辛酸的宣教之旅
[00:04:21.000 --> 00:04:24.000]  而保羅回想起在貼薩萊尼加的全奧的工作
[00:04:24.000 --> 00:04:28.000]  他都覺得仍然有一樣東西令他堅持
[00:04:28.000 --> 00:04:33.000]  去到最後就是他怎樣去看待這間教會
[00:04:33.000 --> 00:04:40.000]  他好像父母去養育自己的兒女一樣
[00:04:40.000 --> 00:04:43.000]  去看待這間新興的教會
