
[00:00:00.000 --> 00:00:03.640]  今天我們要去講建立基督的身體
[00:00:03.640 --> 00:00:11.200]  建立基督的身體我們都明白是在說我們要建立基督的教會
[00:00:11.200 --> 00:00:14.680]  當我們在說建立基督的教會的時候
[00:00:14.680 --> 00:00:17.000]  我們就要問的問題就是
[00:00:17.000 --> 00:00:20.560]  建立基督的教會究竟是怎樣的呢?
[00:00:20.560 --> 00:00:24.800]  也都要講我們是要怎樣去建立呢?
[00:00:24.800 --> 00:00:28.720]  這些都是我們需要問的疑問
[00:00:28.720 --> 00:00:32.160]  在上年的時間2024年
[00:00:32.160 --> 00:00:36.520]  教新就出了一個教會的人口普查
[00:00:36.520 --> 00:00:41.880]  這個普查就講到實體崇拜的出席人數
[00:00:41.880 --> 00:00:46.560]  由2019年的26.9萬
[00:00:46.560 --> 00:00:52.000]  跌到2024年就減少了7.1萬
[00:00:52.000 --> 00:00:55.280]  即是大概只剩下19萬人
[00:00:55.280 --> 00:00:57.480]  回實體崇拜
[00:00:57.480 --> 00:01:00.560]  而堂會裏面的青少年
[00:01:00.560 --> 00:01:05.960]  也都有2019年有4.7萬的青少年
[00:01:05.960 --> 00:01:12.600]  去到2024年就跌到只剩下3.4萬的青少年回教會
[00:01:12.600 --> 00:01:18.560]  5年內就少了28%的青少年回教會
[00:01:18.560 --> 00:01:22.480]  堂會一般認為有幾個原因
[00:01:22.480 --> 00:01:25.640]  第一個就是青少年他們學業壓力大
[00:01:25.640 --> 00:01:28.360]  我們做家長的都明白
[00:01:28.360 --> 00:01:31.440]  青少年每天的補習
[00:01:31.440 --> 00:01:35.160]  星期六日他們有很多補習
[00:01:35.160 --> 00:01:39.160]  或者學些什麼又或者參加比賽等等的時候
[00:01:39.160 --> 00:01:40.720]  其實他們的學業壓力很大
[00:01:40.720 --> 00:01:43.120]  根本都沒有時間回教會
[00:01:43.120 --> 00:01:47.320]  第二個可能性的原因就是
[00:01:47.320 --> 00:01:53.920]  教會未能夠有效去回應青少年的需要
[00:01:53.920 --> 00:01:57.000]  而第三個原因就認為
[00:01:57.000 --> 00:02:02.840]  更加是教會對於青少年的支援更加不足
[00:02:02.840 --> 00:02:08.320]  而且在教會的青少年還出現了另一個兩極的狀況
[00:02:08.320 --> 00:02:14.960]  堂會的青少年完全由信義代理組成的堂會
[00:02:14.960 --> 00:02:17.800]  由2019年是3.8%
[00:02:17.800 --> 00:02:21.800]  去到2024年就變了有5.9%
[00:02:21.800 --> 00:02:25.440]  有些堂會是完全沒有信義代理的青少年
[00:02:25.440 --> 00:02:28.200]  由2019年有1.2%
[00:02:28.200 --> 00:02:32.440]  去到2024年就變了有12.1%
[00:02:32.440 --> 00:02:37.240]  或者這個數據某程度上反映了一件事
