
[00:00:00.000 --> 00:00:05.960]  不知道大家有沒有收藏物品的習慣
[00:00:05.960 --> 00:00:07.740]  喜不喜歡收藏東西
[00:00:07.740 --> 00:00:10.620]  我記得我小時候喜歡集郵
[00:00:10.620 --> 00:00:11.700]  大家有沒有試過集郵
[00:00:11.700 --> 00:00:14.700]  我不但集郵 還收集火柴盒
[00:00:14.700 --> 00:00:16.580]  不過收藏了一段時間後發覺不妙
[00:00:16.580 --> 00:00:19.380]  火柴盒沒多久就很多了
[00:00:19.380 --> 00:00:20.960]  所以就放棄了
[00:00:20.960 --> 00:00:25.960]  我也知道很多人有不同類型的收集物品的嗜好
[00:00:25.960 --> 00:00:29.260]  收集錢幣、古董、公仔書
[00:00:29.260 --> 00:00:32.960]  女孩子喜歡收集芭比的公仔
[00:00:32.960 --> 00:00:34.580]  大家喜不喜歡收集東西
[00:00:34.580 --> 00:00:38.160]  如果你收集東西 你會收集什麼東西呢
[00:00:38.160 --> 00:00:41.040]  不過相信無論什麼類型的東西
[00:00:41.040 --> 00:00:45.420]  我不相信我們在座會有人收集垃圾
[00:00:45.420 --> 00:00:46.840]  不過很有趣的一件事就是
[00:00:46.840 --> 00:00:49.300]  原來世界各地 不單止香港
[00:00:49.300 --> 00:00:53.760]  世界各地有不同的人都會喜歡收集垃圾
[00:00:53.760 --> 00:00:56.840]  也不是因為他們精神有問題
[00:00:56.840 --> 00:00:59.420]  他們就是喜歡逛街 看到東西的時候
[00:00:59.420 --> 00:01:03.260]  就喜歡拿回家 成為他們的收藏品
[00:01:03.260 --> 00:01:05.460]  大家可以想像
[00:01:05.460 --> 00:01:09.260]  他們收集的東西 拿回家之後
[00:01:09.260 --> 00:01:15.300]  就成為他們收集庫裡面的東西的時候
[00:01:15.300 --> 00:01:19.180]  這些東西進到家裡 就不會出到門口
[00:01:19.180 --> 00:01:20.880]  很容易我們可以想像
[00:01:20.880 --> 00:01:24.180]  沒多久 整間屋都是擺滿東西
[00:01:24.180 --> 00:01:28.340]  很快窗口都會被那些東西所遮蓋
[00:01:28.340 --> 00:01:31.680]  光不能夠再進來
[00:01:31.680 --> 00:01:33.260]  你在家裡走動的時候
[00:01:33.260 --> 00:01:36.600]  你失去了很容易走動的自由
[00:01:36.600 --> 00:01:38.800]  今天的經文告訴我們
[00:01:38.800 --> 00:01:41.180]  神的聖殿
[00:01:41.180 --> 00:01:46.960]  當有些不恰當的東西在裡面的時候
[00:01:46.960 --> 00:01:50.920]  神的光就被阻隔 不能夠進入聖殿
