
[00:00:00.000 --> 00:00:02.560]  那這星期六我在
[00:00:02.560 --> 00:00:05.880]  星期六 星期五
[00:00:05.880 --> 00:00:08.960]  天天過得很快
[00:00:08.960 --> 00:00:12.800]  星期五我在整理我一些書房裡面的東西
[00:00:12.800 --> 00:00:15.360]  忽然間我看到
[00:00:15.360 --> 00:00:17.400]  有一張
[00:00:17.400 --> 00:00:19.200]  甲頁
[00:00:19.200 --> 00:00:22.780]  是飛揚人生的雜誌
[00:00:22.780 --> 00:00:25.340]  在上面寫了幾段話
[00:00:25.340 --> 00:00:26.360]  我就想
[00:00:26.360 --> 00:00:29.180]  藉著這幾段話在我的訊息之前
[00:00:29.960 --> 00:00:32.780]  來跟各位來分享一下
[00:00:32.780 --> 00:00:33.800]  提示一下
[00:00:33.800 --> 00:00:35.600]  我不會講太多
[00:00:35.600 --> 00:00:37.640]  因為我今天的題目說
[00:00:37.640 --> 00:00:39.940]  受苦中歡喜對吧
[00:00:39.940 --> 00:00:41.740]  這好像不太合邏輯
[00:00:41.740 --> 00:00:44.800]  受苦中歡喜 受苦中應該是
[00:00:44.800 --> 00:00:46.600]  難受
[00:00:46.600 --> 00:00:49.920]  是不是RQ的精神 受苦中歡喜
[00:00:49.920 --> 00:00:52.240]  那我在準備的時候
[00:00:52.240 --> 00:00:53.520]  我就寫一下
[00:00:53.520 --> 00:00:54.540]  就把
[00:00:54.540 --> 00:00:56.080]  這個唸給各位聽
[00:00:56.080 --> 00:00:57.860]  請注意聽
[00:00:57.860 --> 00:00:59.660]  聰明人
[00:01:00.160 --> 00:01:01.700]  感謝別人批評
[00:01:01.700 --> 00:01:03.500]  因為
[00:01:03.500 --> 00:01:07.080]  可以從中看見自己的缺失
[00:01:07.080 --> 00:01:08.880]  這對我有幫助
[00:01:08.880 --> 00:01:10.400]  第二
[00:01:10.400 --> 00:01:15.280]  喜樂人深知困境中的作用
[00:01:15.280 --> 00:01:18.340]  因艱難中的喜樂
[00:01:18.340 --> 00:01:19.620]  才是
[00:01:19.620 --> 00:01:20.900]  真喜樂
[00:01:20.900 --> 00:01:23.200]  這也是對我們今天
[00:01:23.200 --> 00:01:25.260]  很貼切
[00:01:25.260 --> 00:01:28.840]  再來一個是成熟人
[00:01:30.120 --> 00:01:34.180]  不懼意外挑索
[00:01:34.180 --> 00:01:35.700]  因為
[00:01:35.700 --> 00:01:37.740]  勝過自己衝動的
[00:01:37.740 --> 00:01:39.760]  是真勇士
[00:01:39.760 --> 00:01:42.060]  因為我們人都有一個衝動
[00:01:42.060 --> 00:01:45.160]  我們有一個原罪 我們有一個罪性
[00:01:45.160 --> 00:01:46.460]  很容易衝動
[00:01:46.460 --> 00:01:47.980]  最後一個
[00:01:47.980 --> 00:01:52.100]  智慧人細查世人結局
[00:01:52.100 --> 00:01:55.680]  因為我們上一週 上一講講到
[00:01:55.680 --> 00:01:57.700]  短暫和永恆
[00:01:57.700 --> 00:01:59.760]  所以智慧人細查
[00:02:00.020 --> 00:02:01.340]  世人結局
[00:02:01.340 --> 00:02:02.620]  因為
[00:02:02.620 --> 00:02:04.420]  透視人生
[00:02:04.420 --> 00:02:06.980]  才知永恆的
[00:02:06.980 --> 00:02:08.000]  可貴
[00:02:08.000 --> 00:02:13.100]  這一說透視人生才知永恆的可貴
[00:02:13.100 --> 00:02:15.920]  那今天我這個題目是講到
[00:02:15.920 --> 00:02:17.460]  受苦中歡喜
[00:02:17.460 --> 00:02:19.260]  因為我在
[00:02:19.260 --> 00:02:21.080]  列這個題目的時候
[00:02:21.080 --> 00:02:22.100]  我在想
[00:02:22.100 --> 00:02:24.940]  用最簡單的方式
[00:02:24.940 --> 00:02:25.700]  用
[00:02:25.700 --> 00:02:28.020]  這一段經文我讀了之後
[00:02:28.020 --> 00:02:29.560]  我願意
[00:02:29.820 --> 00:02:30.320]  來
[00:02:30.320 --> 00:02:31.600]  表達的方式
[00:02:31.600 --> 00:02:32.640]  來跟各位
[00:02:32.640 --> 00:02:34.680]  來分享
[00:02:34.680 --> 00:02:36.980]  在前言裡面
[00:02:36.980 --> 00:02:38.000]  我
[00:02:38.000 --> 00:02:40.060]  就列了幾項
[00:02:40.060 --> 00:02:42.620]  就是有關受苦這一方面
[00:02:42.620 --> 00:02:46.200]  很多哲學都在這個領域裡面在做探討
[00:02:46.200 --> 00:02:49.020]  都願意去了解
[00:02:49.020 --> 00:02:51.060]  願意去面對
[00:02:51.060 --> 00:02:52.860]  願意來處理
[00:02:52.860 --> 00:02:55.160]  願意來讓人可以
[00:02:55.160 --> 00:02:57.460]  可以在這個苦難中
[00:02:57.460 --> 00:02:59.760]  有一個更深一層的認識
[00:03:00.020 --> 00:03:01.820]  這是哲學裡面有這樣一個
[00:03:01.820 --> 00:03:05.140]  就是討論
[00:03:05.140 --> 00:03:07.460]  可是在聖經裡面
[00:03:07.460 --> 00:03:09.760]  給我們一個很清楚
[00:03:09.760 --> 00:03:11.040]  簡單
[00:03:11.040 --> 00:03:13.080]  的說這苦難
[00:03:13.080 --> 00:03:14.360]  受苦是從
