
[00:00:00.000 --> 00:00:02.960]  有一班心理學家做了一個實驗
[00:00:02.960 --> 00:00:05.080]  這個實驗是研究
[00:00:05.080 --> 00:00:10.880]  為什麼那麼多年輕人那麼容易自殺呢
[00:00:10.880 --> 00:00:13.360]  多數的成年人都有種想法
[00:00:13.360 --> 00:00:17.680]  他們說為什麼年輕人那麼容易自殺呢
[00:00:17.680 --> 00:00:20.080]  是因為他們不開心
[00:00:20.080 --> 00:00:23.960]  好了 我也很想大家投一投票
[00:00:23.960 --> 00:00:28.440]  多數的成年人都覺得年輕人容易自殺
[00:00:28.440 --> 00:00:30.520]  是因為他們不開心
[00:00:30.520 --> 00:00:32.320]  如果你同意的話 請舉手
[00:00:32.320 --> 00:00:35.120]  是 他們自殺是因為他們不開心
[00:00:35.120 --> 00:00:37.480]  請舉手
[00:00:37.480 --> 00:00:39.160]  好 請舉手
[00:00:39.160 --> 00:00:42.200]  你覺得不是的話 請舉手
[00:00:42.200 --> 00:00:44.600]  都差不多吧 50/50
[00:00:44.600 --> 00:00:48.720]  好了 這班心理學家開始做這樣的實驗
[00:00:48.720 --> 00:00:51.920]  他們將一班年輕人分為兩組
[00:00:51.920 --> 00:00:54.760]  第一組任由他們怎樣
[00:00:54.760 --> 00:01:02.040]  總之他們打機、去街、睡覺、吹水、劈酒
[00:01:02.040 --> 00:01:04.440]  亂搞男女關係
[00:01:04.440 --> 00:01:06.120]  總之毫無約束
[00:01:06.120 --> 00:01:09.800]  任由他們怎樣也好 無往管
[00:01:09.800 --> 00:01:13.480]  第二組就要他們做社會服務
[00:01:13.480 --> 00:01:16.400]  譬如去探訪老人院、做義工
[00:01:16.400 --> 00:01:18.160]  幫助有需要的人
[00:01:18.160 --> 00:01:21.240]  於是過了兩個星期
[00:01:21.240 --> 00:01:25.440]  這班心理學家訪問這兩組的年輕人
[00:01:25.440 --> 00:01:27.040]  你覺得第一組
[00:01:27.040 --> 00:01:28.000]  我又訪問大家
[00:01:28.000 --> 00:01:32.160]  你覺得第一組開心還是不開心呢
[00:01:32.160 --> 00:01:33.800]  我想大家投一投票
[00:01:33.800 --> 00:01:37.160]  你覺得開心的請舉手
[00:01:37.160 --> 00:01:38.040]  請舉手
[00:01:38.040 --> 00:01:40.480]  你覺得不開心的請舉手
