
[00:00:00.000 --> 00:00:04.400]  但現在沒準我們常常都經歷到很多不一樣的事情
[00:00:04.400 --> 00:00:10.800]  這些的事情都一樣的產生了許多的效應
[00:00:10.800 --> 00:00:14.200]  有一些成爲我們反省的機會
[00:00:14.200 --> 00:00:18.400]  有些時候成爲我們改變的時刻
[00:00:18.400 --> 00:00:24.000]  有些時候成爲我們祝福別人的這個的通道
[00:00:24.000 --> 00:00:29.200]  在約伯紀三十章十六到二十九節裏面
[00:00:29.200 --> 00:00:36.900]  特別描述這個在神的手中經歷到磨難的一個人
[00:00:36.900 --> 00:00:39.300]  這個人叫約伯
[00:00:39.300 --> 00:00:45.900]  好像沒有家裏面的人把他的兒子叫做約伯的
[00:00:45.900 --> 00:00:53.500]  但是然而約伯所經歷的是我們每一位曾經經歷過
[00:00:53.500 --> 00:00:55.300]  在三十章裏面
[00:00:55.300 --> 00:01:02.700]  我特別把這個約伯最後一輪跟三個朋友
[00:01:02.700 --> 00:01:09.400]  被第三次在交談的最重要的一個部分
[00:01:09.400 --> 00:01:16.800]  濃縮成爲三十章十六到二十九節當中所記載的這個的痛苦
[00:01:16.800 --> 00:01:23.000]  這裏清楚地描述約伯在困苦當中的看見
[00:01:23.000 --> 00:01:25.900]  讓我把這個經文跟大家念出來
[00:01:25.900 --> 00:01:33.100]  然後從旁給他做一些相關的指引
[00:01:33.100 --> 00:01:37.900]  約伯記的三十章十六節到二十九節
[00:01:37.900 --> 00:01:44.600]  現在我心極其悲傷困苦的日子將我抓住
[00:01:44.600 --> 00:01:50.000]  這裏是特別描述約伯內心的這種痛苦
[00:01:50.000 --> 00:01:54.100]  夜間我裏面的骨頭刺我
[00:01:54.100 --> 00:01:55.800]  疼痛不止
[00:01:55.800 --> 00:01:59.400]  好傷引我
[00:01:59.400 --> 00:02:11.900]  神賦予撒旦尤權柄去觸摸殘害約伯的生命
[00:02:11.900 --> 00:02:17.200]  撒旦尤這個權柄就在他的骨頭
[00:02:17.200 --> 00:02:22.700]  他的外皮產生了許多的腫痛
[00:02:22.700 --> 00:02:26.300]  一個人晚上不能更新睡眠
[00:02:26.300 --> 00:02:32.000]  準備明天就已經是一個相當痛苦的事情
[00:02:32.000 --> 00:02:38.200]  然而夜間還要承受體內的一切的疼痛
[00:02:38.200 --> 00:02:41.500]  這個是三重的咒詛
[00:02:41.500 --> 00:02:47.300]  因神的大能我的外衣沾污不堪
[00:02:47.300 --> 00:02:51.500]  猶如內衣的靈子將我係住
[00:02:51.500 --> 00:02:54.100]  大概這個意思不容易明白
[00:02:54.100 --> 00:03:00.900]  原先的意思就是因爲他滿身長着毒瘡
[00:03:00.900 --> 00:03:07.100]  瘡流出來的膿粘在他的外衣的裏面
[00:03:07.100 --> 00:03:14.200]  連他的頸上的靈子都應作這些膿粘在他的頸額上面
[00:03:14.200 --> 00:03:17.100]  是這個意思
[00:03:17.100 --> 00:03:20.400]  神伯我扔在淤泥中
[00:03:20.400 --> 00:03:27.100]  我坐上塵土和爐灰的一班
[00:03:27.100 --> 00:03:31.200]  約伯在痛苦的裏面沒有忘記神
[00:03:31.200 --> 00:03:35.500]  在痛苦的當中要了解上帝是誰
[00:03:35.500 --> 00:03:37.600]  在他極大痛苦的時候看見
[00:03:37.600 --> 00:03:42.200]  神好像一個大能的勇士一樣抽出他的頸額
[00:03:42.200 --> 00:03:45.800]  然後把他推到這個泥堆的裏面
[00:03:45.800 --> 00:03:48.800]  好像他的存在
[00:03:48.800 --> 00:03:54.500]  好像他的價值如同塵土跟爐灰的一樣
[00:03:54.500 --> 00:03:56.100]  主啊我復求你
[00:03:56.100 --> 00:03:57.400]  你不應允我
[00:03:57.400 --> 00:03:58.600]  我站起來
[00:03:58.600 --> 00:04:02.000]  你就定睛看我
[00:04:02.000 --> 00:04:07.300]  這裏是講到約伯願意把自己的一生痛苦
[00:04:07.300 --> 00:04:09.300]  招在神的面前
[00:04:09.300 --> 00:04:10.500]  復求他的名
[00:04:10.500 --> 00:04:14.600]  但是神卻離棄了他
[00:04:14.600 --> 00:04:21.200]  他站起來向神賦予的時候
[00:04:21.200 --> 00:04:24.100]  神只有定睛的看着他
[00:04:24.100 --> 00:04:26.700]  卻沒有給他任何的幫助
[00:04:26.700 --> 00:04:28.100]  禮尚我便心
[00:04:28.100 --> 00:04:29.400]  待我禪人
[00:04:29.400 --> 00:04:32.100]  又用大能追逼我
