
[00:00:00.000 --> 00:00:02.920]  今天和大家分享的一個題目
[00:00:02.920 --> 00:00:07.160]  是「我要做好土」
[00:00:07.160 --> 00:00:10.560]  主耶穌在巴勒斯坦一帶
[00:00:10.560 --> 00:00:12.080]  當時的以色列地
[00:00:12.080 --> 00:00:16.280]  來到全洋天國的福音的時候
[00:00:16.280 --> 00:00:18.120]  遇到很多的人
[00:00:18.120 --> 00:00:20.560]  當時一群人跟著耶穌
[00:00:20.560 --> 00:00:25.680]  很開心的 因為跟著耶穌有好聽的道理
[00:00:25.680 --> 00:00:29.240]  因為可以糟蹋一下民事和法理錯誤
[00:00:29.240 --> 00:00:31.440]  因為他們受夠了
[00:00:31.440 --> 00:00:34.840]  因為他們只有外表、民意上高
[00:00:34.840 --> 00:00:37.760]  或者道理上高的教導
[00:00:37.760 --> 00:00:39.360]  甚至是指責
[00:00:39.360 --> 00:00:40.800]  他們要屈服的
[00:00:40.800 --> 00:00:42.080]  所以就要跟著走
[00:00:42.080 --> 00:00:43.880]  但主耶穌來到的時候
[00:00:43.880 --> 00:00:47.600]  就好像跟他們平反一樣
[00:00:47.600 --> 00:00:50.360]  這群人懂得說不懂得做
[00:00:50.360 --> 00:00:53.120]  還有他們解錯經
[00:00:53.120 --> 00:00:54.640]  所以就是大快人心
[00:00:54.640 --> 00:00:57.640]  跟著耶穌就是大快人心
[00:00:57.640 --> 00:01:01.720]  當然就是講到他們要付出代價的時候
[00:01:01.720 --> 00:01:03.840]  他們都是要考慮的
[00:01:03.840 --> 00:01:06.200]  很多人跟著耶穌
[00:01:06.200 --> 00:01:09.600]  主耶穌講了很多的比喻
[00:01:09.600 --> 00:01:11.160]  講天國的奧秘
[00:01:11.160 --> 00:01:16.600]  這次我們所探討的內容
[00:01:16.600 --> 00:01:21.560]  我們說是講到一個殺種的人
[00:01:21.560 --> 00:01:25.320]  去殺種的時候遇到種種的情況
[00:01:25.320 --> 00:01:31.000]  其中一項就是把種子殺在好土裡
[00:01:31.000 --> 00:01:33.200]  所以我拿的題目就是
[00:01:33.200 --> 00:01:34.960]  我要做好土
[00:01:34.960 --> 00:01:35.840]  我要做好土
[00:01:35.840 --> 00:01:37.000]  不是很老土
[00:01:37.000 --> 00:01:39.920]  我要做好土
[00:01:39.920 --> 00:01:41.480]  經文記載
[00:01:41.480 --> 00:01:47.000]  都挺考大家的壓力的
[00:01:47.000 --> 00:01:51.320]  經文記載就是《馬太福音》十三章
[00:01:51.320 --> 00:01:54.560]  十三章是分成兩部分的
[00:01:54.560 --> 00:01:56.920]  就是第三節至第九節
[00:01:56.920 --> 00:01:59.440]  跟著十八節到二十三節
[00:01:59.440 --> 00:02:02.040]  我試試讀出來給大家聽
[00:02:02.040 --> 00:02:03.240]  耶穌說
[00:02:03.240 --> 00:02:05.720]  有一個殺種的出去殺種
[00:02:05.720 --> 00:02:08.840]  他殺的時候有落在路旁
[00:02:08.840 --> 00:02:12.240]  飛了來把他們吃掉了
[00:02:12.240 --> 00:02:14.800]  有的落在土踐的石頭上
[00:02:14.800 --> 00:02:18.000]  因為土不深很快就長出苗來
[00:02:18.000 --> 00:02:19.480]  太陽出來一曬
[00:02:19.480 --> 00:02:22.040]  因為沒有根就枯乾了
[00:02:22.040 --> 00:02:24.080]  有的落在荊棘裡
[00:02:24.080 --> 00:02:26.800]  荊棘長起來把他擠住了
[00:02:26.800 --> 00:02:29.840]  又有的落在好土裡
[00:02:29.840 --> 00:02:31.480]  就結出果實
[00:02:31.480 --> 00:02:32.760]  有一百倍的
[00:02:32.760 --> 00:02:33.920]  有六十倍的
[00:02:33.920 --> 00:02:35.240]  有三十倍的
[00:02:35.240 --> 00:02:40.000]  有二的就應當聽
[00:02:40.000 --> 00:02:42.240]  主耶穌說完這番說話的時候
[00:02:42.240 --> 00:02:46.520]  跟著還有一點解釋的
[00:02:46.520 --> 00:02:51.400]  就是說當時那班人就是一班神的子民
[00:02:51.400 --> 00:02:56.680]  其實都認識舊的聖經
[00:02:56.680 --> 00:02:59.400]  但是就是不明白舊的聖經
[00:02:59.400 --> 00:03:00.720]  就算他們說明白
[00:03:00.720 --> 00:03:05.720]  其實都是不明白的
[00:03:05.720 --> 00:03:07.960]  聽了不明白
[00:03:07.960 --> 00:03:10.120]  那就是不明白了
[00:03:10.120 --> 00:03:13.400]  那大家明白我說什麼嗎
[00:03:13.400 --> 00:03:16.840]  聽了不明白就是不明白了
[00:03:16.840 --> 00:03:20.120]  或者有另外一個情況
[00:03:20.120 --> 00:03:24.720]  我們中國人有句說話就是忠言逆耳
[00:03:24.720 --> 00:03:26.160]  你不喜歡聽
[00:03:26.160 --> 00:03:28.920]  聽了都當沒聽
