
[00:00:00.000 --> 00:00:02.300]  歡迎大家來到我們的周六、上五拜
[00:00:02.300 --> 00:00:06.140]  一個多月前我們開始了一個新的講道系列
[00:00:06.140 --> 00:00:10.760]  我們要宣講的是新約聖經裡面的約翰福音
[00:00:10.760 --> 00:00:13.820]  我們宣講的題目是
[00:00:13.820 --> 00:00:15.880]  榮耀君王
[00:00:15.880 --> 00:00:20.220]  系列開始的時候我們花了三篇講道
[00:00:20.220 --> 00:00:23.560]  去研讀約翰福音的聚焉
[00:00:23.560 --> 00:00:29.180]  當中有大家非常熟悉、非常喜愛的聖經金句
[00:00:29.700 --> 00:00:35.840]  「道成了肉身,住在我們中間,沖沖悶悶地,有恩典,有真理。
[00:00:35.840 --> 00:00:40.960]  我們也看過他的榮光,正是負獨生兒子的榮光。
[00:00:40.960 --> 00:00:47.880]  從他的豐富裡,我們都領受了恩典,而且欣賞家人。」
[00:00:47.880 --> 00:00:50.700]  聖經學者告訴我們
[00:00:50.700 --> 00:00:57.360]  約翰福音的聚焉,約翰福音第一章一至十八節,是一個精挑細奪
[00:00:57.860 --> 00:01:01.700]  A,B,C,D,C,D,C,B,A
[00:01:01.700 --> 00:01:04.760]  首尾呼應的一個寫作
[00:01:04.760 --> 00:01:06.040]  架構
[00:01:06.040 --> 00:01:08.600]  從上至終
[00:01:08.600 --> 00:01:09.880]  是A
[00:01:09.880 --> 00:01:13.220]  道是上帝,然後C
[00:01:13.220 --> 00:01:15.780]  真光降臨,從中
[00:01:15.780 --> 00:01:16.800]  至下
[00:01:16.800 --> 00:01:18.600]  真道降臨
[00:01:18.600 --> 00:01:20.380]  最後指示
[00:01:20.380 --> 00:01:21.160]  上帝
[00:01:21.160 --> 00:01:23.720]  然後夾在中間,D,D
[00:01:24.240 --> 00:01:28.080]  Decision Time,是一個決擇的時刻
[00:01:28.080 --> 00:01:30.120]  有人拒絕他
[00:01:30.120 --> 00:01:35.000]  應該這樣說,絕大部分的人都拒絕他,然而
[00:01:35.000 --> 00:01:36.280]  有人
[00:01:36.280 --> 00:01:37.560]  接納他
[00:01:37.560 --> 00:01:41.900]  是上帝降臨叫我們做一個終極的
[00:01:41.900 --> 00:01:42.920]  選擇
