
[00:00:00.000 --> 00:00:09.000]  我希望今天以這個上帝眉撩的心願作為主題,跟大家來分享上帝的愛。
[00:00:09.000 --> 00:00:19.000]  我願意在這個時候跟大家來稍微誦讀有幾節大家常認識的經文。
[00:00:19.000 --> 00:00:28.000]  有一個牧師說,過去的三十年,其中有一個不再出現的經文,
[00:00:28.000 --> 00:00:37.000]  這個經文在約翰福音的十三章已經在年輕人的時代已經逝去。
[00:00:37.000 --> 00:00:44.000]  若是今天你問一些年輕的人,約翰福音三章十六節的內容是什麼,
[00:00:44.000 --> 00:00:49.000]  大概有一半的人不能夠跟你說出這個經文。
[00:00:49.000 --> 00:01:00.000]  約翰福音三章十六節,神愛世上一切的人,甚至於將他的獨生子賜給了我們。
[00:01:00.000 --> 00:01:08.000]  叫一切相信他的,不至滅亡,反得永生。
[00:01:08.000 --> 00:01:17.000]  約翰福音三章十六節正夾在兩個歷史的記載的裡面。
[00:01:17.000 --> 00:01:24.000]  在兩個記載仁德咒的記載裡面正出現了三章十六節。
[00:01:24.000 --> 00:01:32.000]  第一個是尼戈狄姆,代表那些知識分子要追求真理的這個舉動。
[00:01:32.000 --> 00:01:39.000]  在約翰福音第四章講到一個生命中眾多敗壞,
[00:01:39.000 --> 00:01:44.000]  在困擾的當中尋求幫助的一個婦人的記載。
[00:01:44.000 --> 00:01:51.000]  在整個聖經的裡面,就在兩個關於主耶穌基督福音的記載的當中,
[00:01:51.000 --> 00:01:58.000]  就立刻的給我們看到神把約翰福音三章十六節放在中間。
[00:01:58.000 --> 00:02:05.000]  有人問,到底約翰福音三章十六節是神直接的把這個經文告訴我們,
[00:02:05.000 --> 00:02:11.000]  還是透過這個約翰領受了神的真理向我們顯示出來?
[00:02:11.000 --> 00:02:20.000]  我沒有很好的答案,但是我相信約翰福音三章十六節正是整個福音的中心,
[00:02:20.000 --> 00:02:27.000]  是神的宣告,也是領受神愛的人的告白。
[00:02:27.000 --> 00:02:35.000]  這個告白當中,特別的給我們看見原來神的愛的宣佈是在咒術的裡面。
[00:02:35.000 --> 00:02:43.000]  在以夫所述三章的十七節裡面說,這一份的愛因作性讓眾聖徒十八節,
[00:02:43.000 --> 00:02:50.000]  能夠明白基督的愛是何等的強國高神。
[00:02:50.000 --> 00:02:54.000]  就有裡面耶利米蘇三十一章第三節,
[00:02:54.000 --> 00:03:01.000]  重新的提到這一位不變的上帝向以色列說話顯現,
[00:03:01.000 --> 00:03:11.000]  他說,我以永遠的愛,愛你們,因此我的慈愛始於你。
[00:03:11.000 --> 00:03:20.000]  在提摩台前述的一章十五節,是一個曾反對了信仰,敵對了基督的一個人,
[00:03:20.000 --> 00:03:30.000]  特別在心底中發出來受聖靈感動的說話,基督耶穌葬身為要拯救罪人。
[00:03:30.000 --> 00:03:39.000]  這句話是十分可佩的,可佩服的,因為他就是那蒙上了年齡的一個人。
[00:03:39.000 --> 00:03:44.000]  我要顯靈神在我們生命中一切的忍耐。
[00:03:44.000 --> 00:03:50.000]  親愛的弟兄姊妹,在上帝的懷裡面有一個沒有結束的心願,
[00:03:50.000 --> 00:03:56.000]  這個心願從過去,當人離開了伊甸園,
[00:03:56.000 --> 00:04:05.000]  進到敗壞,進到生命的矛盾的時刻,上帝的心願就開始顯露。
[00:04:05.000 --> 00:04:11.000]  這個心願好像周視在神的整個的視野的裡面,
[00:04:11.000 --> 00:04:15.000]  上帝很清楚我們的軟弱,也知道我們的敗壞,
[00:04:15.000 --> 00:04:20.000]  然而面對著迷失的人的時候,原來上帝的眼睛都麻木,
[00:04:20.000 --> 00:04:24.000]  上帝的眼睛好像都不能夠看清楚的一樣。
[00:04:24.000 --> 00:04:31.000]  他說我要盡我所能,這個的心願沒有一個勢力可以阻擋,
[00:04:31.000 --> 00:04:36.000]  就是人要回歸到天賦的裡面。
[00:04:36.000 --> 00:04:41.000]  這個心願扣在整個人類的歷史的當中,幾番幾次,
[00:04:41.000 --> 00:04:49.000]  從時想到原來人可以離開了神,遠避了神,逃跑離開上帝的同在,
[00:04:49.000 --> 00:04:57.000]  但是總有一天是因為上帝不改變的心願,總是人會遇上了上帝。
[00:04:57.000 --> 00:05:00.000]  這個是聖誕故事當中的高峰。
[00:05:00.000 --> 00:05:05.000]  在二十世紀的當中,神使用了很多很多歷史的環境,
[00:05:05.000 --> 00:05:08.000]  讓我們再次的看見神極大的愛。
[00:05:08.000 --> 00:05:13.000]  從三十年代當中,喜達拉產生了第二次大戰以後,
[00:05:13.000 --> 00:05:19.000]  我們人開始回轉,在過去的一百多年的當中,
[00:05:19.000 --> 00:05:22.000]  倚重了科學、理性、科學的發達,
[00:05:22.000 --> 00:05:27.000]  到最後發現原來人不能夠在這個世代當中找到一個根據。
[00:05:27.000 --> 00:05:33.000]  到六十年代、七十年代的當中,神把越南的戰爭放在美國的裡面,
[00:05:33.000 --> 00:05:41.000]  讓人再次的回轉來看見,到底人是否可以在理性的當中做出最好的決定。
[00:05:41.000 --> 00:05:47.000]  在短短的一年的裡面,美國派軍隊去越南超過了五十萬,
[00:05:47.000 --> 00:05:51.000]  當中死傷的人數實在太多了。
[00:05:51.000 --> 00:05:57.000]  到了七十年代末期的當中,經過自由校園當中的風氣的影響,
[00:05:57.000 --> 00:06:04.000]  很多人就開始背棄了神的倫理的觀念,來尋找他們所作為的自由,
[00:06:04.000 --> 00:06:07.000]  但是同時間神又復興了一些的弟兄姊妹,
[00:06:07.000 --> 00:06:14.000]  開始了產生我們現在所說的在家教育的環境,home school system。
[00:06:14.000 --> 00:06:20.000]  原來神的這種愛是迫切的,不能夠改變的,要臨到這個世代。
[00:06:20.000 --> 00:06:26.000]  原來上帝的愛就是這樣子,長闊高深。
[00:06:26.000 --> 00:06:29.000]  當我們談到愛的時候,一般來說,
[00:06:29.000 --> 00:06:35.000]  我們談到愛的偉大都在乎談論到它的永恆跟不變,
[00:06:35.000 --> 00:06:38.000]  但是在保羅的心意的裡面,
[00:06:38.000 --> 00:06:45.000]  卻以長闊高深這種的內容來表達神愛的偉大。
[00:06:45.000 --> 00:06:49.000]  原來神的這種愛的廣闊跟深長,
[00:06:49.000 --> 00:06:54.000]  不只在人的時空當中我們得所了解,
[00:06:54.000 --> 00:07:00.000]  很顯然的給我們看見神對人的愛是好像真理的一樣,
[00:07:00.000 --> 00:07:09.000]  映在我們的經歷裡面,除了我們是被動性的來領受體會這個神的愛以外,
[00:07:09.000 --> 00:07:15.000]  原來神背後還有一個主動在我們生命當中的啟發跟導向,
[00:07:15.000 --> 00:07:18.000]  他就向我們顯露出來。
[00:07:18.000 --> 00:07:23.000]  在舊約的歷史當中顯露他這種的愛是跟從我們早中的愛,
[00:07:23.000 --> 00:07:29.000]  講到連約拿這個跟隨主的人心底當中不能夠接受神傳輩的愛,
[00:07:29.000 --> 00:07:37.000]  他也遠離,然而耶穌就坐在這個離離維成的這個野外的地方,
[00:07:37.000 --> 00:07:39.000]  等著約拿的改變。
