
[00:00:00.000 --> 00:00:06.000]  未來在崇拜中會加入更多見證元素
[00:00:06.000 --> 00:00:12.000]  教會很盼望教會藉著彼此的見證給予彼此激勵
[00:00:12.000 --> 00:00:15.000]  彼此去堅固信心
[00:00:15.000 --> 00:00:17.000]  大家多聽見證嗎?
[00:00:17.000 --> 00:00:19.000]  見證有很多不同類型
[00:00:19.000 --> 00:00:22.000]  我分了兩大類型
[00:00:22.000 --> 00:00:25.000]  一類型是經歷神的見證
[00:00:25.000 --> 00:00:30.000]  例如得救見證、患病得醫治見證
[00:00:30.000 --> 00:00:32.000]  還有急難的見證
[00:00:32.000 --> 00:00:34.000]  神怎樣幫助你
[00:00:34.000 --> 00:00:39.000]  這類型的見證是讓聽的人
[00:00:39.000 --> 00:00:42.000]  很真實地見到我們所信的耶穌
[00:00:42.000 --> 00:00:43.000]  我們所信的主
[00:00:43.000 --> 00:00:44.000]  今天他仍然活著
[00:00:44.000 --> 00:00:45.000]  而且他的屬性
[00:00:45.000 --> 00:00:50.000]  包括他的慈愛、信實、公義、良善、憐憫等等
[00:00:50.000 --> 00:00:52.000]  原來是真的
[00:00:52.000 --> 00:00:55.000]  並且透過見證者彰顯出來
[00:00:55.000 --> 00:00:57.000]  這是第一類的見證
[00:00:57.000 --> 00:00:58.000]  是經歷神的見證
[00:00:58.000 --> 00:01:02.000]  第二類我姑且稱為生命的見證
[00:01:02.000 --> 00:01:03.000]  包括什麼呢?
[00:01:03.000 --> 00:01:06.000]  可能是關係復和、修復
[00:01:06.000 --> 00:01:08.000]  饒恕的見證
[00:01:08.000 --> 00:01:10.000]  還有壞習慣改變
[00:01:10.000 --> 00:01:13.000]  甚至價值觀的扭轉等等
[00:01:13.000 --> 00:01:14.000]  還有一樣
[00:01:14.000 --> 00:01:17.000]  就是當面對困難的時間
[00:01:17.000 --> 00:01:19.000]  而緊握著這位上帝
[00:01:19.000 --> 00:01:21.000]  不放手
[00:01:21.000 --> 00:01:24.000]  信靠祂的見證
[00:01:24.000 --> 00:01:26.000]  這一類的見證就是
[00:01:26.000 --> 00:01:31.000]  門徒如何在艱難、患難中
[00:01:31.000 --> 00:01:33.000]  仍然能夠不看環境
[00:01:33.000 --> 00:01:36.000]  不看困難的大勢
[00:01:36.000 --> 00:01:38.000]  甚至不看自己的喜惡
[00:01:38.000 --> 00:01:40.000]  單單仰望上帝
[00:01:40.000 --> 00:01:43.000]  單單忠心地依靠祂
[00:01:43.000 --> 00:01:46.000]  活出信仰的生命
[00:01:46.000 --> 00:01:51.000]  這一類的見證可以成為你和我之間很大的激勵
[00:01:51.000 --> 00:01:56.000]  我不知道大家比較聽得多哪一類的見證
[00:01:56.000 --> 00:01:58.000]  今天要和大家講的經文
[00:01:58.000 --> 00:02:00.000]  其實也是一個見證
[00:02:00.000 --> 00:02:04.000]  這個見證混合了這兩大類型
[00:02:04.000 --> 00:02:06.000]  又是經歷神的見證
[00:02:06.000 --> 00:02:08.000]  又是生命的見證
[00:02:08.000 --> 00:02:10.000]  經文記錄了三個希伯來年輕人
[00:02:10.000 --> 00:02:14.000]  他們如何在極大極大的磨練中
[00:02:14.000 --> 00:02:17.000]  仍然持守信仰、堅定相信神
[00:02:17.000 --> 00:02:19.000]  讓神的大能彰顯
[00:02:19.000 --> 00:02:23.000]  叫神大德榮耀
[00:02:23.000 --> 00:02:27.000]  今天的講題叫做EFIL
[00:02:27.000 --> 00:02:29.000]  Pastor Jim 之前說過
[00:02:29.000 --> 00:02:31.000]  Dare to be different
[00:02:31.000 --> 00:02:33.000]  EFIL是什麼?
[00:02:33.000 --> 00:02:36.000]  知不知道今季的季題是什麼?
[00:02:36.000 --> 00:02:38.000]  被神反傳的什麼?
[00:02:38.000 --> 00:02:39.000]  生命
[00:02:39.000 --> 00:02:43.000]  那你猜EFIL是什麼?
