
[00:00:00.000 --> 00:00:05.000]  我們在這幾個月都是有一個主題
[00:00:05.000 --> 00:00:07.000]  來學習神的話
[00:00:07.000 --> 00:00:12.000]  也是基於耳筆所書第六章十到二十節
[00:00:12.000 --> 00:00:14.000]  來思想神的話
[00:00:14.000 --> 00:00:19.000]  所以雖然我們在形式上有改變
[00:00:19.000 --> 00:00:25.000]  但是我們在主題上的信息是沒有變化
[00:00:25.000 --> 00:00:28.000]  因此當我們繼續去思想
[00:00:28.000 --> 00:00:32.000]  穿上屬靈的軍裝這個主題的時候
[00:00:32.000 --> 00:00:38.000]  我們都會繼續盡心學習
[00:00:38.000 --> 00:00:45.000]  並且今天三月份來到第七講
[00:00:45.000 --> 00:00:50.000]  都是關乎屬靈的軍裝
[00:00:50.000 --> 00:00:53.000]  相信大家都知道
[00:00:53.000 --> 00:00:55.000]  這段經文的背景
[00:00:55.000 --> 00:01:01.000]  是和保羅他坐牢有關係
[00:01:01.000 --> 00:01:04.000]  一直坐牢時間比較多
[00:01:04.000 --> 00:01:09.000]  所以他都觀察了很多士兵的裝備
[00:01:09.000 --> 00:01:12.000]  一直觀察的時候
[00:01:12.000 --> 00:01:16.000]  他很想透過這些裝備
[00:01:16.000 --> 00:01:20.000]  去聯想上帝的作為
[00:01:20.000 --> 00:01:24.000]  和基督徒需要有的裝備
[00:01:24.000 --> 00:01:27.000]  就好像這些士兵有裝備一樣
[00:01:27.000 --> 00:01:31.000]  所以他就慢慢慢慢聯想得到
[00:01:31.000 --> 00:01:33.000]  神又給他感動
[00:01:33.000 --> 00:01:38.000]  於是他就在這裡寫成了一個屬靈的軍裝
[00:01:38.000 --> 00:01:42.000]  他觀察到這些羅馬兵丁
[00:01:42.000 --> 00:01:45.000]  有腰帶或者叫帶子
[00:01:45.000 --> 00:01:49.000]  有護心鏡或者叫護甲
[00:01:49.000 --> 00:01:50.000]  有軍鞋
[00:01:50.000 --> 00:01:53.000]  有盾牌或者叫藤牌
[00:01:53.000 --> 00:01:56.000]  有頭盔和劍
[00:01:56.000 --> 00:02:00.000]  所以他看到這幾樣東西的時候
[00:02:00.000 --> 00:02:04.000]  他就藉此去勉勵屬主的人
[00:02:04.000 --> 00:02:08.000]  需要怎樣有屬靈的裝備
[00:02:08.000 --> 00:02:13.000]  過去我們都已經分別就著不同的裝備
[00:02:13.000 --> 00:02:16.000]  講了一些訊息
[00:02:16.000 --> 00:02:25.000]  而今天我們就去到六大裝備上的最後一個
[00:02:25.000 --> 00:02:31.000]  在過去我們講了六講
[00:02:31.000 --> 00:02:34.000]  第一講是靠著基督
[00:02:34.000 --> 00:02:37.000]  是沒有能力的生命
[00:02:37.000 --> 00:02:40.000]  這個嚴格來說不算是一個裝備
[00:02:40.000 --> 00:02:42.000]  而是一個生命的準備
[00:02:42.000 --> 00:02:46.000]  需要屬主的人靠著基督
[00:02:46.000 --> 00:02:48.000]  然後進到在裝備上
[00:02:48.000 --> 00:02:54.000]  我們了解到原來當講到腰帶的時候
[00:02:54.000 --> 00:02:57.000]  就是需要有真理的腰帶
[00:02:57.000 --> 00:03:01.000]  也就是我所講的深藏真理的生命
[00:03:01.000 --> 00:03:05.000]  然後後來保羅又見到他們有護甲
[00:03:05.000 --> 00:03:06.000]  那些士兵
[00:03:06.000 --> 00:03:09.000]  於是他覺得公義就是護甲
[00:03:09.000 --> 00:03:12.000]  也都演繹成為了
[00:03:12.000 --> 00:03:17.000]  我們需要的是良心無愧的生命
[00:03:17.000 --> 00:03:22.000]  然後去到第三個裝備就是軍鞋
[00:03:22.000 --> 00:03:23.000]  軍鞋四處走
[00:03:23.000 --> 00:03:28.000]  保羅就聯想到的是需要有福音的軍鞋
[00:03:28.000 --> 00:03:34.000]  於是我們的裝備就是傳揚福音的生命
[00:03:34.000 --> 00:03:36.000]  然後去到第四個裝備
[00:03:36.000 --> 00:03:39.000]  盾牌、藤牌
[00:03:39.000 --> 00:03:41.000]  保羅想到的是信心
[00:03:41.000 --> 00:03:43.000]  信心的盾牌
[00:03:43.000 --> 00:03:47.000]  就是我們需要有持守信心的生命
[00:03:47.000 --> 00:03:49.000]  然後在上個月份
[00:03:49.000 --> 00:03:52.000]  我們所看到的是頭盔
[00:03:52.000 --> 00:03:54.000]  頭盔是什麼呢?
[00:03:54.000 --> 00:03:56.000]  原來頭盔就是救恩
[00:03:56.000 --> 00:03:58.000]  救恩的頭盔
[00:03:58.000 --> 00:03:59.000]  換句話說
[00:03:59.000 --> 00:04:02.000]  我們需要的、掌握的、肯定的
[00:04:02.000 --> 00:04:06.000]  是得蒙拯救的生命
[00:04:06.000 --> 00:04:09.000]  然後去到第六個裝備
[00:04:09.000 --> 00:04:12.000]  也是最後一個裝備的時候
[00:04:12.000 --> 00:04:13.000]  保羅在經文裏面
[00:04:13.000 --> 00:04:15.000]  剛才我們所讀的經文裏面都看得到
[00:04:15.000 --> 00:04:17.000]  在最後那裏提到
[00:04:17.000 --> 00:04:21.000]  是有寶劍
[00:04:21.000 --> 00:04:24.000]  而寶劍是和什麼裝備有關呢?
[00:04:24.000 --> 00:04:27.000]  是聖靈的寶劍
[00:04:27.000 --> 00:04:30.000]  帶給我們的意思是什麼呢?
[00:04:30.000 --> 00:04:33.000]  就是領受話語的生命
[00:04:33.000 --> 00:04:37.000]  也是我們今次會分享的訊息所在
[00:04:37.000 --> 00:04:40.000]  當然講完這六大裝備之後
[00:04:40.000 --> 00:04:43.000]  最後還有我們可以領會到的
[00:04:43.000 --> 00:04:44.000]  是靠著聖靈
[00:04:44.000 --> 00:04:46.000]  是靈類禱告的生命
[00:04:46.000 --> 00:04:47.000]  是第八講
[00:04:47.000 --> 00:04:49.000]  下一個月份所講的
[00:04:49.000 --> 00:04:54.000]  那個也是基督徒需要有的生命特質
[00:04:54.000 --> 00:04:56.000]  或者我們還是回到
[00:04:56.000 --> 00:05:01.000]  我們今天所重視的第六個裝備
[00:05:01.000 --> 00:05:02.000]  保羅在這裏講到
[00:05:02.000 --> 00:05:04.000]  不單是戴著頭盔
[00:05:04.000 --> 00:05:05.000]  救恩的頭盔
[00:05:05.000 --> 00:05:06.000]  並且要怎樣呢?
[00:05:06.000 --> 00:05:10.000]  是拿著聖靈的寶劍
[00:05:10.000 --> 00:05:14.000]  就是神的道
[00:05:14.000 --> 00:05:17.000]  保羅在這裏特別是要強調
[00:05:17.000 --> 00:05:20.000]  屬靈的軍人
[00:05:20.000 --> 00:05:23.000]  需要有的是聖靈的寶劍
[00:05:23.000 --> 00:05:28.000]  也是神的話語的意思
[00:05:28.000 --> 00:05:31.000]  當我們看到這個裝備的時候
[00:05:31.000 --> 00:05:34.000]  看到這裏寫著寶劍的時候
[00:05:34.000 --> 00:05:36.000]  我們特別需要留意的
[00:05:36.000 --> 00:05:38.000]  就是問一下究竟
[00:05:38.000 --> 00:05:45.000]  寶劍或者劍在這裏的作用是什麼呢?
