
[00:00:00.000 --> 00:00:08.440]  二不所書正六章的訊息一直有關係連貫下去
[00:00:08.440 --> 00:00:12.060]  我們今次是第三次講二不所書
[00:00:12.060 --> 00:00:15.100]  二不所書之前的第四章
[00:00:15.100 --> 00:00:17.940]  很快大家如果有聖經揭一揭
[00:00:17.940 --> 00:00:20.720]  看回那些標題就會知道
[00:00:20.720 --> 00:00:24.800]  第四章開始講說信徒之間要合一
[00:00:24.800 --> 00:00:28.220]  每個人有不同的職份在神的面前
[00:00:28.220 --> 00:00:29.600]  要各盡其職
[00:00:30.240 --> 00:00:33.660]  因為合而為一是一個正題
[00:00:33.660 --> 00:00:35.660]  而提到這個之後
[00:00:35.660 --> 00:00:39.740]  就跟著提一個我用了很長的篇幅去講
[00:00:39.740 --> 00:00:40.900]  異教之風
[00:00:40.900 --> 00:00:44.820]  要我們站立得穩我們的地位
[00:00:44.820 --> 00:00:48.680]  要防止不要被異教之風吹來吹去
[00:00:48.680 --> 00:00:50.680]  來動搖我們的信仰
[00:00:50.680 --> 00:00:53.140]  跟著到上一次用了一個標題說
[00:00:53.140 --> 00:00:56.000]  凡事我們要長進 廉於元首基督
[00:00:56.000 --> 00:01:00.960]  這些都是一些很重要的核心的真理
[00:01:00.960 --> 00:01:03.140]  所以今年用了一個標題叫
[00:01:03.140 --> 00:01:05.140]  凡事長進 廉於基督
[00:01:05.140 --> 00:01:06.840]  讓我們有一個提醒
[00:01:06.840 --> 00:01:09.120]  知道我們無論任何的事情
[00:01:09.120 --> 00:01:11.580]  生活上大的小的人
[00:01:11.580 --> 00:01:13.140]  或者人生上的決定
[00:01:13.140 --> 00:01:16.140]  大的小的人都要廉於基督
[00:01:16.140 --> 00:01:17.900]  你說那怎樣廉啊
[00:01:17.900 --> 00:01:20.320]  有時候有些事情你未必即時有答案的
[00:01:20.320 --> 00:01:22.320]  但起碼你要有一個心
[00:01:22.320 --> 00:01:25.600]  說這件事怎樣廉於基督呢
[00:01:25.600 --> 00:01:28.360]  我怎樣可以將這件事廉於基督呢
[00:01:28.360 --> 00:01:31.380]  你從一個這樣的方向去想的時候
[00:01:31.380 --> 00:01:35.940]  有很多事情自然會有一個合適的答案
[00:01:35.940 --> 00:01:38.780]  這些好像很理論
[00:01:38.780 --> 00:01:42.000]  但在我們生活上慢慢去實踐
[00:01:42.000 --> 00:01:46.080]  然後在一個比較實踐性一些的經文
[00:01:46.080 --> 00:01:47.540]  第四章再講下去
[00:01:47.540 --> 00:01:48.440]  上次講了
[00:01:48.440 --> 00:01:50.840]  就是怎樣脫去舊人穿上新人
[00:01:50.840 --> 00:01:53.460]  我們信了主蒙召作信徒
[00:01:53.460 --> 00:01:56.060]  是舊的人很簡單地脫掉
[00:01:56.060 --> 00:01:56.660]  不要
[00:01:56.660 --> 00:01:59.400]  穿上一件新的漂亮的衣服
[00:01:59.400 --> 00:02:02.800]  上一次提過有很多東西要脫掉的
[00:02:02.800 --> 00:02:07.680]  很多那些苦毒、怒恨、憤怒、讓罵、毀謗、惡毒、恩
[00:02:07.680 --> 00:02:09.360]  那些都要脫掉
[00:02:09.360 --> 00:02:12.520]  要有的、要追求、擁有的、得著的
[00:02:12.520 --> 00:02:15.080]  就是恩慈憐憫、彼此饒恕
[00:02:15.080 --> 00:02:17.440]  這些就是我們怎樣長進呢
[00:02:17.440 --> 00:02:18.620]  怎樣廉於基督呢
[00:02:18.620 --> 00:02:20.120]  舊的不要
[00:02:20.120 --> 00:02:22.380]  新的那些去追求
[00:02:22.380 --> 00:02:25.420]  接著就引到今次第五章
[00:02:25.420 --> 00:02:28.000]  第五章一開始的時候
[00:02:28.000 --> 00:02:31.000]  都未曾進入夫妻之道的主要信息
[00:02:31.000 --> 00:02:36.240]  都還講了很多一些上邊延續下來應該要講的東西
[00:02:36.240 --> 00:02:38.500]  上次講到很多東西要脫掉
[00:02:38.500 --> 00:02:40.820]  恩慈憐憫、彼此饒恕
[00:02:40.820 --> 00:02:42.480]  那些要追求、要擁有
[00:02:42.480 --> 00:02:46.160]  第五章第一句
[00:02:46.160 --> 00:02:46.960]  就是所以
[00:02:46.960 --> 00:02:50.800]  所以當然是因為上面所講的東西
[00:02:50.800 --> 00:02:52.000]  然後這裡所演
[00:02:52.000 --> 00:02:55.200]  因為上面所講的東西要脫掉這些不好的
[00:02:55.200 --> 00:02:57.480]  要擁有、要追求那些好的
[00:02:57.480 --> 00:03:00.400]  所以你們要孝法神
[00:03:00.400 --> 00:03:03.840]  意思是說那些不要的東西
[00:03:03.840 --> 00:03:05.360]  不好的
[00:03:05.360 --> 00:03:07.360]  要擁有的、好那些
[00:03:07.360 --> 00:03:08.860]  其實是怎樣呢
[00:03:08.860 --> 00:03:10.860]  其實就是孝法神
[00:03:10.860 --> 00:03:14.600]  好像無愛的兒女一樣
[00:03:14.600 --> 00:03:16.600]  這句很值得我們思想的
[00:03:16.600 --> 00:03:23.120]  有很多人如果那個兒女是很蒙父母的愛
[00:03:23.120 --> 00:03:28.080]  就很自然他會很想去學孝父母
[00:03:28.080 --> 00:03:30.760]  父母怎樣的行條為人
[00:03:30.760 --> 00:03:32.760]  怎樣的習慣他都很想去學
[00:03:32.760 --> 00:03:34.760]  因為他蒙愛
[00:03:34.760 --> 00:03:37.400]  這個重要的就是說
[00:03:37.400 --> 00:03:40.280]  你蒙不蒙神所愛呢
[00:03:40.280 --> 00:03:42.840]  這句話你要孝法神
[00:03:42.840 --> 00:03:45.680]  好像蒙慈愛的兒女一樣
[00:03:45.680 --> 00:03:46.880]  你是神的兒女
[00:03:46.880 --> 00:03:50.880]  你有沒有蒙神的慈愛呢
[00:03:50.880 --> 00:03:52.600]  可以講長遠
[00:03:52.600 --> 00:03:53.600]  如果你有的
[00:03:53.600 --> 00:03:55.080]  你有蒙神的慈愛的
[00:03:55.080 --> 00:03:58.080]  那你就很自然會去孝法神
[00:03:58.080 --> 00:04:00.080]  那你說沒有
[00:04:00.080 --> 00:04:02.680]  如果你心裏面是答沒有的呢
[00:04:02.680 --> 00:04:04.280]  就其實不是真的沒有
[00:04:04.280 --> 00:04:08.080]  是你自己不感覺到有
[00:04:08.080 --> 00:04:11.080]  你的父母怎會不愛你呢
[00:04:11.080 --> 00:04:15.080]  父神作為我們的天父怎會不愛我們呢
