
[00:00:00.000 --> 00:00:03.000]  很高興再一次在港台與大家見面
[00:00:03.000 --> 00:00:06.000]  很高興再一次在講台與大家見面
[00:00:06.000 --> 00:00:10.000]  今天來教會的時候,我接了兩個姊妹一起來
[00:00:10.000 --> 00:00:13.000]  我今天借了兩位姊妹一起來教會
[00:00:13.000 --> 00:00:16.000]  今天有個姊妹就說,今天穿得這麼帥
[00:00:16.000 --> 00:00:19.000]  今天你穿得這麼漂亮,這麼帥
[00:00:19.000 --> 00:00:21.000]  那我心想,我什麼時候都這麼帥了
[00:00:21.000 --> 00:00:24.000]  我說我常是這樣子的
[00:00:24.000 --> 00:00:26.000]  那不是,我心想而已,我沒有這樣說
[00:00:26.000 --> 00:00:29.000]  我心裡只是這樣想,我並沒有說出口
[00:00:29.000 --> 00:00:32.000]  我說我今天參加約會
[00:00:32.000 --> 00:00:35.000]  我跟她說我今天是參加約會
[00:00:35.000 --> 00:00:39.000]  我跟神有一個約會
[00:00:39.000 --> 00:00:45.000]  是一天很重要的約會
[00:00:45.000 --> 00:00:47.000]  那我就反問這個姊妹
[00:00:47.000 --> 00:00:51.000]  我說你第一次約你老公約會的時候,穿得不漂亮嗎?
[00:00:51.000 --> 00:00:55.000]  難道你第一次跟你老公約會的時候,你不是穿很美嗎?
[00:00:55.000 --> 00:00:59.000]  然後這兩位姊妹就不斷討論這個問題
[00:00:59.000 --> 00:01:02.000]  他們就不斷地在討論這個問題
[00:01:02.000 --> 00:01:04.000]  那我當然要專心開車
[00:01:04.000 --> 00:01:06.000]  那我正在專心的駕駛車
[00:01:06.000 --> 00:01:10.000]  討論到究竟外在美重要還是內在美重要
[00:01:10.000 --> 00:01:15.000]  那究竟是內在美重要還是外在美重要呢?
[00:01:15.000 --> 00:01:19.000]  記得很多若干年前在網上有個笑話
[00:01:19.000 --> 00:01:21.000]  很多年前有一個笑話
[00:01:21.000 --> 00:01:23.000]  可能部分人都聽過
[00:01:23.000 --> 00:01:25.000]  有一部分人可能也聽過
[00:01:25.000 --> 00:01:27.000]  有一次有個弟兄
[00:01:27.000 --> 00:01:29.000]  有一次有一位弟兄
[00:01:29.000 --> 00:01:32.000]  他已經年過三十五了
[00:01:32.000 --> 00:01:33.000]  他已經年過三十五了
[00:01:33.000 --> 00:01:35.000]  一直都沒有女朋友
[00:01:35.000 --> 00:01:37.000]  一直都還沒有女朋友
[00:01:37.000 --> 00:01:39.000]  那他更加不用想什麼時候結婚了
[00:01:39.000 --> 00:01:42.000]  那他就不再想他什麼時候才可以結婚
[00:01:42.000 --> 00:01:44.000]  有一次他就求問神
[00:01:44.000 --> 00:01:45.000]  他有一次就求問神
[00:01:45.000 --> 00:01:46.000]  我選擇女朋友應該怎麼選呢?
[00:01:46.000 --> 00:01:49.000]  那我選擇女朋友是怎麼選呢?
[00:01:49.000 --> 00:01:50.000]  那神說很簡單
[00:01:50.000 --> 00:01:52.000]  神就告訴他很簡單
[00:01:52.000 --> 00:01:55.000]  就把他帶到一個花園外邊
