
[00:00:00.000 --> 00:00:04.240]  今天分享的題目是最偉大的禮物
[00:00:04.240 --> 00:00:08.080]  我不知道聖誕節大家收了多少禮物
[00:00:08.080 --> 00:00:10.080]  大家收禮物的時候
[00:00:10.080 --> 00:00:12.080]  開不開心呢
[00:00:12.080 --> 00:00:13.040]  開心吧
[00:00:13.040 --> 00:00:15.760]  不同的聖誕派對
[00:00:15.760 --> 00:00:19.040]  都會有一些交換禮物的環節
[00:00:19.040 --> 00:00:21.760]  我不知道你交換了禮物沒有
[00:00:21.760 --> 00:00:23.440]  你交換禮物的時候
[00:00:23.440 --> 00:00:25.200]  你收到那份禮物
[00:00:25.200 --> 00:00:27.200]  你的心情又是怎樣的呢
[00:00:27.200 --> 00:00:30.400]  我發現我參加了幾個不同的派對
[00:00:30.400 --> 00:00:33.200]  在派對當我們交換禮物
[00:00:33.200 --> 00:00:35.200]  我們收到不同的禮物的時候
[00:00:35.200 --> 00:00:37.200]  都有不同的開心程度
[00:00:37.200 --> 00:00:39.200]  在我的小組裡面
[00:00:39.200 --> 00:00:41.200]  我們會一起抽禮物
[00:00:41.200 --> 00:00:43.200]  抽完禮物之後
[00:00:43.200 --> 00:00:45.200]  我們都給大家有一次的機會
[00:00:45.200 --> 00:00:49.200]  去搶其他人開了的禮物
[00:00:49.200 --> 00:00:51.200]  一次而已
[00:00:51.200 --> 00:00:53.200]  我發現原來作為父母的
[00:00:53.200 --> 00:00:57.200]  我收到小朋友適合的禮物就最開心
[00:00:57.200 --> 00:00:59.200]  有一些如果不是父母的
[00:00:59.200 --> 00:01:01.200]  收到兒童禮物就會這樣
[00:01:01.200 --> 00:01:05.200]  但如果是父母的
[00:01:05.200 --> 00:01:07.200]  收到兒童禮物就覺得很棒
[00:01:07.200 --> 00:01:09.200]  不同的禮物
[00:01:09.200 --> 00:01:11.200]  又會有不同的反應
[00:01:11.200 --> 00:01:13.200]  我在小組裡面有另外一位
[00:01:13.200 --> 00:01:15.200]  是少年導師
[00:01:15.200 --> 00:01:17.200]  我很欣賞他
[00:01:17.200 --> 00:01:19.200]  因為他去搶禮物
[00:01:19.200 --> 00:01:21.200]  他搶什麼呢
[00:01:21.200 --> 00:01:23.200]  他找到一份可以和少年玩的
[00:01:23.200 --> 00:01:25.200]  一份桌遊遊戲
[00:01:25.200 --> 00:01:27.200]  但那個人就不太會玩桌遊
[00:01:27.200 --> 00:01:29.200]  就像他這樣
[00:01:29.200 --> 00:01:31.200]  但那個少年導師
