
[00:00:00.000 --> 00:00:06.000]  我想問問大家,如果有人問你,你將來會不會上到天堂?
[00:00:06.000 --> 00:00:10.000]  大家會怎麼回答這個問題?你將來會不會上到天堂?
[00:00:10.000 --> 00:00:18.000]  你說,我當然可以,我應該可以,不太肯定,我不知道,我希望可以
[00:00:18.000 --> 00:00:22.000]  以上這麼多種不同類型的答案,哪一個是你的答案?
[00:00:22.000 --> 00:00:26.000]  那你說,基督徒又應該怎麼回答這個問題?
[00:00:26.000 --> 00:00:29.000]  什麼才是基督徒的標準答案?
[00:00:29.000 --> 00:00:32.000]  我相信沒有一個標準答案
[00:00:32.000 --> 00:00:39.000]  因為重要的是視乎你說這個答案背後的心態是怎樣
[00:00:39.000 --> 00:00:43.000]  大家記不記得聖經裡面記載了一個故事
[00:00:43.000 --> 00:00:48.000]  就是當末日的時候,有人去到耶穌的面前跟耶穌說
[00:00:48.000 --> 00:00:56.000]  主啊,主啊,我們不是奉祢的名傳道,奉祢的名趕鬼,奉祢的名行許多義能嗎?
[00:00:56.000 --> 00:01:01.000]  耶穌跟他們說,你離開我吧,因為我從來不認識你們
[00:01:01.000 --> 00:01:08.000]  這個在我的想像裡面,沒有一個人類的痛苦大得過這個
[00:01:08.000 --> 00:01:13.000]  臨門一腳失腳,一生信了耶穌,竟然以為自己信耶穌得救
[00:01:13.000 --> 00:01:17.000]  原來去到耶穌面前,耶穌說我從來不認識你
[00:01:17.000 --> 00:01:21.000]  這一幫人,我相信如果我們問同樣的問題,問這一幫人的時候
[00:01:21.000 --> 00:01:26.000]  這一幫人必定的答案就是,我當然可以得救了
[00:01:26.000 --> 00:01:35.000]  為什麼?因為他們的判斷,他們跟神的關係完全是基於他們有沒有做到好的行為
[00:01:35.000 --> 00:01:39.000]  而我相信答案,我希望可以,或者我不太肯定
[00:01:39.000 --> 00:01:45.000]  這一幫人其實都是跟這一幫以為可以得救的大神
[00:01:45.000 --> 00:01:50.000]  耶穌說從來不認識他們,其實都是同一類型的情況
[00:01:50.000 --> 00:01:54.000]  什麼情況?就是他們以為,大概就是這樣覺得的
[00:01:54.000 --> 00:01:57.000]  我一生,沒錯,我做了很多不應該做的事情
[00:01:57.000 --> 00:02:01.000]  我犯了很多的惡,做了很多我覺得羞恥的事情
[00:02:01.000 --> 00:02:05.000]  不過,如果我能夠做回足夠的善行
[00:02:05.000 --> 00:02:11.000]  我的善行,如果多過我的惡行的時候,那就搞定了
[00:02:11.000 --> 00:02:14.000]  我來到神面前的話,必定是沒有問題的
[00:02:14.000 --> 00:02:18.000]  神必定會接受我們的
[00:02:18.000 --> 00:02:23.000]  不過這一類的情況,我相信就好像一個白兔
[00:02:23.000 --> 00:02:28.000]  不斷向在他面前的蘿蔔追趕一樣
[00:02:28.000 --> 00:02:30.000]  沒辦法追趕得到,為什麼?
[00:02:30.000 --> 00:02:34.000]  因為在神面前,對不起,這條數不是這樣計算的
[00:02:34.000 --> 00:02:37.000]  並不是說你做好事多過你不好的事的時候
[00:02:37.000 --> 00:02:39.000]  你就可以在神面前清義
[00:02:39.000 --> 00:02:43.000]  神那條數不是這樣計算,那你應該怎樣計算這條數
[00:02:43.000 --> 00:02:48.000]  我怎樣才能夠很肯定的,將來我見耶穌面的時候
[00:02:48.000 --> 00:02:52.000]  不要像那幫人那樣說,我從來不認識你
[00:02:52.000 --> 00:02:55.000]  我怎樣才能夠有這樣的確認呢?
[00:02:55.000 --> 00:03:00.000]  我們一同看看今天我們的經文怎麼說
[00:03:00.000 --> 00:03:02.000]  但是在經文一開始的時候
[00:03:02.000 --> 00:03:05.000]  保羅清夫這一幫的加拿大人是怎麼說的?
[00:03:05.000 --> 00:03:08.000]  你們這一幫是無知的加拿大人
[00:03:08.000 --> 00:03:13.000]  這並不是一個很好的開始,並不是一個很好的
[00:03:13.000 --> 00:03:15.000]  跟人這樣打招呼,是不是?
[00:03:15.000 --> 00:03:18.000]  也許保羅的意思並不是這幫人是沒有智慧
[00:03:18.000 --> 00:03:21.000]  並不是說這幫人是愚蠢
[00:03:21.000 --> 00:03:23.000]  不過很明顯也都是指出
[00:03:23.000 --> 00:03:29.000]  他們可能是缺乏了屬靈的判別能力
[00:03:29.000 --> 00:03:34.000]  可以想像如果保羅接下來所說的話是毫無說服性的話
[00:03:34.000 --> 00:03:37.000]  我相信這一幫加拿大人必定會有反彈
[00:03:37.000 --> 00:03:39.000]  聽不進耳朵,接下來所說的話
[00:03:39.000 --> 00:03:47.000]  保羅究竟跟這一幫加拿大人接下來說了些什麼呢?
[00:03:47.000 --> 00:03:53.000]  保羅這裡說基督耶穌的受死
[00:03:53.000 --> 00:03:55.000]  他怎麼說呢?
[00:03:55.000 --> 00:04:01.000]  「已經活畫在你們眼前,誰又迷惑了你們呢?」
[00:04:01.000 --> 00:04:07.000]  很明顯保羅這裡所說,他所傳講十字架的信息
[00:04:07.000 --> 00:04:11.000]  是清楚活畫在這一幫人的面前
[00:04:11.000 --> 00:04:14.000]  好像真的在他們眼前發生的那樣
[00:04:14.000 --> 00:04:17.000]  所以很明顯在整個保羅所傳講的信息裡面
[00:04:17.000 --> 00:04:20.000]  耶穌基督的十字架上的死
[00:04:20.000 --> 00:04:24.000]  就是整個信息的最中心的部分,是不是?
[00:04:24.000 --> 00:04:26.000]  除了這個最中心的信息之外
[00:04:26.000 --> 00:04:33.000]  保羅也用了一個他們都同樣經驗度的經驗
[00:04:33.000 --> 00:04:36.000]  來指出這一幫人的無知
[00:04:36.000 --> 00:04:37.000]  什麼經驗呢?
[00:04:37.000 --> 00:04:39.000]  就是他們真心相信耶穌基督的人
[00:04:39.000 --> 00:04:43.000]  都同樣有一個經驗就是領受聖靈
[00:04:43.000 --> 00:04:47.000]  對於第一代的基督徒來說
[00:04:47.000 --> 00:04:52.000]  聖靈的降臨,接受聖靈進入他們的生命
[00:04:52.000 --> 00:04:56.000]  可以說是一個聽得到、看得到的經驗
[00:04:56.000 --> 00:04:59.000]  大家記不記得,在耶穌基督升天沒多久之後
[00:04:59.000 --> 00:05:02.000]  在五秦節,那裡的記載這樣說
[00:05:02.000 --> 00:05:03.000]  門徒聚在一處
[00:05:03.000 --> 00:05:07.000]  突然之間,天上有響聲下來
[00:05:07.000 --> 00:05:11.000]  一陣大風吹過,充滿了他們所在的屋子
[00:05:11.000 --> 00:05:12.000]  接著怎樣?
[00:05:12.000 --> 00:05:16.000]  有舌頭如火焰顯現出來
[00:05:16.000 --> 00:05:20.000]  分開落在這一幫人的頭上
[00:05:20.000 --> 00:05:22.000]  他們就被聖靈充滿
