
[00:00:00.000 --> 00:00:04.360]  今天我想跟大家藉著《詩篇》第二篇
[00:00:04.360 --> 00:00:07.840]  跟大家一齊思想
[00:00:07.840 --> 00:00:10.560]  或者我們一齊打開聖經
[00:00:10.560 --> 00:00:12.080]  《詩篇》第二篇
[00:00:12.080 --> 00:00:16.040]  我們一齊來中讀經文
[00:00:16.040 --> 00:00:17.640]  《詩篇》第二篇
[00:00:17.640 --> 00:00:23.080]  我們一齊來中讀《詩篇》第二篇
[00:00:25.080 --> 00:00:30.400]  《詩篇》第二篇第一至第十二節
[00:00:30.400 --> 00:00:36.560]  在第一節開始
[00:00:36.560 --> 00:00:40.680]  聖經這樣說
[00:00:40.680 --> 00:00:43.440]  「愛邦人為甚麼憎鬧?
[00:00:43.440 --> 00:00:47.320]  萬民為甚麼謀算虛妄的事?
[00:00:47.320 --> 00:00:50.360]  世上的君王一齊起來
[00:00:50.360 --> 00:00:57.440]  臣在一同相議,要敵黨謠話,並他的受告者說:
[00:00:57.440 --> 00:01:03.280]  『我們要掙開他們的捆綁,脫去他們的繩索,
[00:01:03.280 --> 00:01:09.160]  哪在在天上的必發笑,主必恥笑他們;
[00:01:09.160 --> 00:01:15.440]  哪是他要在路中責備他們,在逆路中驚嚇他們,
[00:01:15.440 --> 00:01:21.840]  說:『我已經立我的君在石安,我的聖山上了;
[00:01:21.840 --> 00:01:25.120]  受告者說:『我要傳聖旨』;
[00:01:25.120 --> 00:01:27.160]  耀華臣對我說:
[00:01:27.160 --> 00:01:31.240]  『你是我的兒子,我今日生你;
[00:01:31.240 --> 00:01:35.640]  你求我,我就將列國賜你為基業,
[00:01:35.640 --> 00:01:38.960]  將地極賜你為田產,
[00:01:38.960 --> 00:01:43.120]  你必用鐵匠打破他們,
[00:01:43.120 --> 00:01:47.600]  你必將他們如同妖匠的瓦器率碎;
[00:01:47.600 --> 00:01:51.720]  現在你們君王應當醒悟,
[00:01:51.720 --> 00:01:55.800]  你們世上的審判官該受管教,
