
[00:00:00.000 --> 00:00:03.000]  今天我們要講到大淫婦
[00:00:03.000 --> 00:00:06.000]  一聽到這個東西
[00:00:06.000 --> 00:00:08.000]  牧師你怎麼講這個東西
[00:00:08.000 --> 00:00:09.000]  對不起
[00:00:09.000 --> 00:00:12.000]  這是聖經起訴裡面很重要的一個主題
[00:00:12.000 --> 00:00:17.000]  這一段聖經
[00:00:17.000 --> 00:00:19.000]  就是十七章
[00:00:19.000 --> 00:00:23.000]  可以說整章裡面講到大淫婦還有跟獸
[00:00:23.000 --> 00:00:25.000]  這個解經
[00:00:25.000 --> 00:00:27.000]  裡面有各式各樣不同的一些解禁
[00:00:27.000 --> 00:00:29.000]  這是蠻難解的一段聖經
[00:00:30.000 --> 00:00:32.000]  其實再一次講說
[00:00:32.000 --> 00:00:35.000]  我相信對多數的弟兄姊妹來講
[00:00:35.000 --> 00:00:39.000]  可能你不一定能夠完全明白啟示錄
[00:00:39.000 --> 00:00:42.000]  我嘗試用一個比較簡單的方式
[00:00:42.000 --> 00:00:44.000]  比較大家能夠聽得懂的方式
[00:00:44.000 --> 00:00:47.000]  所以我不會go into太多神學的東西
[00:00:47.000 --> 00:00:49.000]  但是我會把這裡面
[00:00:49.000 --> 00:00:52.000]  怎麼樣子能夠應用在我們生活當中
[00:00:52.000 --> 00:00:54.000]  能夠帶出來
[00:00:54.000 --> 00:00:57.000]  首先我們要知道一件事情
[00:00:57.000 --> 00:00:59.000]  這個世界有兩個國度
[00:00:59.000 --> 00:01:02.000]  我們在講啟示錄是一定要記得一些事情
[00:01:02.000 --> 00:01:04.000]  不是敵方就是我方
[00:01:04.000 --> 00:01:05.000]  是不是
[00:01:05.000 --> 00:01:07.000]  我們上禮拜講哈密基多頓大戰
[00:01:07.000 --> 00:01:10.000]  所以你是敵方還是我方呢
[00:01:10.000 --> 00:01:12.000]  敵方是什麼呢
[00:01:12.000 --> 00:01:14.000]  敵方就是敵基督
[00:01:14.000 --> 00:01:17.000]  就是撒旦跟他的這些的子民
[00:01:17.000 --> 00:01:19.000]  所以這是撒旦的國度
[00:01:19.000 --> 00:01:21.000]  那麼我方是什麼呢
[00:01:21.000 --> 00:01:24.000]  我方就是基督的國度
[00:01:24.000 --> 00:01:28.000]  那你是誰可以進入基督的國度呢
[00:01:28.000 --> 00:01:33.000]  凡是相信耶穌
[00:01:33.000 --> 00:01:35.000]  做他救主的人
[00:01:35.000 --> 00:01:38.000]  都可以進入基督的國度
[00:01:38.000 --> 00:01:41.000]  那不是做基督國度的人
[00:01:41.000 --> 00:01:43.000]  那就是做哪裡的人呢
[00:01:43.000 --> 00:01:45.000]  美國人
[00:01:45.000 --> 00:01:46.000]  不是
[00:01:46.000 --> 00:01:47.000]  沒有別的
[00:01:47.000 --> 00:01:48.000]  你沒有中間路線
[00:01:48.000 --> 00:01:49.000]  只有一個路線
[00:01:49.000 --> 00:01:50.000]  你不是在基督的國
[00:01:50.000 --> 00:01:51.000]  你就是在什麼
[00:01:51.000 --> 00:01:53.000]  魔鬼的國度
[00:01:53.000 --> 00:01:54.000]  請問你
[00:01:54.000 --> 00:01:56.000]  問你旁邊的你在哪一國
[00:01:56.000 --> 00:01:58.000]  你在哪一國
[00:01:58.000 --> 00:02:00.000]  你不要跟他回答中國
[00:02:00.000 --> 00:02:02.000]  也不要回答美國
[00:02:02.000 --> 00:02:03.000]  你是哪一國的
[00:02:03.000 --> 00:02:04.000]  這個交戰雙方
[00:02:04.000 --> 00:02:05.000]  屬靈的征戰裡面
[00:02:05.000 --> 00:02:07.000]  就是這兩個國度
[00:02:07.000 --> 00:02:08.000]  親愛的同志們
[00:02:08.000 --> 00:02:09.000]  那你記得
