
[00:00:00.000 --> 00:00:04.520]  今天講題是「二人必欣順德生」
[00:00:04.520 --> 00:00:10.440]  亦是我們羅馬書的開始介紹
[00:00:10.440 --> 00:00:14.880]  如果問大家重量級
[00:00:14.880 --> 00:00:16.720]  你會想起甚麼
[00:00:16.720 --> 00:00:18.240]  如果你是我的年代
[00:00:18.240 --> 00:00:20.120]  我很多時候可能會想起甚麼
[00:00:20.120 --> 00:00:21.400]  都有些相似
[00:00:21.400 --> 00:00:25.080]  就是想起拳王阿里
[00:00:25.080 --> 00:00:27.960]  有沒有人認識拳王阿里的手
[00:00:27.960 --> 00:00:30.680]  都不是這麼多 表示你年輕
[00:00:30.680 --> 00:00:34.720]  或者近代的泰臣 有沒有聽過
[00:00:34.720 --> 00:00:35.760]  泰臣有
[00:00:35.760 --> 00:00:39.000]  泰臣我們都很出名 我們都知道
[00:00:39.000 --> 00:00:42.120]  我不知道大家知不知道他一拳打出來
[00:00:42.120 --> 00:00:44.680]  有多少磅 行不行
[00:00:44.680 --> 00:00:47.640]  讓大家猜猜 你猜我多少磅
[00:00:47.640 --> 00:00:50.360]  一百多磅
[00:00:50.360 --> 00:00:54.000]  有些人笑 為甚麼笑 你不相信嗎
[00:00:54.000 --> 00:00:56.400]  你不是想著我二百多磅吧
[00:00:56.400 --> 00:01:00.440]  我不知你猜猜梁心牧師多少磅
[00:01:00.440 --> 00:01:02.160]  嘩 你立即嘩
[00:01:02.160 --> 00:01:05.320]  二百磅 當二百磅 我們不問他
[00:01:05.320 --> 00:01:08.720]  你猜泰臣一拳
[00:01:08.720 --> 00:01:13.400]  有沒有梁牧師二百磅那麼重 有沒有
[00:01:13.400 --> 00:01:16.160]  如果你覺得有 舉手先 猜猜
[00:01:16.160 --> 00:01:19.600]  有沒有兩個梁牧師四百磅那麼重
[00:01:19.600 --> 00:01:21.480]  有沒有 舉手先 好
[00:01:21.480 --> 00:01:23.520]  都不止 我再猜猜
[00:01:23.520 --> 00:01:26.440]  三個梁牧師六百磅那麼重 有沒有
[00:01:26.440 --> 00:01:27.800]  嘩 你知
[00:01:27.800 --> 00:01:31.280]  四個梁牧師那麼重 有沒有人覺得還是
[00:01:31.280 --> 00:01:33.080]  就少一點 有沒有兩個
[00:01:33.080 --> 00:01:35.680]  五個即是一千磅 有沒有人覺得
[00:01:35.680 --> 00:01:37.760]  還有人舉手 六個
[00:01:37.760 --> 00:01:38.880]  一千二磅 有沒有
[00:01:38.880 --> 00:01:41.080]  最後有沒有 還有沒有
[00:01:41.080 --> 00:01:45.160]  答案真是六個 是一千一百七十八磅
[00:01:45.160 --> 00:01:48.760]  嘩 即是六個梁牧師扔在你身上
[00:01:48.760 --> 00:01:50.640]  很厲害
[00:01:50.640 --> 00:01:52.520]  當然他泰臣那麼厲害
[00:01:52.520 --> 00:01:56.080]  都是和詠春差不多打過和而已
[00:01:56.080 --> 00:01:57.400]  當這套是電影來的
[00:01:57.400 --> 00:01:59.080]  之前是真的 電影是
[00:01:59.080 --> 00:02:01.040]  好像和葉問打過和
[00:02:01.040 --> 00:02:02.760]  那你又說都不夠厲害 千幾磅
[00:02:02.760 --> 00:02:05.320]  那我就想起打樁機
[00:02:05.320 --> 00:02:07.720]  大家有沒有見過打樁機
[00:02:07.720 --> 00:02:11.920]  又或者你住隔壁有沒有聽過打樁聲音
[00:02:11.920 --> 00:02:14.680]  砰 砰 有吧
[00:02:14.680 --> 00:02:16.440]  你覺得煩不煩
[00:02:16.440 --> 00:02:18.040]  煩啊 因為為甚麼呢
[00:02:18.040 --> 00:02:21.000]  真是要很深入打到落地下
[00:02:21.000 --> 00:02:24.120]  因為一層樓可能百幾層都不倒塌
[00:02:24.120 --> 00:02:25.400]  靠打樁 是吧
[00:02:25.400 --> 00:02:26.560]  真是很厲害
[00:02:26.560 --> 00:02:28.600]  你說都不是那麼厲害
[00:02:28.600 --> 00:02:30.760]  那這個夠厲害了
[00:02:30.760 --> 00:02:32.760]  希望我們這個時代這個世代
[00:02:32.760 --> 00:02:33.720]  不用經歷了 是吧
[00:02:33.720 --> 00:02:35.920]  現在真是很不容易
[00:02:35.920 --> 00:02:38.120]  但是當我們去到羅馬書
[00:02:38.120 --> 00:02:43.720]  這些不好的重量就不關事了
[00:02:43.720 --> 00:02:45.600]  因為羅馬書是絕對一個
[00:02:45.600 --> 00:02:47.960]  超重量級的書卷
[00:02:47.960 --> 00:02:49.120]  為甚麼這樣說呢
[00:02:49.120 --> 00:02:51.680]  並且是一個好的超重量級書卷
[00:02:51.680 --> 00:02:54.360]  原因是 例如我們的先賢先節
[00:02:54.360 --> 00:02:58.400]  特別看到羅馬書那種力量
[00:02:58.400 --> 00:03:02.360]  我們其中一個早期教父奧古斯丁
[00:03:02.360 --> 00:03:06.040]  在他的懺悔錄這樣提到
[00:03:06.040 --> 00:03:07.440]  他當時是一個律師
[00:03:07.440 --> 00:03:11.720]  他放蕩的生活 醉酒的生活
[00:03:11.720 --> 00:03:13.920]  男女關係亂淪的生活
[00:03:13.920 --> 00:03:16.880]  當他看到羅馬書十三章
[00:03:16.880 --> 00:03:18.760]  十三 十四節提到
[00:03:18.760 --> 00:03:21.320]  行事為人要端正
[00:03:21.320 --> 00:03:23.280]  不可放言醉酒
[00:03:23.280 --> 00:03:25.160]  突然間他醒了
[00:03:25.160 --> 00:03:27.520]  在他的懺悔錄
[00:03:27.520 --> 00:03:28.840]  懺悔錄這樣寫
[00:03:28.840 --> 00:03:29.920]  Confessions
[00:03:29.920 --> 00:03:30.640]  他說我不願意
[00:03:30.640 --> 00:03:32.880]  也不需要再看下去了
[00:03:32.880 --> 00:03:34.760]  解除了我一切憂愁的光明
[00:03:34.760 --> 00:03:36.040]  除了最後一句話語
[00:03:36.040 --> 00:03:37.840]  就是聖經在羅馬書的話語
[00:03:37.840 --> 00:03:38.840]  煞時間
[00:03:38.840 --> 00:03:40.680]  湧進心頭
[00:03:40.680 --> 00:03:42.680]  所有疑慮都消失無影無蹤
[00:03:42.680 --> 00:03:44.120]  就是說那種力量
[00:03:44.120 --> 00:03:46.200]  令到它全然改變了
[00:03:46.200 --> 00:03:47.880]  真是很厲害
[00:03:47.880 --> 00:03:50.640]  又或者我們馬丁路德改革家
[00:03:50.640 --> 00:03:52.560]  一個很厲害的神學家
[00:03:52.560 --> 00:03:53.400]  哲學家
[00:03:53.400 --> 00:03:54.800]  一個很厲害的領袖
[00:03:54.800 --> 00:03:57.040]  他這樣描述羅馬書
[00:03:57.040 --> 00:03:59.720]  他說實為新約首要的部分
[00:03:59.720 --> 00:04:01.240]  是最純正的福音
[00:04:01.240 --> 00:04:02.200]  每個基督徒
[00:04:02.200 --> 00:04:05.200]  應自自熟記於心
[00:04:05.200 --> 00:04:06.560]  並以將它當作
[00:04:06.560 --> 00:04:09.280]  每日靈量為己有
[00:04:09.280 --> 00:04:11.200]  每日靈修都要再看一下
[00:04:11.200 --> 00:04:13.080]  覺得很厲害吧
[00:04:13.080 --> 00:04:15.040]  或者加爾文這個神學家
[00:04:15.040 --> 00:04:16.560]  也都是非常有名的神學家
[00:04:16.560 --> 00:04:19.160]  若能真正明白這卷書卷
[00:04:19.160 --> 00:04:20.680]  如果你明白到
[00:04:20.680 --> 00:04:21.960]  就等於開啟了
[00:04:21.960 --> 00:04:27.240]  聖經一切奧秘的寶藏之門
[00:04:27.240 --> 00:04:28.280]  所以很值得看
[00:04:28.280 --> 00:04:30.480]  接下來我們有十多堂
