
[00:00:00.000 --> 00:00:02.260]  很高興今天又有機會在這裡
[00:00:02.260 --> 00:00:04.040]  大家分享神的話語
[00:00:04.040 --> 00:00:07.600]  是 很高興在這裡
[00:00:07.600 --> 00:00:10.200]  可以跟大家一起分享神的話語
[00:00:10.200 --> 00:00:12.900]  今天是教會所訂的福音主日
[00:00:12.900 --> 00:00:15.100]  今天是教會所訂的福音主日
[00:00:15.100 --> 00:00:18.000]  所以我選了這一段經文
[00:00:18.000 --> 00:00:20.700]  所以我想這段經文
[00:00:20.700 --> 00:00:21.900]  請大家想一想
[00:00:21.900 --> 00:00:25.440]  有誰聽過這段經文有一次的 舉手
[00:00:25.440 --> 00:00:26.700]  我想問一問
[00:00:26.700 --> 00:00:28.800]  大家聽過這段經文一次的
[00:00:28.800 --> 00:00:31.100]  舉手 這起碼是十年以上的基督徒了
[00:00:31.100 --> 00:00:32.400]  起碼十年以上的基督徒了
[00:00:32.400 --> 00:00:36.400]  有誰聽過牧師以這段經文講道兩次的
[00:00:36.400 --> 00:00:37.400]  有誰聽過牧師講道
[00:00:37.400 --> 00:00:38.500]  不一定是張牧師
[00:00:38.500 --> 00:00:39.400]  可能是其他的牧師
[00:00:39.400 --> 00:00:41.800]  可能其他牧師未必一定是張牧師
[00:00:41.800 --> 00:00:42.300]  聽過兩次的 舉手
[00:00:42.300 --> 00:00:44.300]  哇 我看到有幾個太開心了
[00:00:44.300 --> 00:00:46.800]  這一定是三十年以上的基督徒了
[00:00:46.800 --> 00:00:50.500]  可能至少是三十年以上的基督徒了
[00:00:50.500 --> 00:00:54.400]  今天我的這個裝飾品也專門是一個麥子
[00:00:54.400 --> 00:00:57.000]  今天梁姐妹的裝飾品也是一個麥子
[00:00:57.000 --> 00:00:59.900]  我她的英文標題 今天的正當英文
[00:00:59.900 --> 00:01:01.200]  corn and coffin
[00:01:01.200 --> 00:01:04.200]  今天我正道的標題叫 corn and coffin
[00:01:04.200 --> 00:01:05.700]  corn大家都知道是
[00:01:05.700 --> 00:01:08.700]  玉米或者是麥種的意思
[00:01:08.700 --> 00:01:12.500]  corn大家都知道是玉米或者是麥子的意思
[00:01:12.500 --> 00:01:14.100]  coffin就是死亡
[00:01:14.100 --> 00:01:15.400]  coffin就是死亡
[00:01:15.400 --> 00:01:18.300]  那麼福音怎麼跟死亡相連接呢
[00:01:18.300 --> 00:01:20.500]  福音怎麼跟死亡相連接呢
[00:01:20.500 --> 00:01:24.700]  好了 我們在分享前有一個開始的禱告
[00:01:24.700 --> 00:01:26.900]  是 我們先開始祈禱
[00:01:26.900 --> 00:01:28.400]  敬愛的阿爸 父神 感謝祢
[00:01:28.400 --> 00:01:30.200]  感謝祢讓孩子今天有機會
[00:01:30.200 --> 00:01:32.800]  弟兄姊妹在這裡分享祢的福音
[00:01:32.800 --> 00:01:34.000]  求祢開孩子的口
[00:01:34.000 --> 00:01:37.300]  讓孩子口裡所出的都是蒙祢的喜悅
[00:01:37.300 --> 00:01:38.900]  求祢讓孩子講得清楚
[00:01:38.900 --> 00:01:41.600]  讓大家聽得明白
[00:01:41.600 --> 00:01:45.600]  讓祢福音的信息在我們心中開花 結果
[00:01:45.600 --> 00:01:47.700]  並在我們的生活當中行出來
[00:01:47.700 --> 00:01:50.600]  感謝祖 向禱告奉我主耶穌基督的名
[00:01:50.600 --> 00:01:52.000]  Amen
[00:01:52.000 --> 00:01:55.100]  好 這個經文素姊妹已經帶我們讀過了
[00:01:55.100 --> 00:01:56.600]  我們就不再讀了
[00:01:56.600 --> 00:01:58.400]  這段經文我們剛剛讀完了
[00:01:58.400 --> 00:02:00.000]  我們不用再讀了
[00:02:00.000 --> 00:02:04.200]  那麼我們想先了解一下這段經文的背景
