
[00:00:00.000 --> 00:00:04.240]  家中的弟兄姊妹平安
[00:00:04.240 --> 00:00:06.640]  讓我們一起有個祈禱
[00:00:06.640 --> 00:00:13.040]  多謝你讓我們真的去聽你的說話
[00:00:13.040 --> 00:00:19.360]  讓我們思考主在這星期為我們受苦的意義
[00:00:19.360 --> 00:00:25.360]  幫助我們在這星期更加明白主的愛
[00:00:25.360 --> 00:00:29.600]  明白主對我們的拯救
[00:00:29.600 --> 00:00:31.280]  願主你幫助我們
[00:00:31.280 --> 00:00:36.960]  讓我們今天開始在這星期讀多些聖經
[00:00:36.960 --> 00:00:41.280]  去了解耶穌你自己的受苦和復活
[00:00:41.280 --> 00:00:45.360]  多謝你聽我們祈禱奉耶穌名字而求
[00:00:45.360 --> 00:00:46.400]  阿們
[00:00:46.400 --> 00:00:49.920]  今天和大家去思考一段經文
[00:00:49.920 --> 00:00:53.920]  來自《馬太福音》27章45至50節
[00:00:53.920 --> 00:00:59.120]  題目是《我的上帝,我的上帝為什麼離棄我?》
[00:00:59.120 --> 00:01:01.600]  為什麼選擇這個題目呢?
[00:01:01.600 --> 00:01:05.040]  因為今天按照教會的年齡
[00:01:05.040 --> 00:01:07.760]  今天是一個中之的主日
[00:01:07.760 --> 00:01:13.680]  正好是今天是耶穌光榮進入耶路撒冷的日子
[00:01:13.680 --> 00:01:16.480]  在當時群眾歡呼
[00:01:16.480 --> 00:01:18.640]  舉起中樹枝
[00:01:18.640 --> 00:01:19.600]  鋪在地上
[00:01:19.600 --> 00:01:24.560]  讓耶穌騎著驢驅進入耶路撒冷的日子
[00:01:24.560 --> 00:01:31.600]  在這個日子裏面是一個很重要的最後一星期
[00:01:31.600 --> 00:01:35.760]  特別在聖經裏面有很多重要的描述
[00:01:35.760 --> 00:01:38.000]  都是在最後這個星期裏面
[00:01:38.000 --> 00:01:39.760]  事實上在《馬太福音》
[00:01:39.760 --> 00:01:44.080]  耶穌進入耶路撒冷是在第21章
[00:01:44.080 --> 00:01:48.400]  但一直說到耶穌受死就去到第27章的段落
[00:01:48.400 --> 00:01:50.400]  所以你想想是很長的篇幅
[00:01:50.400 --> 00:01:53.040]  就是說耶穌最後的一個星期
[00:01:53.040 --> 00:01:58.160]  所以我們今天也去思考一下其中一個的片段
[00:01:58.160 --> 00:02:00.400]  在這個受難週裏面
[00:02:00.400 --> 00:02:01.680]  最後一個星期裏面
[00:02:01.680 --> 00:02:05.120]  其中有些人將祂按照不同的日子
[00:02:05.120 --> 00:02:08.640]  去說出耶穌一些重要發生的經歷
[00:02:08.640 --> 00:02:11.360]  包括了剛才我們說的有中樹枝
[00:02:11.360 --> 00:02:13.840]  歡迎耶穌進入耶路撒冷
[00:02:13.840 --> 00:02:16.480]  也有潔淨聖殿
[00:02:16.480 --> 00:02:19.600]  有奉獻銀錢等等
[00:02:19.600 --> 00:02:23.440]  也有沒有特別技術的安靜的日子
[00:02:23.440 --> 00:02:25.760]  甚至我們知道很熟悉的
[00:02:25.760 --> 00:02:29.600]  就是最後的晚餐就是在星期四的晚上
[00:02:29.600 --> 00:02:38.160]  星期五我們普遍認為受難的日子就是星期五
[00:02:38.160 --> 00:02:41.120]  然後有一天的安息日
[00:02:41.120 --> 00:02:42.400]  什麼事情都不能做
[00:02:42.400 --> 00:02:46.960]  到星期日的清早我們見到耶穌復活了
[00:02:46.960 --> 00:02:51.600]  所以這個星期我們都會在教會裏面的不同的活動
