
[00:00:00.000 --> 00:00:02.760]  今天跟大家分享一篇訊息
[00:00:02.760 --> 00:00:09.740]  其實是很好的一段經文
[00:00:09.740 --> 00:00:15.040]  哥倫多前書是一個很深刻的經文
[00:00:15.040 --> 00:00:22.840]  裡面很多內容都令人欣賞保羅能夠寫出這樣的神學
[00:00:22.840 --> 00:00:26.300]  不過再次說 現在說到很困難
[00:00:26.300 --> 00:00:29.060]  因為隨著政局的發展
[00:00:29.060 --> 00:00:32.960]  其實常常在反思聖經究竟怎樣跟我們的政局有關
[00:00:32.960 --> 00:00:35.140]  是有相連的地方
[00:00:35.140 --> 00:00:39.280]  是很不容易的
[00:00:39.280 --> 00:00:41.320]  我們想昔日的羅馬世界
[00:00:41.320 --> 00:00:46.340]  都是一個某個程度很有強權沒有功利的社會
[00:00:46.340 --> 00:00:49.220]  因為當時生活在那個文化裡面
[00:00:49.220 --> 00:00:51.840]  很重的稅制 大家知道
[00:00:51.840 --> 00:00:54.580]  有那些稅利 稅利獎收多的錢
[00:00:54.580 --> 00:00:57.460]  有羅馬兵丁都很欺凌的
[00:00:57.460 --> 00:01:00.480]  如果你走過 他就會叫你幫他拿東西
[00:01:00.480 --> 00:01:03.100]  或者做事 或者是拿你的東西
[00:01:03.100 --> 00:01:05.940]  拿你的衣服 叫你幫他揹他要揹的東西
[00:01:05.940 --> 00:01:07.840]  他就給了你揹
[00:01:07.840 --> 00:01:11.500]  甚至在宗教制度上有一定的自由
[00:01:11.500 --> 00:01:15.240]  但是這個宗教制度也都跟政權有些掛鉤
[00:01:15.240 --> 00:01:18.360]  所以那些祭司長 或者那些在位的人
[00:01:18.360 --> 00:01:22.720]  可能都是有些很掠水在憲制裡面
[00:01:22.720 --> 00:01:25.820]  所以耶穌法路其實跟哥倫經文有些關係
[00:01:25.820 --> 00:01:30.820]  就是一些 都有很多的問題出現
[00:01:30.820 --> 00:01:35.200]  但是在寫聖經裡面 無論耶穌在保羅
[00:01:35.200 --> 00:01:37.540]  他都很集中一個的路向
[00:01:37.540 --> 00:01:40.040]  就是以一個十字架的救恩
[00:01:40.040 --> 00:01:43.100]  為他們侍奉的中心和焦點
[00:01:43.100 --> 00:01:44.940]  當我思想這個經文的時候
[00:01:44.940 --> 00:01:46.660]  很想我們大家
[00:01:46.660 --> 00:01:49.920]  今天受很多的影響在政治的發展裡面
[00:01:49.920 --> 00:01:53.720]  但是我們不要失去一個焦點
[00:01:53.720 --> 00:01:57.140]  在信仰裡面 我們仍然以福音為一個主導
[00:01:57.140 --> 00:01:59.120]  福音跟今天社會的關係是怎樣
[00:01:59.120 --> 00:02:00.260]  我們可以有很多的討論
[00:02:00.260 --> 00:02:03.280]  怎樣去到哪裡 跟人怎樣去傳福音
[00:02:03.280 --> 00:02:05.860]  在那裡福音的意義是什麼
[00:02:05.860 --> 00:02:07.580]  但是我們仍然要知道
[00:02:07.580 --> 00:02:09.820]  福音是一個很重要的事情
[00:02:09.820 --> 00:02:13.820]  哥倫多前書是保羅關切著教會一些的問題
[00:02:13.820 --> 00:02:16.580]  叫做合一和純潔的問題
