
[00:00:00.000 --> 00:00:01.920]  每當我們去看先知書的時候
[00:00:01.920 --> 00:00:04.040]  很多時候我們作為信徒
[00:00:04.040 --> 00:00:08.320]  我們對先知書有一種無形的恐懼
[00:00:08.320 --> 00:00:10.280]  無形的恐懼的原因就是因為
[00:00:10.280 --> 00:00:14.800]  我們一想到先知就想起很多的寓言
[00:00:14.800 --> 00:00:16.720]  我們想起很多先知書裡面的
[00:00:16.720 --> 00:00:20.080]  有很多的意象 有很多的異夢
[00:00:20.080 --> 00:00:21.640]  有時候看著《達爾里書》
[00:00:21.640 --> 00:00:22.560]  看著《倚創亞書》
[00:00:22.560 --> 00:00:24.760]  某些的意象 某些的寓言的時候
[00:00:24.760 --> 00:00:26.800]  我們都不知道怎樣去理解
[00:00:26.800 --> 00:00:28.600]  甚至未必去明白
[00:00:28.600 --> 00:00:31.680]  甚至什麼時候應驗 應驗在什麼時間
[00:00:31.680 --> 00:00:33.880]  所以很多時候我們去面對先知書的時候
[00:00:33.880 --> 00:00:36.240]  都有一種無形的一種感受
[00:00:36.240 --> 00:00:37.120]  這種感受就是
[00:00:37.120 --> 00:00:39.040]  哎 都不是很明白先知書
[00:00:39.040 --> 00:00:40.560]  但是你看著《約拿書》的時候
[00:00:40.560 --> 00:00:43.520]  你就發覺《約拿書》是一個很簡單的
[00:00:43.520 --> 00:00:48.040]  也都很直述的一個心平的部分
[00:00:48.040 --> 00:00:49.440]  而這個《約拿》就是
[00:00:49.440 --> 00:00:51.680]  裡面《約拿書》那四章那邊
[00:00:51.680 --> 00:00:53.120]  沒有任何的意象
[00:00:53.120 --> 00:00:54.440]  沒有任何的異夢
[00:00:54.440 --> 00:00:56.080]  也都沒有任何的寓言
[00:00:56.080 --> 00:00:59.000]  唯一的寓言就是神跟《約拿》說
[00:00:59.000 --> 00:01:00.640]  你要去傳福音給尼尼尾城
[00:01:00.640 --> 00:01:01.640]  如果你不去
[00:01:01.640 --> 00:01:03.000]  尼尼尾城就玩完了
[00:01:03.000 --> 00:01:04.240]  這個唯一的寓言
[00:01:04.240 --> 00:01:07.000]  甚至比我們更加記得清楚的
[00:01:07.000 --> 00:01:07.960]  就是那條大魚
[00:01:07.960 --> 00:01:09.800]  去大魚 每個人都認識那條大魚
[00:01:09.800 --> 00:01:13.160]  那條大魚就吞了《約拿》三天三夜
[00:01:13.160 --> 00:01:15.280]  然後就是出來
[00:01:15.280 --> 00:01:17.960]  套牠出來 牠就去了尼尼尾城
[00:01:17.960 --> 00:01:19.360]  上一次我講道的時候
[00:01:19.360 --> 00:01:22.680]  我提出這個《約拿》是不信服
[00:01:22.680 --> 00:01:24.640]  這個《約拿》是完全不信服
[00:01:24.640 --> 00:01:26.440]  我們說它不信服的原因就是
[00:01:26.440 --> 00:01:29.480]  它真的沒有去上帝要它去的地方
[00:01:29.480 --> 00:01:30.400]  尼尼尾城
[00:01:30.400 --> 00:01:32.200]  它卻去了他屍
[00:01:32.200 --> 00:01:32.840]  但另一方面
[00:01:32.840 --> 00:01:33.680]  我上一次講
[00:01:33.680 --> 00:01:35.880]  這個不信服的《約拿》
[00:01:35.880 --> 00:01:37.440]  它卻有信服
[00:01:37.440 --> 00:01:38.400]  弟兄姊妹
[00:01:38.400 --> 00:01:41.200]  當它領受了上帝的心意
[00:01:41.200 --> 00:01:43.000]  叫它去尼尼尾城的時候
[00:01:43.000 --> 00:01:44.400]  它真的第一步
[00:01:44.400 --> 00:01:47.840]  它真的願意離開
[00:01:47.840 --> 00:01:51.080]  離開一個它很舒服的環境
[00:01:51.080 --> 00:01:53.520]  這個是它的吞福鬆
[00:01:53.520 --> 00:01:56.280]  德國的以色列是它做先知的地方
[00:01:56.280 --> 00:01:58.240]  是它可以直出皇宮
[00:01:58.240 --> 00:01:59.760]  和皇帝聊天的地方
[00:01:59.760 --> 00:02:01.880]  是一個很有名氣的一位先知
[00:02:01.880 --> 00:02:04.240]  但上帝要它連根拔離開
[00:02:04.240 --> 00:02:05.960]  它真的離開
[00:02:05.960 --> 00:02:08.760]  我記得當我自己在加拿大
[00:02:08.760 --> 00:02:10.560]  準備去台灣做宣教的時候
[00:02:10.560 --> 00:02:11.480]  有時候都會想
[00:02:11.480 --> 00:02:13.880]  為什麼要去台灣做宣教?
[00:02:13.880 --> 00:02:15.000]  加拿大不好嗎?
[00:02:15.000 --> 00:02:17.040]  加拿大有很多的華人教會
[00:02:17.040 --> 00:02:18.200]  當時我讀完神學
[00:02:18.200 --> 00:02:19.640]  有很多人會請我
[00:02:19.640 --> 00:02:24.840]  甚至當時我和師母初初約會的時候
[00:02:24.840 --> 00:02:26.440]  我曾經和家人說
[00:02:26.440 --> 00:02:28.160]  不如讓我們訂婚吧
[00:02:28.160 --> 00:02:30.200]  訂婚之後我們結婚吧
[00:02:30.200 --> 00:02:31.920]  當時我們雙方的父母就說
[00:02:31.920 --> 00:02:33.600]  訂什麼婚?結婚算了
[00:02:33.600 --> 00:02:36.600]  於是我就結婚了
[00:02:36.600 --> 00:02:41.480]  師母在她剛剛夠鐘簽名就嫁給我
[00:02:41.480 --> 00:02:44.120]  她真的很年輕嫁給我
[00:02:44.120 --> 00:02:45.080]  我和她相差很多歲
[00:02:45.080 --> 00:02:48.400]  你和隔壁的學武師相差很多歲
[00:02:48.400 --> 00:02:51.840]  但我覺得我父母很適合
[00:02:51.840 --> 00:02:53.800]  他們當時叫我結婚
[00:02:53.800 --> 00:02:56.960]  我結婚之後兩年就去台灣做宣教
[00:02:56.960 --> 00:02:59.560]  如果我們按照我們自己的心意
[00:02:59.560 --> 00:03:00.720]  兩年之後結婚
[00:03:00.720 --> 00:03:02.200]  馬上去台灣做宣教
[00:03:02.200 --> 00:03:04.440]  其實我們會有很多的適應
[00:03:04.440 --> 00:03:06.280]  我們原本在加拿大很舒服
[00:03:06.280 --> 00:03:07.560]  每樣東西都很舒服
[00:03:07.560 --> 00:03:10.040]  但是你要離開自己熟悉的環境
[00:03:10.040 --> 00:03:11.040]  去到台灣
[00:03:11.040 --> 00:03:12.240]  去面對新的國家
[00:03:12.240 --> 00:03:13.440]  新的文化
[00:03:13.440 --> 00:03:15.760]  都不應該說是國家
