
[00:00:00.000 --> 00:00:02.760]  大衛傳的二十一講
[00:00:02.760 --> 00:00:05.320]  其實舊約真是很精彩
[00:00:05.320 --> 00:00:06.720]  我很喜歡舊約
[00:00:06.720 --> 00:00:12.800]  新約很多教導很直接地告訴我們應該怎樣做
[00:00:12.800 --> 00:00:16.560]  但是舊約是透過很多故事
[00:00:16.560 --> 00:00:22.320]  今天我們要講薩姆爾夏的第十七章和第十八章
[00:00:22.320 --> 00:00:28.680]  我們講到大衛他自己的兒子亞沙隆追殺大衛
[00:00:28.680 --> 00:00:31.600]  刀劍不離大衛的家
[00:00:31.600 --> 00:00:35.280]  他希望甚至殺死大衛
[00:00:35.280 --> 00:00:38.440]  但是神保守大衛
[00:00:38.440 --> 00:00:40.600]  所以我今天的題目叫做
[00:00:40.600 --> 00:00:44.400]  耶和華的籌算永遠立定
[00:00:44.400 --> 00:00:46.480]  人來說我們可以籌算
[00:00:46.480 --> 00:00:49.360]  我們可以做很多的計劃
[00:00:49.360 --> 00:00:53.600]  希望成就我們自己的旨意
[00:00:53.600 --> 00:00:59.280]  但是神永遠都是按照祂的籌算來進行
[00:00:59.280 --> 00:01:05.440]  所以很多時候神永遠都有祂的籌算
[00:01:05.440 --> 00:01:07.720]  在大衛的身上都是一樣
[00:01:07.720 --> 00:01:09.720]  我們見到一切的事
[00:01:09.720 --> 00:01:16.040]  正是按照神計劃來進行
[00:01:16.040 --> 00:01:21.160]  亞沙隆已經達到他第一個目的
[00:01:21.160 --> 00:01:24.440]  就是將大衛趕出耶路撒冷城
[00:01:24.440 --> 00:01:27.920]  奪取大衛的王位
[00:01:27.920 --> 00:01:31.480]  現在他要做第二件事
[00:01:31.480 --> 00:01:36.240]  保證他這個爸爸將永遠不能回到耶路撒冷
[00:01:36.240 --> 00:01:39.400]  永遠不能取回他的王位
[00:01:39.400 --> 00:01:43.000]  所以他決定大衛一定要死
[00:01:43.000 --> 00:01:45.480]  他就去問他兩個謀士
[00:01:45.480 --> 00:01:49.680]  怎樣能夠將大衛置於死地
[00:01:49.680 --> 00:01:52.440]  這兩個謀士是誰?
[00:01:52.440 --> 00:01:55.560]  第一個謀士就是阿希多佛
[00:01:55.560 --> 00:01:58.720]  第二個謀士就是胡西
[00:01:58.720 --> 00:02:03.120]  我們說過阿希多佛是拔士巴的爺爺
[00:02:03.120 --> 00:02:07.120]  因為大衛和拔士巴行了奸人
[00:02:07.120 --> 00:02:11.120]  為阿希多佛的家族帶來污名
[00:02:11.120 --> 00:02:13.760]  所以阿希多佛很憎恨大衛
[00:02:13.760 --> 00:02:15.240]  反目成仇
[00:02:15.240 --> 00:02:17.000]  本來是好朋友
[00:02:17.000 --> 00:02:20.280]  現在他去投靠阿沙隆
[00:02:20.280 --> 00:02:23.040]  他還獻祭給阿沙隆
[00:02:23.040 --> 00:02:26.160]  在他的計劃當中我們見到
[00:02:26.160 --> 00:02:29.040]  阿希多佛是一個非常自我
[00:02:29.040 --> 00:02:32.400]  非常自私自大的一個人
[00:02:32.400 --> 00:02:35.680]  他說我要親自率領軍隊
[00:02:35.680 --> 00:02:38.880]  我要忽然追上大衛
[00:02:38.880 --> 00:02:41.440]  我要這樣做 我要這樣做
[00:02:41.440 --> 00:02:44.480]  全部都是講他自己
[00:02:44.480 --> 00:02:46.840]  他的計劃非常之好
[00:02:46.840 --> 00:02:51.760]  就是要阿沙隆聚集一萬二千個精兵
[00:02:51.760 --> 00:02:55.240]  來追殺大衛 偷襲大衛
[00:02:55.240 --> 00:02:58.160]  等大衛還未立定陣腳
[00:02:58.160 --> 00:03:00.680]  就攻擊他 將他殺死
[00:03:00.680 --> 00:03:03.680]  然後將大衛的跟隨者帶回來
[00:03:03.680 --> 00:03:06.160]  效忠阿沙隆
[00:03:06.160 --> 00:03:09.760]  這個計謀是一個速戰速決的計謀
[00:03:09.760 --> 00:03:12.320]  不會流很多人的血
[00:03:12.320 --> 00:03:16.600]  如果阿沙隆真的聽阿希多佛的計謀
[00:03:16.600 --> 00:03:21.720]  將會造成很大的傷害
[00:03:21.720 --> 00:03:24.320]  給大衛造成很大的傷害
[00:03:24.320 --> 00:03:27.160]  甚至可以將他殺死
[00:03:27.160 --> 00:03:30.200]  但是大衛曾經祈求神
[00:03:30.200 --> 00:03:35.200]  他說願阿希多佛的計謀會變為如廚
[00:03:35.200 --> 00:03:38.360]  神就真的應驗了他的禱告
[00:03:38.360 --> 00:03:39.800]  怎樣應驗呢
[00:03:39.800 --> 00:03:41.880]  是透過呼吸
[00:03:41.880 --> 00:03:45.160]  呼吸就是另外的一個謀事
[00:03:45.160 --> 00:03:49.280]  當阿希多佛說出他的計謀的時候
[00:03:49.280 --> 00:03:51.360]  呼吸不在場
[00:03:51.360 --> 00:03:55.080]  所以阿沙隆就派人去召呼吸來
[00:03:55.080 --> 00:03:57.240]  問他的意見
[00:03:57.240 --> 00:03:58.880]  在神的帶領之下
[00:03:58.880 --> 00:04:04.240]  呼吸和阿希多佛是有完全不同的見解
[00:04:04.240 --> 00:04:08.480]  呼吸注意到阿希多佛是個自我的人
[00:04:08.480 --> 00:04:11.840]  所以他不將注意力放在自己的身上
[00:04:11.840 --> 00:04:15.640]  他將注意力放在阿沙隆的身上
[00:04:15.640 --> 00:04:17.200]  他跟阿沙隆說
[00:04:17.200 --> 00:04:21.000]  你要親自來聚集你的軍隊
[00:04:21.000 --> 00:04:23.040]  你要親自帶領他們
[00:04:23.040 --> 00:04:26.600]  率領他們來追殺大衛
[00:04:26.600 --> 00:04:28.600]  阿希多佛所說的是
[00:04:28.600 --> 00:04:31.400]  我我我,我會怎樣做
