
[00:00:00.000 --> 00:00:05.000]  好,今日想同大家分享的題目是神的道路
[00:00:05.000 --> 00:00:11.000]  我有點愁唱,愁中是嗎?
[00:00:11.000 --> 00:00:18.000]  因為被編的經文有101節
[00:00:18.000 --> 00:00:21.000]  所以應該怎樣說呢?
[00:00:21.000 --> 00:00:25.000]  我都不會叫大家和我一起讀了
[00:00:25.000 --> 00:00:29.000]  因為我讀完之後,我就可以下台了
[00:00:29.000 --> 00:00:34.000]  但是靠神幫助我們明白
[00:00:34.000 --> 00:00:36.000]  今天我們想一起反省的
[00:00:36.000 --> 00:00:39.000]  很熟悉的經文,在福音書
[00:00:39.000 --> 00:00:42.000]  來到馬太福音的差不多尾聲
[00:00:42.000 --> 00:00:48.000]  耶穌基督面對被出賣,面對受審
[00:00:48.000 --> 00:00:51.000]  我們都接近聖誕節
[00:00:51.000 --> 00:00:54.000]  是一個很適時的提醒
[00:00:54.000 --> 00:00:58.000]  在中間有些經文叫我們再重溫的時候
[00:00:58.000 --> 00:01:02.000]  有些重要的訊息是上帝跟我們說的
[00:01:02.000 --> 00:01:09.000]  我想和大家分析一下101節的經文
[00:01:09.000 --> 00:01:13.000]  大概可以這樣分析那些事件
[00:01:13.000 --> 00:01:18.000]  第一組有兩個主要事件
[00:01:18.000 --> 00:01:21.000]  回到第一組,一和一
[00:01:21.000 --> 00:01:25.000]  一開始就說到耶穌預言自己會被害
[00:01:25.000 --> 00:01:27.000]  這個我們很熟悉
[00:01:27.000 --> 00:01:31.000]  因為他不斷在福音書經常提及
[00:01:31.000 --> 00:01:34.000]  他將會被害,跟門徒說
[00:01:34.000 --> 00:01:40.000]  同時在那五節裡都提出敵人要害耶穌
[00:01:40.000 --> 00:01:44.000]  第二組的經文發生的事件
[00:01:44.000 --> 00:01:54.000]  就說到一個女人用一瓶很名貴的香膏
[00:01:54.000 --> 00:01:57.000]  來告耶穌
[00:01:57.000 --> 00:02:02.000]  我們都知道香膏很昂貴,一年的工資
[00:02:02.000 --> 00:02:05.000]  就這樣來告耶穌
[00:02:05.000 --> 00:02:08.000]  同時門徒有些不滿
[00:02:08.000 --> 00:02:12.000]  覺得這些錢這麼浪費
[00:02:12.000 --> 00:02:19.000]  但是另一邊馬上看到右底出賣了耶穌
[00:02:19.000 --> 00:02:28.000]  她主動到達濟斯獻意出賣耶穌
[00:02:28.000 --> 00:02:31.000]  第三組的經文兩個事件
[00:02:31.000 --> 00:02:37.000]  我們看到耶穌設立聖親
[00:02:37.000 --> 00:02:43.000]  為門徒進行最後一次在地上的聖親
[00:02:43.000 --> 00:02:46.000]  因為他之後要上十字架
[00:02:46.000 --> 00:02:49.000]  這是最後一次的聖親
[00:02:49.000 --> 00:02:55.000]  接下來看到耶穌預言彼得會誤刑他
[00:02:55.000 --> 00:02:58.000]  我們都知道彼得的反應是怎樣
