
[00:00:00.000 --> 00:00:02.000]  在上年11月
[00:00:02.000 --> 00:00:05.000]  聯合國一個氣候高峰會議
[00:00:05.000 --> 00:00:07.000]  在巴黎舉行
[00:00:07.000 --> 00:00:12.000]  這次會議被視為拯救地球最後最佳機會
[00:00:12.000 --> 00:00:21.000]  這次峰會亦是全球歷來最多國家領導人出席參與一間
[00:00:21.000 --> 00:00:24.000]  會議中有一個很重要的目標
[00:00:24.000 --> 00:00:28.000]  希望達成的是減少溫室氣體排放
[00:00:28.000 --> 00:00:31.000]  溫室氣體特別指二氧化碳和甲烷
[00:00:31.000 --> 00:00:36.000]  希望在2010年即2018年之前
[00:00:36.000 --> 00:00:40.000]  全球氣溫不要升高兩度
[00:00:40.000 --> 00:00:42.000]  即是控制在兩度之下
[00:00:42.000 --> 00:00:47.000]  阻止全球暖化的情況來加劇
[00:00:47.000 --> 00:00:53.000]  大家都聽過全球暖化的情況
[00:00:53.000 --> 00:00:55.000]  簡單去認識一下
[00:00:55.000 --> 00:00:57.000]  以前的地球很好
[00:00:57.000 --> 00:00:59.000]  太陽光射下來就可以反射出去
[00:00:59.000 --> 00:01:01.000]  如果太陽有大氣層
[00:01:01.000 --> 00:01:02.000]  比較薄薄
[00:01:02.000 --> 00:01:07.000]  將紅外線射出去
[00:01:07.000 --> 00:01:11.000]  雖然有一部份的曲石留在當中
[00:01:11.000 --> 00:01:13.000]  但地球都比較涼爽
[00:01:13.000 --> 00:01:15.000]  但你會發覺今時今日就不同了
[00:01:15.000 --> 00:01:17.000]  因為很多的溫室氣體排放
[00:01:17.000 --> 00:01:24.000]  這些不同的氣體排放
[00:01:24.000 --> 00:01:29.000]  所以造成大氣層非常厚
[00:01:29.000 --> 00:01:30.000]  如果厚的話
[00:01:30.000 --> 00:01:32.000]  陽光不能射出去
[00:01:32.000 --> 00:01:34.000]  就會籠罩在地球內
[00:01:34.000 --> 00:01:38.000]  導致全球氣溫上升
[00:01:38.000 --> 00:01:42.000]  近日都會感受到非常之酷熱
[00:01:42.000 --> 00:01:44.000]  其實已經不是近日
[00:01:44.000 --> 00:01:47.000]  過去幾年都是這樣
[00:01:47.000 --> 00:01:50.000]  我們感受到全球氣溫上升後
[00:01:50.000 --> 00:01:54.000]  帶來的影響
[00:01:54.000 --> 00:01:58.000]  其實全球暖化還會導致甚麼問題
[00:01:58.000 --> 00:02:00.000]  北極的冰融解
[00:02:00.000 --> 00:02:02.000]  南極仍然保持寒冷
[00:02:02.000 --> 00:02:03.000]  受到下雪
[00:02:03.000 --> 00:02:05.000]  另外天氣持續變暖
[00:02:05.000 --> 00:02:07.000]  有些地方很乾熱
[00:02:07.000 --> 00:02:10.000]  氣溫上升導致冰融解
[00:02:10.000 --> 00:02:14.000]  於是有些地方有機會被淹沒
[00:02:14.000 --> 00:02:15.000]  特別地倒過
[00:02:15.000 --> 00:02:20.000]  由於兩極化的問題
[00:02:20.000 --> 00:02:25.000]  你會發覺有更多的天然風暴出現
[00:02:25.000 --> 00:02:27.000]  例如熱的地方變得冷
[00:02:27.000 --> 00:02:29.000]  冷的地方變得熱
[00:02:29.000 --> 00:02:31.000]  甚至很多巨風、颱風
[00:02:31.000 --> 00:02:33.000]  從未出現過的會出現
