
[00:00:00.000 --> 00:00:05.820]  想問問大家,大家知不知道潮漲潮退是怎樣形成的嗎?
[00:00:05.820 --> 00:00:07.820]  有人知道嗎?
[00:00:07.820 --> 00:00:13.200]  看看有沒有一些學者在我們中間
[00:00:13.200 --> 00:00:15.200]  都知道了吧
[00:00:15.200 --> 00:00:19.960]  不是很多,但原來潮漲潮退是很複雜的
[00:00:19.960 --> 00:00:21.960]  是很複雜的一件事
[00:00:21.960 --> 00:00:26.440]  是要講到牛頓的定律
[00:00:26.440 --> 00:00:28.440]  今天不和大家講這麼複雜的事
[00:00:28.440 --> 00:00:32.980]  但都和潮漲潮退有關
[00:00:32.980 --> 00:00:37.780]  潮漲潮退的形成是很有趣的
[00:00:37.780 --> 00:00:44.020]  簡單來說,地球上的海洋
[00:00:44.020 --> 00:00:49.020]  因為太陽,最主要是月亮,月球
[00:00:49.020 --> 00:00:57.560]  當地球很接近它,水被拉起
[00:00:57.560 --> 00:01:01.820]  最遠點的水又被拉起,兩邊被拉起
[00:01:01.820 --> 00:01:03.820]  所以就形成了潮漲
[00:01:03.820 --> 00:01:05.820]  水只有這麼多
[00:01:05.820 --> 00:01:08.820]  上下的水會怎樣呢?
[00:01:08.820 --> 00:01:11.820]  就會拉薄了,就會潮退
[00:01:11.820 --> 00:01:15.820]  原來是這麼簡單,好像很簡單,其實很複雜
[00:01:15.820 --> 00:01:20.320]  你見到地球不斷地轉,是不是?自轉
[00:01:20.320 --> 00:01:27.820]  同一點,會經歷最近月球和最遠的地方
[00:01:27.820 --> 00:01:32.820]  同一天,所以一天會有兩次潮漲,兩次潮退
[00:01:32.820 --> 00:01:34.820]  是因為這樣的原因
[00:01:34.820 --> 00:01:38.820]  大家知不知道,你有沒有去過這個地方
[00:01:38.820 --> 00:01:42.820]  這個地方叫做澎湖
[00:01:42.820 --> 00:01:44.820]  有人去過嗎?
[00:01:44.820 --> 00:01:46.820]  沒有吧?
[00:01:46.820 --> 00:01:48.820]  這個地方在台灣的一個外島
[00:01:48.820 --> 00:01:50.820]  這個地方很特別
[00:01:50.820 --> 00:01:54.820]  這個地方同樣地會經歷兩次潮漲和潮退
[00:01:54.820 --> 00:01:58.820]  但是當每天兩次潮退的時候
[00:01:58.820 --> 00:02:00.820]  有些很有趣的事情會發生
[00:02:00.820 --> 00:02:03.820]  就是潮退大概會維持15分鐘
[00:02:03.820 --> 00:02:08.820]  而潮退的時候,就會有一條路走出來
[00:02:08.820 --> 00:02:10.820]  大家覺得這個像什麼?
[00:02:10.820 --> 00:02:12.820]  像不像聖經裡面的一個故事?
[00:02:12.820 --> 00:02:14.820]  像什麼?
[00:02:14.820 --> 00:02:16.820]  紅海分開,是吧?
[00:02:16.820 --> 00:02:21.820]  其實台灣人都叫台灣的這麼特別的景象
[00:02:21.820 --> 00:02:25.820]  叫做台灣版的摩西分紅海
[00:02:25.820 --> 00:02:27.820]  台灣版的
[00:02:27.820 --> 00:02:29.820]  如果大家將來有旅行
[00:02:29.820 --> 00:02:31.820]  自己去旅行的時候
[00:02:31.820 --> 00:02:34.820]  都可以配合潮退的時間去看看
[00:02:34.820 --> 00:02:37.820]  拍一些照片回來給我們欣賞一下
[00:02:37.820 --> 00:02:39.820]  今天我們預備今天的經文的時候
[00:02:39.820 --> 00:02:44.820]  其實在網上找一些進退的資料
[00:02:44.820 --> 00:02:46.820]  我看到有一段短文
[00:02:46.820 --> 00:02:48.820]  是這麼說的
[00:02:48.820 --> 00:02:52.820]  做人似水,做人如水
[00:02:52.820 --> 00:02:56.820]  能進退,而知進退
[00:02:56.820 --> 00:02:58.820]  明白為什麼嗎?
