
[00:00:00.000 --> 00:00:05.000]  這段經文其實是講保羅離開了雅典
[00:00:05.000 --> 00:00:07.000]  然後去到哥倫多這個地方
[00:00:07.000 --> 00:00:09.600]  就繼續傳福音了
[00:00:09.600 --> 00:00:10.800]  就講到這裏了
[00:00:10.800 --> 00:00:13.500]  其實我今天想和大家看看
[00:00:13.500 --> 00:00:15.300]  喂,保羅這個人
[00:00:15.300 --> 00:00:17.300]  其實他是怎樣的呢?
[00:00:17.300 --> 00:00:21.200]  爲什麼他來到這裏仍然這麼堅持呢?
[00:00:21.200 --> 00:00:23.700]  要繼續爲主去傳福音的呢?
[00:00:23.700 --> 00:00:27.800]  保羅呢,他怎麼信主的?
[00:00:30.200 --> 00:00:32.900]  保羅怎麼信主的?
[00:00:32.900 --> 00:00:37.500]  哇,就是在追捕基督徒的途中
[00:00:37.500 --> 00:00:39.100]  他做什麼呢?
[00:00:39.100 --> 00:00:40.800]  預見神啊
[00:00:40.800 --> 00:00:42.000]  預見神啊
[00:00:42.000 --> 00:00:44.000]  等於我第一樣想問大家
[00:00:44.000 --> 00:00:45.800]  你信耶穌的時候
[00:00:45.800 --> 00:00:48.500]  其實是不是都預見神的?
[00:00:48.500 --> 00:00:52.100]  你記不記得你怎麼信耶穌的?
[00:00:52.100 --> 00:00:53.300]  你記不記得的?
[00:00:53.300 --> 00:00:55.000]  有人和我講福音
[00:00:55.000 --> 00:00:58.600]  所以我就跟着他缺了字,是不是?
[00:00:58.600 --> 00:01:00.000]  還是怎樣的呢?
[00:01:00.000 --> 00:01:04.500]  保羅很神奇地在路上預見耶穌
[00:01:04.500 --> 00:01:06.100]  然後他就信了主了
[00:01:06.100 --> 00:01:07.500]  信了主之後
[00:01:07.500 --> 00:01:09.700]  其實他整個人是來過什麼?
[00:01:09.700 --> 00:01:12.300]  差不多是一個180度的轉變
[00:01:12.300 --> 00:01:14.000]  你是不是這樣的?
[00:01:14.000 --> 00:01:15.900]  其實我們很多人都不是這樣的
[00:01:15.900 --> 00:01:17.900]  其實我們很多人可能都是
[00:01:17.900 --> 00:01:20.800]  信主是一件很自然的事
[00:01:20.800 --> 00:01:26.300]  然後生命就有一個逐漸的改變,是不是?
[00:01:26.300 --> 00:01:28.300]  但是講真那句
[00:01:28.300 --> 00:01:32.500]  無論是保羅或者我們
[00:01:32.500 --> 00:01:36.200]  你覺得我們的東西都轉變了沒有?
[00:01:36.200 --> 00:01:38.100]  我們生命裏面還有一些東西
[00:01:38.100 --> 00:01:41.600]  其實還是扭扭搗搗的
[00:01:41.600 --> 00:01:43.300]  甚至有時候再看清楚一點
[00:01:43.300 --> 00:01:45.800]  可能是脫皮脫骨的,是不是?
[00:01:45.800 --> 00:01:48.600]  就是麻麻煩煩的
[00:01:48.600 --> 00:01:50.000]  你覺得有沒有的?
[00:01:50.000 --> 00:01:51.600]  其實保羅也有的
[00:01:51.600 --> 00:01:52.600]  其實你讀這段經文
[00:01:52.600 --> 00:01:55.300]  你讀到後一點的時候
[00:01:55.300 --> 00:01:57.600]  你就會見到一件事
[00:01:57.600 --> 00:02:00.200]  就是保羅跟那些同胞
[00:02:00.200 --> 00:02:01.600]  跟那些猶太人傳呼音
[00:02:01.600 --> 00:02:04.100]  這個是他慣常的做法,是不是?
[00:02:04.100 --> 00:02:07.300]  他慣常地去猶太會堂裏面
[00:02:07.300 --> 00:02:09.000]  去跟他的同胞傳呼音
[00:02:09.000 --> 00:02:10.400]  傳到一個地步
[00:02:10.400 --> 00:02:12.700]  那些人做什麼?
[00:02:12.700 --> 00:02:14.700]  不僅不接受
[00:02:14.700 --> 00:02:17.700]  還對抗
[00:02:17.700 --> 00:02:18.700]  還詆譭他
[00:02:18.700 --> 00:02:20.500]  詆譭他就是說一些很壞的話
[00:02:20.500 --> 00:02:23.200]  去冤枉他,污衊他
[00:02:23.200 --> 00:02:24.200]  哇,頂尖會
[00:02:24.200 --> 00:02:27.800]  給了你,你生氣不生氣?都可能很生氣的
[00:02:27.800 --> 00:02:29.600]  其實保羅也很生氣
[00:02:29.600 --> 00:02:32.400]  生氣到一個地步是怎樣?
[00:02:32.400 --> 00:02:34.700]  就是他們可能穿着袍
[00:02:34.700 --> 00:02:35.700]  扔一下衣服
