
[00:00:00.000 --> 00:00:01.000]  領子們平安
[00:00:01.000 --> 00:00:02.000]  平安
[00:00:02.000 --> 00:00:05.000]  在我們今天的社會裏面
[00:00:05.000 --> 00:00:07.000]  如果我們打開報紙
[00:00:07.000 --> 00:00:09.000]  或者聽到很多人的分享裏面
[00:00:09.000 --> 00:00:14.000]  都發現我們可能是一個很邪惡的世界
[00:00:14.000 --> 00:00:18.000]  打開報紙看到蔡天鳳在大埔屋那裏
[00:00:18.000 --> 00:00:19.000]  不單止是被殺
[00:00:19.000 --> 00:00:21.000]  還要被主埋
[00:00:21.000 --> 00:00:23.000]  所以那個兇殘的手段
[00:00:23.000 --> 00:00:27.000]  令人很震驚
[00:00:27.000 --> 00:00:30.000]  另外看看一些跟宗教有關
[00:00:30.000 --> 00:00:32.000]  這個攝理教教主
[00:00:32.000 --> 00:00:35.000]  又用了很多很邪惡的手段
[00:00:35.000 --> 00:00:40.000]  來多次去性侵一些年輕的女性
[00:00:40.000 --> 00:00:42.000]  甚至我們看看世界的新聞裏面
[00:00:42.000 --> 00:00:44.000]  又見到有些國家
[00:00:44.000 --> 00:00:46.000]  用了自己一些私慾
[00:00:46.000 --> 00:00:48.000]  或者人的權力的慾望
[00:00:48.000 --> 00:00:51.000]  來發動戰爭
[00:00:51.000 --> 00:00:56.000]  我發現我們都活在一個充滿邪惡文化的世界裏面
[00:00:56.000 --> 00:00:59.000]  當然當我們一聽到邪惡的時候
[00:00:59.000 --> 00:01:02.000]  很多人可能都會很反感
[00:01:02.000 --> 00:01:06.000]  但是如果我們很真實的面對邪惡的衝擊的時候
[00:01:06.000 --> 00:01:08.000]  我想一般的反應
[00:01:08.000 --> 00:01:12.000]  可能是有無奈和很多的害怕
[00:01:12.000 --> 00:01:15.000]  甚至不知道怎樣去面對
[00:01:15.000 --> 00:01:18.000]  都根本沒有能力去面對
[00:01:18.000 --> 00:01:20.000]  今天我們看的經文
[00:01:20.000 --> 00:01:22.000]  當然這段經文有兩段的敘事
[00:01:22.000 --> 00:01:25.000]  一段是耶穌基督去面對風浪
[00:01:25.000 --> 00:01:28.000]  一段是耶穌基督去面對邪惡
[00:01:28.000 --> 00:01:30.000]  經文的篇幅比較長
[00:01:30.000 --> 00:01:32.000]  所以我們比較集中
[00:01:32.000 --> 00:01:36.000]  在耶穌基督面對性過邪惡的敘事當中
[00:01:36.000 --> 00:01:39.000]  《某福音》的五章一節
[00:01:39.000 --> 00:01:41.000]  一開始經文的開始
[00:01:41.000 --> 00:01:46.000]  就介紹了耶穌進入了一個異文化的世界
[00:01:46.000 --> 00:01:51.000]  一個猶太人的文化裏面完全不一樣的地方
[00:01:51.000 --> 00:01:55.000]  也是一個門徒不想來的地方
[00:01:55.000 --> 00:01:57.000]  格拉森
[00:01:57.000 --> 00:01:59.000]  格拉森是一個什麼地方呢?
[00:01:59.000 --> 00:02:03.000]  聖經說這是一個外邦人的地方
[00:02:03.000 --> 00:02:09.000]  這裏有很多猶太人不太習慣的一個城市
[00:02:09.000 --> 00:02:12.000]  這個地方拜很多外面的神
[00:02:12.000 --> 00:02:15.000]  他們用很多邪惡的習俗
[00:02:15.000 --> 00:02:20.000]  甚至他們會用他們覺得不潔淨的豬
[00:02:20.000 --> 00:02:23.000]  來去憲制
[00:02:23.000 --> 00:02:24.000]  長話短說
[00:02:24.000 --> 00:02:27.000]  這個地方對門徒來講是一個很邪惡的地方
[00:02:27.000 --> 00:02:31.000]  是一個他們不喜歡來的地方
[00:02:31.000 --> 00:02:37.000]  但是耶穌卻沒有忽略這個地方
