
[00:00:00.000 --> 00:00:04.920]  中國人說「縱惡因得惡果,縱善因得善果」
[00:00:04.920 --> 00:00:07.800]  不知道大家是否相信這句說話呢?
[00:00:07.800 --> 00:00:16.480]  如果你相信的時候,在現實上不知道大家有沒有經驗過呢?
[00:00:16.480 --> 00:00:19.320]  就是「縱惡因得善果」
[00:00:19.320 --> 00:00:22.040]  剛剛相反,「縱善因得惡果」
[00:00:22.040 --> 00:00:23.040]  大家有沒有試過?
[00:00:23.040 --> 00:00:29.720]  如果大家是相信善惡到頭,終有報這句說話的時候
[00:00:29.720 --> 00:00:32.840]  大概其實我們是在相信這個世界有一種力量
[00:00:32.840 --> 00:00:36.920]  或者有一種神是在主持公道的
[00:00:36.920 --> 00:00:39.400]  按照人的行為來上善罰惡的
[00:00:39.400 --> 00:00:46.640]  作為基督徒,我們當然相信上善罰惡的力量
[00:00:46.640 --> 00:00:51.320]  或者是神,就是我們所相信的三一,獨一真神
[00:00:51.320 --> 00:00:54.640]  它擁有最終極的權柄
[00:00:54.640 --> 00:01:00.840]  按照人所地上的行為來上善罰惡
[00:01:00.840 --> 00:01:06.280]  今天我們嘗試從播種與收割這個角度
[00:01:06.280 --> 00:01:11.440]  從我們剛才所讀的經文有三個人物
[00:01:11.440 --> 00:01:16.240]  我們從播種和收割的角度一起看一看
[00:01:16.240 --> 00:01:19.600]  這三個人物,我們可以在當中學到什麼功課
[00:01:19.600 --> 00:01:22.920]  首先讓我們看看表面上最倒楣
[00:01:22.920 --> 00:01:26.120]  最倒楣的那個哈曼
[00:01:26.120 --> 00:01:31.880]  好像每樣東西都衝著他而來
[00:01:31.880 --> 00:01:36.360]  如果大家記得我們之前幾個星期的訊息的時候
[00:01:36.360 --> 00:01:41.400]  我們大概都記得哈曼是當時波斯國裏面
[00:01:41.400 --> 00:01:44.200]  一人之下,萬人之上的大紅人
[00:01:44.200 --> 00:01:45.720]  他擁有很大的權柄
[00:01:45.720 --> 00:01:49.440]  而當時的波斯王也都很信任他
[00:01:49.440 --> 00:01:53.960]  基本上他講什麼,皇帝都會跟著做
[00:01:53.960 --> 00:01:56.920]  也由於皇帝對他的信任
[00:01:56.920 --> 00:02:02.320]  哈曼就計劃了一個清洗
[00:02:02.320 --> 00:02:05.360]  殺光當時猶大人的一個計劃
[00:02:05.360 --> 00:02:07.360]  皇帝也沒有怎麼去詢問
[00:02:07.360 --> 00:02:09.560]  就由得他
[00:02:09.560 --> 00:02:16.000]  哈曼就訂了一個殺戮的計劃
[00:02:16.000 --> 00:02:21.280]  清除他當時眼中釘的末底改
[00:02:21.280 --> 00:02:24.320]  雖然皇帝給了一個戒指
[00:02:24.320 --> 00:02:29.320]  讓他得到這個無上的權力來執行殺戮的行為
[00:02:29.320 --> 00:02:31.240]  但是他應該很開心
