
[00:00:00.000 --> 00:00:02.540]  菩薩姐妹讓我們聽神的道義
[00:00:02.540 --> 00:00:04.100]  先讓我們心同心的禱告
[00:00:04.100 --> 00:00:06.600]  聽得怎樣?我們聽到天先同心禱告
[00:00:06.600 --> 00:00:10.800]  親愛的天父,多謝你
[00:00:10.800 --> 00:00:12.900]  讓我們能夠再次回來
[00:00:12.900 --> 00:00:15.200]  在神理說話上的學習
[00:00:15.200 --> 00:00:17.100]  求因主理的幫助
[00:00:17.100 --> 00:00:19.900]  讓我們能夠在主理的裏面
[00:00:19.900 --> 00:00:23.600]  我們能夠有更精準的學習
[00:00:23.600 --> 00:00:26.400]  好想我們能夠拿捏準確神理的道理
[00:00:26.400 --> 00:00:30.800]  讓我們能夠今天能夠在主理裏面
[00:00:30.800 --> 00:00:33.700]  能夠再次打開你的說話來研讀
[00:00:33.700 --> 00:00:35.200]  求你的幫助
[00:00:35.200 --> 00:00:37.800]  我們大家封主耶穌的名臣
[00:00:37.800 --> 00:00:39.200]  Amen
[00:00:39.200 --> 00:00:40.500]  在這個聖代表教會
[00:00:40.500 --> 00:00:43.200]  我向大家去拜個早年
[00:00:43.200 --> 00:00:44.700]  我代表教會
[00:00:44.700 --> 00:00:46.800]  我個人向大家先拜個早年
[00:00:46.800 --> 00:00:50.800]  希望大家能夠更加成長
[00:00:50.800 --> 00:00:52.500]  祝大家在新的一年
[00:00:52.500 --> 00:00:53.600]  能夠成長
[00:00:53.600 --> 00:00:56.000]  變得更加紮實
[00:00:56.000 --> 00:00:58.600]  讓主的愛能夠常存在你的家裏
[00:00:58.600 --> 00:01:02.200]  讓主的愛常存在你的家裏
[00:01:02.200 --> 00:01:04.500]  新的一年開始
[00:01:04.500 --> 00:01:07.400]  也就代表我們又老一年
[00:01:07.400 --> 00:01:08.200]  又大一年
[00:01:08.200 --> 00:01:09.800]  代表我們又長大一年
[00:01:09.800 --> 00:01:10.600]  又老了一年
[00:01:10.600 --> 00:01:12.800]  雖然我們個個都很年輕
[00:01:12.800 --> 00:01:14.600]  希望我們個個都很年輕
[00:01:14.600 --> 00:01:16.700]  最近我和湯泉道聊天
[00:01:16.700 --> 00:01:18.300]  最近和湯泉道聊起來
[00:01:18.300 --> 00:01:20.600]  最重要是什麼?做基督徒
[00:01:20.600 --> 00:01:22.500]  做基督徒最重要是什麼?
[00:01:22.500 --> 00:01:24.700]  不是年紀大一歲
[00:01:24.700 --> 00:01:26.500]  不是說年齡長一歲
[00:01:26.500 --> 00:01:30.600]  最重要是我們屬靈的智慧又成熟多一年
[00:01:30.600 --> 00:01:33.600]  所以我們屬靈的智慧又能夠成熟一年
[00:01:33.600 --> 00:01:36.500]  所以對看事物的角度也很不同
[00:01:36.500 --> 00:01:40.400]  看事物的角度也很不同
[00:01:40.400 --> 00:01:41.200]  過去的日子
[00:01:41.200 --> 00:01:43.200]  我發覺隨著年紀的改變
[00:01:43.200 --> 00:01:44.600]  開始參加的活動
[00:01:44.600 --> 00:01:46.800]  都開始有本質上的改變
[00:01:46.800 --> 00:01:48.700]  就是說隨著年齡的增長以後
[00:01:48.700 --> 00:01:51.300]  反而參加的活動都有本質上的改變
[00:01:51.300 --> 00:01:52.200]  經常中國人都說
[00:01:52.200 --> 00:01:54.100]  人一生只有四樣東西
[00:01:54.100 --> 00:01:56.500]  有時候說中國人一生只有四樣東西
[00:01:56.500 --> 00:01:58.000]  生老病死
[00:01:58.000 --> 00:01:59.400]  生老病死
[00:01:59.400 --> 00:02:01.000]  生我們個個都有
[00:02:01.000 --> 00:02:02.200]  生我們個個都有
[00:02:02.200 --> 00:02:03.600]  老的話個個走不掉的
[00:02:03.600 --> 00:02:05.700]  老的話個個走不脫的
[00:02:05.700 --> 00:02:06.800]  病我又病過了
[00:02:06.800 --> 00:02:08.500]  病我又病過了
[00:02:08.500 --> 00:02:10.800]  現在剩下最後那樣東西
[00:02:10.800 --> 00:02:12.400]  就是剩下最後一件事
[00:02:12.400 --> 00:02:14.500]  但是這件事是不是值得我們恐懼呢?
[00:02:14.500 --> 00:02:16.200]  所以這件事是我們恐懼的
[00:02:16.200 --> 00:02:18.500]  不信主的人就會很怕死的
[00:02:18.500 --> 00:02:20.300]  不信主的人就很害怕去死
[00:02:20.300 --> 00:02:21.800]  一死了他不知道要做什麼
[00:02:21.800 --> 00:02:23.100]  死了不知道要做什麼
[00:02:23.100 --> 00:02:25.800]  死其實等同於損失一切所有東西的
[00:02:25.800 --> 00:02:27.400]  對於不信主的人來講
[00:02:27.400 --> 00:02:29.800]  相當於損失了一切所有的
[00:02:29.800 --> 00:02:32.000]  但是對於我們基督徒來看
[00:02:32.000 --> 00:02:33.200]  在我們基督徒來看
[00:02:33.200 --> 00:02:37.500]  死反而是提升我們另一個層次的生命的意義
[00:02:37.500 --> 00:02:41.500]  是 能夠提升我們另外一個層次的意義
[00:02:41.500 --> 00:02:42.900]  最近我發覺
[00:02:42.900 --> 00:02:45.800]  現在輪到我們開始看見
[00:02:45.800 --> 00:02:47.800]  我們父母輩開始過世了
[00:02:47.800 --> 00:02:50.000]  只有當我們父母這一輩
[00:02:50.000 --> 00:02:51.700]  你可以再能過去
[00:02:51.700 --> 00:02:53.300]  我剛剛有個很好的同學
[00:02:53.300 --> 00:02:56.000]  他爸爸因為香港太冷就過世了
[00:02:56.000 --> 00:02:58.100]  其實我也是很好的同學
[00:02:58.100 --> 00:03:01.000]  就是因為最近香港炭的不僅僅過了
[00:03:01.000 --> 00:03:03.600]  所以我都提醒大家在加拿大要戴帽子
[00:03:03.600 --> 00:03:05.400]  所以我在這裡提醒大家
[00:03:05.400 --> 00:03:07.300]  在加拿大大家出門一定要戴帽子
[00:03:07.300 --> 00:03:10.800]  你不要想著冷一冷我能撐得住的
[00:03:10.800 --> 00:03:13.900]  就是說我冷一下我能夠撐得住
[00:03:13.900 --> 00:03:17.300]  不是的 原來加拿大死的人最多的
[00:03:17.300 --> 00:03:19.400]  除了癌症之外就是中風
[00:03:19.400 --> 00:03:22.400]  就是在加拿大人死的最多除了癌症之外
[00:03:22.400 --> 00:03:23.300]  其實就是中風
[00:03:23.300 --> 00:03:25.100]  大部份中風是怎樣的原因呢?
[00:03:25.100 --> 00:03:26.300]  大部份中風的原因是什麼?
[00:03:26.300 --> 00:03:28.000]  就是因為天氣一凍
[00:03:28.000 --> 00:03:29.200]  就是天氣毒氣一凍
[00:03:29.200 --> 00:03:30.700]  血管一收縮
[00:03:30.700 --> 00:03:31.400]  血管一收縮
[00:03:31.400 --> 00:03:33.200]  血就凝固
[00:03:33.200 --> 00:03:34.300]  血凝固
[00:03:34.300 --> 00:03:36.100]  就濕 就中風了
[00:03:36.100 --> 00:03:38.100]  就抖身而中風
[00:03:38.100 --> 00:03:40.100]  所以呢 戴帽子是很重要的
[00:03:40.100 --> 00:03:41.300]  所以戴帽子是非常重要的
[00:03:41.300 --> 00:03:42.100]  所以讓我們看見
[00:03:42.100 --> 00:03:44.800]  原來我們怎樣處理我們的生命都很不同了
[00:03:44.800 --> 00:03:47.900]  所以我們生命也會有很大的不同
[00:03:47.900 --> 00:03:49.600]  但是另一個層次來看
[00:03:49.600 --> 00:03:51.600]  關於死亡帶來的意思呢?
[00:03:51.600 --> 00:03:53.600]  但是死亡帶來的意思呢?
[00:03:53.600 --> 00:03:56.800]  就是我們短短這幾十年的光陰裏面
[00:03:56.800 --> 00:03:58.600]  在我們短短幾十年的光陰裏面
[00:03:58.600 --> 00:04:01.600]  無論你活得多精彩也好
[00:04:01.600 --> 00:04:02.900]  無論活得精彩也好
[00:04:02.900 --> 00:04:04.500]  怎樣名成利就也好
[00:04:04.500 --> 00:04:05.500]  功成名就也好
[00:04:05.500 --> 00:04:07.400]  或者你怎樣老倒也好
[00:04:07.400 --> 00:04:10.800]  我說你怎麼老倒也好
[00:04:10.800 --> 00:04:12.000]  意義在哪裏呢?
[00:04:12.000 --> 00:04:13.100]  這個反而是最重要的
[00:04:13.100 --> 00:04:14.900]  它的意義在什麼地方?
[00:04:14.900 --> 00:04:17.400]  《政經》就給了一個很明確的答案給我們
[00:04:17.400 --> 00:04:19.400]  《政經》就給了我們一個很明確的答案
