
[00:00:00.000 --> 00:00:03.400]  好,弟兄姐妹平安,我們再一次低頭祈禱
[00:00:03.400 --> 00:00:10.900]  天父,願祢帶領我們,我們一齊去聆聽祢話語的時間,交到祢的手中
[00:00:10.900 --> 00:00:15.000]  願祢開通我們的耳朵,開放我們的心靈
[00:00:15.000 --> 00:00:18.600]  主要讓我們聽到祢要對我們講的說話
[00:00:18.600 --> 00:00:23.200]  讓我們親自去與祢相遇的時候
[00:00:23.400 --> 00:00:31.600]  讓我們在祢面前存著敬畏,存著敬虔的心,也都是聽到祢的話語的時候
[00:00:31.600 --> 00:00:36.600]  我們整個人都是降服在祢面前,完你的說話
[00:00:36.600 --> 00:00:41.900]  再一次的來帶領我們,感動我們,奉耶穌基督的名祈求,阿們
[00:00:41.900 --> 00:00:47.900]  好了,今天就是標竿人生的第三講
[00:00:48.000 --> 00:00:53.800]  也是講到第二個的主題,就是第二個的目標
[00:00:53.800 --> 00:00:56.900]  上一次講的目標就是,第一個目標就是
[00:00:56.900 --> 00:01:05.300]  人是為了去敬拜神,去享受神而存活的
[00:01:05.300 --> 00:01:09.900]  當你的人生可以去享受神的時候
[00:01:09.900 --> 00:01:12.800]  其實你的人生就會滿足很多
[00:01:12.900 --> 00:01:18.400]  也都會感覺到是踏實很多,因為你不是隨著
[00:01:18.400 --> 00:01:27.500]  好像這個世界的風浪,高高低低的去任這個世界的洪流,去將你衝蕩
[00:01:27.500 --> 00:01:31.300]  所以第一個目標是非常重要的
[00:01:31.300 --> 00:01:35.500]  就是叫我們,好像人生有一個靈魂的牢
[00:01:35.500 --> 00:01:40.000]  用希伯來書的說話,好像是勾在神那裡一樣
[00:01:40.100 --> 00:01:43.000]  接著今天是講第二個的目標
[00:01:43.000 --> 00:01:50.600]  第二個目標就是講到團契,就是我們講到團契
[00:01:50.600 --> 00:01:55.100]  我不知道你未做基督徒之前
[00:01:55.100 --> 00:01:58.300]  可能有些人就很久以前的事了
[00:01:58.300 --> 00:02:01.900]  但是你想像一下,或者你回憶一下
[00:02:01.900 --> 00:02:07.400]  你未做基督徒之前有沒有聽過「團契」這個字的呢?
[00:02:07.500 --> 00:02:11.100]  有沒有人未做基督徒之前聽過的?
[00:02:11.100 --> 00:02:14.700]  沒有啊!真的沒有啊!
[00:02:14.700 --> 00:02:19.000]  我第一次很記得聽「團契」這個字的時候
[00:02:19.000 --> 00:02:21.300]  就是我那時候讀中學的時候
[00:02:21.300 --> 00:02:23.800]  我是之前沒有聽過任何基督教的
[00:02:23.800 --> 00:02:26.500]  我去一間基督教學校讀書
