
[00:00:00.000 --> 00:00:01.000]  電影節目早晨
[00:00:01.000 --> 00:00:04.080]  神的話語我們讀到
[00:00:04.080 --> 00:00:06.240]  十句話語讀到第五句
[00:00:06.240 --> 00:00:09.960]  上主說當孝敬父母
[00:00:09.960 --> 00:00:14.280]  這是對所有作為兒女說的
[00:00:14.280 --> 00:00:17.080]  不管你的父母是否健在
[00:00:17.080 --> 00:00:19.280]  甚至有可能
[00:00:19.280 --> 00:00:21.800]  有些人的父母一直都是失聯
[00:00:21.800 --> 00:00:22.760]  不知所向
[00:00:22.760 --> 00:00:27.040]  我們仍然可以留心去聽上主自己的說話
[00:00:28.640 --> 00:00:31.360]  我們再一次將這段聽到的時間交託給主
[00:00:31.360 --> 00:00:33.160]  天父上帝
[00:00:33.160 --> 00:00:36.760]  你是至聖至榮至美
[00:00:36.760 --> 00:00:40.480]  當我們思想到由創天造地開始
[00:00:40.480 --> 00:00:42.160]  你一直去眷顧
[00:00:42.160 --> 00:00:44.640]  你所做的世界
[00:00:44.640 --> 00:00:46.440]  你所做的每一個
[00:00:46.440 --> 00:00:50.160]  在今天我們仍然是經歷著你的看顧
[00:00:50.160 --> 00:00:52.360]  今天我們要讀你的話語
[00:00:52.360 --> 00:00:56.560]  願你的靈在我們心中指明我們要明白的真理
[00:00:57.080 --> 00:00:58.840]  多謝你我們的祈禱
[00:00:58.840 --> 00:01:01.040]  是奉主耶穌基督得聖名之祈求
[00:01:01.040 --> 00:01:02.120]  下末
[00:01:02.120 --> 00:01:07.840]  《真言》是多次說到要教養孩子
[00:01:07.840 --> 00:01:11.360]  好像這句《真言》你聽過很多次了
[00:01:11.360 --> 00:01:13.760]  教養孩童使他走當行的道
[00:01:13.760 --> 00:01:16.440]  就是道路他也不偏離
[00:01:16.440 --> 00:01:18.960]  這一節的經文是不少的學校
[00:01:18.960 --> 00:01:21.040]  家庭服務機構的金句
[00:01:21.040 --> 00:01:23.600]  甚至是辦學辦機構的宗旨
[00:01:23.600 --> 00:01:26.880]  另外今天剛才莊牧師幫我們讀的
