
[00:00:00.000 --> 00:00:06.000]  我們繼續思想《伯尼比書》第三章的訊息
[00:00:06.000 --> 00:00:09.140]  《伯尼比書》第三章的特點在哪裡呢?
[00:00:09.140 --> 00:00:15.700]  就是講到仕途保羅他自己的見證
[00:00:15.700 --> 00:00:17.340]  他蒙恩德教見證
[00:00:17.340 --> 00:00:19.740]  蒙恩德教有什麼生命的改變呢?
[00:00:19.740 --> 00:00:21.740]  他有什麼追求呢?
[00:00:21.740 --> 00:00:24.640]  這張聖經很清楚
[00:00:24.640 --> 00:00:26.540]  保羅讓我們知道
[00:00:26.540 --> 00:00:28.940]  成為我們生活上的榜樣
[00:00:28.940 --> 00:00:34.260]  請我們一同讀《菲律賓書》三章
[00:00:34.260 --> 00:00:36.060]  讀一至十一節
[00:00:36.060 --> 00:00:40.660]  我們同聲重讀這段經文
[00:00:40.660 --> 00:00:43.660]  弟兄們 我還有話說
[00:00:43.660 --> 00:00:45.900]  你們要靠主喜樂
[00:00:45.900 --> 00:00:48.660]  我把這話再寫給你們
[00:00:48.660 --> 00:00:50.540]  於我並不為難
[00:00:50.540 --> 00:00:52.960]  於你們卻是妥當
[00:00:52.960 --> 00:00:55.060]  應當防備犬類
[00:00:55.060 --> 00:00:56.860]  防備作惡的
[00:00:56.860 --> 00:00:59.400]  防備妄自行惡的
[00:00:59.400 --> 00:01:01.500]  因為真受割賴的
[00:01:01.500 --> 00:01:04.900]  乃是我們這以神的靈敬拜
[00:01:04.900 --> 00:01:07.300]  在基督耶穌裡誇口
[00:01:07.300 --> 00:01:09.400]  不靠著肉體的
[00:01:09.400 --> 00:01:12.140]  其實我也可以靠肉體
[00:01:12.140 --> 00:01:15.400]  若是別人想他可以靠肉體
[00:01:15.400 --> 00:01:20.200]  我更可以靠著了
[00:01:20.200 --> 00:01:22.000]  我是以色列族
[00:01:22.000 --> 00:01:24.200]  綿瓦敏支派的人
[00:01:24.200 --> 00:01:27.400]  是希伯來人所生的希伯來人
[00:01:27.400 --> 00:01:28.700]  就律法說
[00:01:28.700 --> 00:01:30.600]  我是法利塞人
[00:01:30.600 --> 00:01:32.000]  就熱心說
[00:01:32.000 --> 00:01:34.100]  我是碧伯教會的
[00:01:34.100 --> 00:01:36.100]  就律法上的易說
[00:01:36.100 --> 00:01:38.300]  我是無可指責的
[00:01:38.300 --> 00:01:41.700]  只是我先前以為與我有益的
[00:01:41.700 --> 00:01:45.400]  我現在因基督都當作有損的
[00:01:45.400 --> 00:01:46.700]  不但如此
[00:01:46.700 --> 00:01:49.800]  我也將萬事當作有損的
[00:01:49.800 --> 00:01:54.100]  因我以認識我主基督耶穌為至寶
[00:01:54.100 --> 00:01:56.900]  我為他已經凋棄萬事
[00:01:56.900 --> 00:01:58.500]  看作糞土
[00:01:58.500 --> 00:02:00.400]  為要得著基督
[00:02:00.400 --> 00:02:02.800]  並且得以在他裡面
[00:02:02.800 --> 00:02:06.200]  不是有自己因律法而得的義
[00:02:06.200 --> 00:02:08.600]  乃是有信基督的義
[00:02:08.600 --> 00:02:11.600]  就是因信神而來的義
[00:02:11.600 --> 00:02:13.300]  只我認識基督
[00:02:13.300 --> 00:02:15.500]  曉得他復活的大難
[00:02:15.500 --> 00:02:18.700]  並且曉得和他一同受苦
[00:02:18.700 --> 00:02:20.400]  效法他的死
[00:02:20.400 --> 00:02:24.100]  或者我也得以從死裡復活
[00:02:24.100 --> 00:02:26.700]  好
[00:02:26.700 --> 00:02:30.700]  我們上次和大家思想到一至三節
[00:02:30.700 --> 00:02:36.800]  是說到我們信徒在生活上應該知道的事情
[00:02:36.800 --> 00:02:38.200]  因為這三樣東西
[00:02:38.200 --> 00:02:39.800]  保羅在這裡提的
[00:02:39.800 --> 00:02:41.200]  是我們
[00:02:41.200 --> 00:02:42.700]  好像保羅一樣
[00:02:42.700 --> 00:02:46.000]  我們都應該去追求得著的
[00:02:46.000 --> 00:02:47.700]  而且在這三樣東西裡面
[00:02:47.700 --> 00:02:49.900]  積極努力地去追求
[00:02:49.900 --> 00:02:55.300]  所以我們叫基督徒在生活上須知
[00:02:55.300 --> 00:02:58.200]  我們需要知道的
[00:02:58.200 --> 00:03:03.300]  保羅是第一至三節說到這三樣東西
[00:03:03.300 --> 00:03:10.000]  第一就是我們要過一個滿有喜樂的生活
[00:03:10.000 --> 00:03:12.400]  基督徒應該存著喜樂
[00:03:12.400 --> 00:03:14.200]  這個喜樂是從哪裡來呢?
[00:03:14.200 --> 00:03:17.700]  我們時時說是一個積極樂觀的人生
[00:03:17.700 --> 00:03:21.400]  那裡所產生的喜樂
[00:03:21.400 --> 00:03:23.300]  基督徒的人生
[00:03:23.300 --> 00:03:25.800]  應該是一個喜樂的人生
[00:03:25.800 --> 00:03:27.100]  無論環境是怎樣
[00:03:27.100 --> 00:03:30.500]  我們都能夠從神那裡
[00:03:30.500 --> 00:03:33.300]  靠主的恩典得著這個喜樂
[00:03:33.300 --> 00:03:37.300]  第二樣東西就是我們要熱愛真理
[00:03:37.300 --> 00:03:39.300]  逃避異端
[00:03:39.300 --> 00:03:40.900]  耶穌預言告訴我們
[00:03:40.900 --> 00:03:42.400]  在這個末世的時代
[00:03:42.400 --> 00:03:43.800]  祂要回來之前
[00:03:43.800 --> 00:03:48.800]  很多假基督、假先知要出現
[00:03:48.800 --> 00:03:51.700]  今天我們看到都有很多
[00:03:51.700 --> 00:03:56.100]  所以我們要防備一些錯誤的信仰
