
[00:00:00.000 --> 00:00:02.000]  你吃飯了嗎?
[00:00:02.000 --> 00:00:05.000]  早餐吃了
[00:00:05.000 --> 00:00:18.000]  在我們生活中,吃飯後最多是問候和打招呼
[00:00:18.000 --> 00:00:21.000]  今早我吃了兩個早餐
[00:00:21.000 --> 00:00:24.000]  其實很多時候我都是這樣的
[00:00:24.000 --> 00:00:28.000]  我通常是六點半前起床
[00:00:28.000 --> 00:00:31.000]  我自己是煲茶
[00:00:31.000 --> 00:00:37.000]  煲茶,我現在想想我煲茶的程序有些問題
[00:00:37.000 --> 00:00:44.000]  每餐都很急,留在水管內十多個小時的水來煲茶
[00:00:44.000 --> 00:00:46.000]  我發覺我現在有些問題
[00:00:46.000 --> 00:00:49.000]  怪不得我覺得自己最近有點笨
[00:00:49.000 --> 00:00:51.000]  原來是拉長一生來說
[00:00:51.000 --> 00:00:55.000]  我喝了很多這些可能有緣的水
[00:00:56.000 --> 00:01:02.000]  煲茶,喝一頁的茶
[00:01:02.000 --> 00:01:07.000]  今早的早餐都是師母為我預備的
[00:01:07.000 --> 00:01:09.000]  一塊麥的方包
[00:01:09.000 --> 00:01:13.000]  茶是藍莓醬
[00:01:13.000 --> 00:01:16.000]  我一是藍莓,一是橙皮醬
[00:01:16.000 --> 00:01:20.000]  我很開心
[00:01:20.000 --> 00:01:23.000]  這是第一餐,吃完回來
[00:01:23.000 --> 00:01:26.000]  師母稍為硬醒了
[00:01:26.000 --> 00:01:28.000]  坐的士
[00:01:28.000 --> 00:01:32.000]  今天不是去屈地街那間什麼院
[00:01:32.000 --> 00:01:35.000]  今天去了快餐店
[00:01:35.000 --> 00:01:38.000]  大字頭的快餐店
[00:01:38.000 --> 00:01:40.000]  她叫了一個早餐
[00:01:40.000 --> 00:01:43.000]  通常我和她一起吃早餐
[00:01:43.000 --> 00:01:46.000]  基本上是看著她吃
[00:01:46.000 --> 00:01:49.000]  其實我看著她吃我都飽了
[00:01:51.000 --> 00:01:55.000]  但今早我看見她是雙蛋
[00:01:55.000 --> 00:01:58.000]  不要啦,一早吃雙蛋太陽蛋
