
[00:00:00.000 --> 00:00:01.160]  (主席) 提問節目組成
[00:00:01.160 --> 00:00:02.660]  (主席) 提問節目早安
[00:00:02.660 --> 00:00:05.060]  (主席) 今年我定的主題是
[00:00:05.060 --> 00:00:08.000]  (主席) 疾風徑草 劃時代的工人
[00:00:08.000 --> 00:00:11.300]  (主席) 今年我定的主題是疾風徑草 劃時代的工人
[00:00:11.300 --> 00:00:13.400]  (主席) 我定的時候沒有想過會打風的
[00:00:13.400 --> 00:00:15.300]  (主席) 我定的時候沒有想到會有颱風
[00:00:15.300 --> 00:00:16.800]  (主席) 正如羅姆斯所講
[00:00:16.800 --> 00:00:18.500]  (主席) 一切在於神的掌權當中
[00:00:18.500 --> 00:00:21.700]  (主席) 正如羅姆斯所講的 一切在神的掌權當中
[00:00:21.700 --> 00:00:23.900]  (主席) 無論打不打風 神是掌權
[00:00:23.900 --> 00:00:26.400]  (主席) 無論打不打風 神是掌權
[00:00:26.400 --> 00:00:29.800]  (主席) 想到天氣 想到年頭的時候
[00:00:29.800 --> 00:00:31.700]  (主席) 華南地區出奇的冷
[00:00:31.700 --> 00:00:34.100]  (主席) 想到天氣 在年初的時候
[00:00:34.100 --> 00:00:35.800]  (主席) 華南地區非常的冷
[00:00:35.800 --> 00:00:36.900]  (主席) 大家記不記得
[00:00:36.900 --> 00:00:40.800]  (主席) 當時是上海二十年來最冷的一天
[00:00:40.800 --> 00:00:42.300]  (主席) 是零下六度
[00:00:42.300 --> 00:00:45.800]  (主席) 當時是上海二十年來最冷的一天
[00:00:45.800 --> 00:00:47.600]  (主席) 零下六度
[00:00:47.600 --> 00:00:49.900]  (主席) 當日我在上海
[00:00:49.900 --> 00:00:51.600]  (主席) 坐在家裡比坐在外面還冷
[00:00:51.600 --> 00:00:54.800]  (主席) 坐在家裡比坐在外面還冷
[00:00:54.800 --> 00:00:56.600]  (主席) 溫州下雪
[00:00:56.600 --> 00:00:58.400]  (主席) 很少的
[00:00:58.400 --> 00:01:00.700]  (主席) 當時大家知道香港出現奇景
[00:01:00.700 --> 00:01:02.400]  (主席) 大家知道大帽山結霜
[00:01:02.400 --> 00:01:04.400]  (主席) 很多人上山
[00:01:04.400 --> 00:01:06.300]  (主席) 當時大帽山也有奇景
[00:01:06.300 --> 00:01:07.800]  (主席) 很多人上山去看雪
[00:01:07.800 --> 00:01:09.900]  (主席) 不是冒冥而來 是冒雪而來
[00:01:09.900 --> 00:01:11.700]  (主席) 不是冒冥而來 是冒雪而來
[00:01:11.700 --> 00:01:14.200]  (主席) 大家記得當時很多人被困在山上
[00:01:14.200 --> 00:01:16.600]  (主席) 要消防隊去營救
[00:01:16.600 --> 00:01:18.500]  (主席) 當時很多人被困在山上
[00:01:18.500 --> 00:01:22.200]  (主席) 要消防隊去營救
[00:01:22.200 --> 00:01:23.400]  (主席) 很多人都喜歡上山
[00:01:23.400 --> 00:01:24.700]  (主席) 你喜不喜歡爬山
[00:01:24.700 --> 00:01:29.200]  (主席) 山有一種很特別 興奮的感覺
[00:01:29.200 --> 00:01:31.100]  (主席) 因為山讓我們看到
[00:01:31.100 --> 00:01:33.300]  (主席) 望得更遠 更廣闊
[00:01:33.300 --> 00:01:35.700]  (主席) 山可以讓我們看得更遠 更廣闊
[00:01:35.700 --> 00:01:38.600]  (主席) 讓我們心靈舒暢
[00:01:38.600 --> 00:01:40.600]  (主席) 今天大家留意我們讀了兩段經文
[00:01:40.600 --> 00:01:42.700]  (主席) 今天我們留意我們讀了兩段經文
[00:01:42.700 --> 00:01:45.200]  (主席) 都是關於摩西的
[00:01:45.200 --> 00:01:48.100]  (主席) 24章是摩西在山上的經歷
[00:01:48.100 --> 00:01:50.700]  (主席) 24章是摩西在山上的經歷
[00:01:50.700 --> 00:01:54.200]  (主席) 32、33章是摩西在山下的經歷
[00:01:54.200 --> 00:01:57.100]  (主席) 32、33章是摩西在山下的經歷
[00:01:57.100 --> 00:02:01.900]  (主席) 結構很特別 因為24章、32章中間有7章
[00:02:01.900 --> 00:02:05.700]  (主席) 這結構很特別 因為24章到32章中間有7章
[00:02:05.700 --> 00:02:07.500]  (主席) 是講述回眸的細則
[00:02:07.500 --> 00:02:09.300]  (主席) 是講述會目的細節
[00:02:09.300 --> 00:02:13.600]  (主席) 包括燈台 包括祭司的衣服 包括膏油等等
[00:02:13.600 --> 00:02:17.200]  (主席) 包括燈台 祭司的衣服 膏油等等
[00:02:17.200 --> 00:02:20.200]  (主席) 這7章是講述回眸是神的同在的意思
[00:02:20.200 --> 00:02:22.900]  (主席) 這7章是講述會目是神同在的意思
[00:02:22.900 --> 00:02:24.900]  (主席) 是敬拜神的地方
[00:02:24.900 --> 00:02:27.800]  (主席) 所以你留意第24章到33章的結構裏面
[00:02:27.800 --> 00:02:30.300]  (主席) 神與摩西在山上同在
[00:02:30.300 --> 00:02:32.400]  (主席) 所以你留意24章到33章
[00:02:32.400 --> 00:02:35.400]  (主席) 這7章是講述神與摩西在山上同在
[00:02:35.400 --> 00:02:38.300]  (主席) 這7章是講述回眸是神與子民同在
[00:02:38.300 --> 00:02:41.100]  (主席) 這7章是講述會目是神與子民同在
[00:02:41.100 --> 00:02:48.600]  (主席) 32、33章是山下神與摩西在山下的同在
[00:02:48.600 --> 00:02:50.500]  (主席) 所以今早的信息裏面分開兩部分
[00:02:50.500 --> 00:02:52.700]  (主席) 是山上山下摩西的經歷
[00:02:52.700 --> 00:02:54.600]  (主席) 所以今天早上的信息分成兩部分
[00:02:54.600 --> 00:02:56.900]  (主席) 就是山上山下摩西的經歷
[00:02:56.900 --> 00:03:00.200]  (主席) 我鼓勵大家有這本《港島經文》
