
[00:00:00.000 --> 00:00:02.000]  剛才讀過的一段聖經
[00:00:02.000 --> 00:00:08.000]  是描述主耶穌得到法理賽人請他吃飯
[00:00:08.000 --> 00:00:14.000]  正常同台吃飯應該是交誼的好機會
[00:00:14.000 --> 00:00:17.000]  但是我們都有個說法
[00:00:17.000 --> 00:00:19.000]  同台吃飯各自修行
[00:00:19.000 --> 00:00:24.000]  他們不止,他們同台吃飯還最後反面收場
[00:00:24.000 --> 00:00:31.000]  反面收場就不代表法理賽人必然是一個反派角色
[00:00:31.000 --> 00:00:38.000]  剛相反,法理賽人的身份或者名字的意思
[00:00:38.000 --> 00:00:44.000]  正正就是劃分為性或者分別為性的意思
[00:00:44.000 --> 00:00:48.000]  他們更加是自從猶太人在公元前六世紀
[00:00:48.000 --> 00:00:58.000]  由巴比倫所俘虜,然後又被波斯能夠准許他們回歸耶路撒冷
[00:00:58.000 --> 00:01:06.000]  自此以後好幾百年,法理賽人劃分為性尋求神聖這樣的路線
[00:01:06.000 --> 00:01:12.000]  讓民族和信仰總算生存下來
[00:01:12.000 --> 00:01:19.000]  所以不因為他們是猶太教宗教領袖,遇到耶穌的時候就會起衝突
[00:01:19.000 --> 00:01:23.000]  其實我們作為教會的領袖、弟兄姊妹
[00:01:23.000 --> 00:01:26.000]  當真正面對耶穌的時候
[00:01:26.000 --> 00:01:32.000]  我們都必然會被耶穌可以有糾正的地方
[00:01:32.000 --> 00:01:42.000]  況且法理賽人所代表的劃分為性的宗旨好像也有聖經根據
[00:01:42.000 --> 00:01:50.000]  貫穿從創世紀到歷代至其中一個很重要的主題
[00:01:50.000 --> 00:01:55.000]  早在創世紀第二章第三節神賜福給第七天
[00:01:55.000 --> 00:02:03.000]  將這一天劃分為性,然後因為這一天是神創造的工作停下來的時候
[00:02:03.000 --> 00:02:07.000]  於是日後法理賽人很緊張安息日
[00:02:07.000 --> 00:02:11.000]  這是很正常的,因為這一天是劃分為性的
[00:02:11.000 --> 00:02:18.000]  歷代至下三十六章第十四節也是差不多舊約聖經最後的經文
[00:02:18.000 --> 00:02:28.000]  眾祭司長和百姓多多犯罪孝法列國一切可憎的事,玷污耶和華在耶路撒冷劃分為性的殿
[00:02:28.000 --> 00:02:36.000]  於是法理賽人也很緊張聖殿,劃分為性的殿不應該被玷污
[00:02:36.000 --> 00:02:43.000]  法理賽人對安息日很緊張,於是乎成王成孔,唯孔越雷池半步
[00:02:43.000 --> 00:02:54.000]  但是主耶穌自己既然是安息日的主,在安息日他認為應該我們專注敬拜的對象是神
[00:02:54.000 --> 00:02:58.000]  不要和其他人有什麼惡性的競爭
[00:02:58.000 --> 00:03:06.000]  法理賽人又很緊張聖殿,於是乎主耶穌又和當時的宗教領袖說
[00:03:06.000 --> 00:03:17.000]  敬拜和禱告是聖殿應該有的功能,不是做買賣,也不是要進行什麼商業活動
[00:03:17.000 --> 00:03:27.000]  法理賽人今次和耶穌面對面的爭論的起點,竟然是為了吃飯之前有沒有洗手的問題
[00:03:27.000 --> 00:03:38.000]  就算你和我不是冠狀病毒病的緣故,因為衛生的原因,我們飯前洗手也是常識
[00:03:38.000 --> 00:03:42.000]  為什麼會成為爭論呢?
[00:03:42.000 --> 00:03:48.000]  因為本身洗手其實在當時是一個禮儀
[00:03:48.000 --> 00:04:00.000]  耶穌當和法理賽人說話的時候,法理賽人請他吃飯,然後進去坐席,法理賽人看到耶穌飯前沒有行洗手禮
[00:04:00.000 --> 00:04:04.000]  可以這樣翻譯,就覺得很詫異
[00:04:04.000 --> 00:04:18.000]  如果我們借助平時中文的說法,有諸內而刑於外,法理賽人的想法或禮儀本身就是將這件事倒轉
[00:04:18.000 --> 00:04:31.000]  有諸外而刑於內,即是在外面透過結手,透過表達一份對神內在的尊敬
[00:04:31.000 --> 00:04:44.000]  就好像我們去附一個很重要的場合,例如男的可能會穿西裝,甚至是特斯道
[00:04:44.000 --> 00:04:53.000]  女的則是附婚禮,下午穿的衣服和晚上婚宴的衣服都會不同
[00:04:53.000 --> 00:05:05.000]  下午幾個小時,男的可能去休息逛街,他就去打扮,然後符合晚上的場景
[00:05:05.000 --> 00:05:11.000]  對主家的尊重,由外在的打扮去配合
[00:05:11.000 --> 00:05:23.000]  而對上主的尊重,詩篇第24篇,第3到第4節,都有一種由外到內的表達
