
[00:00:00.000 --> 00:00:04.000]  (主席)梁克棠的眾弟兄姊妹,主以裡面平安
[00:00:04.000 --> 00:00:10.000]  今天的題目就叫做新人,新恩,新挑戰
[00:00:10.000 --> 00:00:14.000]  特別強調在「新」那裡,在「新」字
[00:00:14.000 --> 00:00:19.000]  所以今天盧牧師編排的講壇
[00:00:19.000 --> 00:00:21.000]  或者整個崇拜的流程裡面
[00:00:21.000 --> 00:00:24.000]  包括一開始讀的經文
[00:00:24.000 --> 00:00:26.000]  都很強調這個「新」字
[00:00:26.000 --> 00:00:31.000]  事實上這個「新」字亦都是我們在香港
[00:00:31.000 --> 00:00:37.000]  現在我們終於未來有一個新特首會出現
[00:00:37.000 --> 00:00:42.000]  他的政綱,他的講論都很強調這個「新」字
[00:00:42.000 --> 00:00:46.000]  他說25週年是一個新的里程
[00:00:46.000 --> 00:00:49.000]  事實上我們都感覺到
[00:00:49.000 --> 00:00:53.000]  香港的一國兩制都開始一個新的篇章
[00:00:53.000 --> 00:00:57.000]  因為可以說自從有了國安法之後
[00:00:57.000 --> 00:01:00.000]  整個大家感覺到完全不同
[00:01:00.000 --> 00:01:02.000]  這個「新」就大家有不同反應
[00:01:02.000 --> 00:01:05.000]  有些人留在這裡,亦都有人打算走了
[00:01:05.000 --> 00:01:08.000]  所以這個「新」亦都是裡面
[00:01:08.000 --> 00:01:11.000]  當然他亦都說,他的政綱裡面說
[00:01:11.000 --> 00:01:13.000]  香港是新篇章
[00:01:13.000 --> 00:01:18.000]  這個新的階段,新的歷程,新的內容
[00:01:18.000 --> 00:01:24.000]  所以我都想一下,我們都應該從我們的信仰角度
[00:01:24.000 --> 00:01:29.000]  或者從今天聖經裡面,文數記都給這個角度裡面
[00:01:29.000 --> 00:01:35.000]  去看看有「新人」、「新恩」、「新挑戰」的題目
[00:01:35.000 --> 00:01:37.000]  跟大家來分享
[00:01:37.000 --> 00:01:41.000]  今天我分了三段經文
[00:01:41.000 --> 00:01:47.000]  這段經文第一段是講「新人」
[00:01:47.000 --> 00:01:52.000]  這班現在是重新,以色列人重新第二次
[00:01:52.000 --> 00:01:55.000]  第二代裡面去數他們
[00:01:55.000 --> 00:02:01.000]  所以這班是完全是一班重新開始的新人類
[00:02:01.000 --> 00:02:04.000]  這樣開始的
[00:02:04.000 --> 00:02:08.000]  在這裡就打這個20歲
[00:02:08.000 --> 00:02:11.000]  新一代重新再點數他們
[00:02:11.000 --> 00:02:13.000]  這個第一段經文就是想講這個
[00:02:13.000 --> 00:02:18.000]  第二段經文就是講他們這一次點數
[00:02:18.000 --> 00:02:21.000]  和上一次點數有些不同
[00:02:21.000 --> 00:02:23.000]  他們真的有新的因點
[00:02:23.000 --> 00:02:26.000]  因為他們將要,不單止上次只是講
[00:02:26.000 --> 00:02:30.000]  看一定的點數,能夠只是出去打仗的人
[00:02:30.000 --> 00:02:32.000]  能夠去攻城的人,將來能夠去
[00:02:32.000 --> 00:02:35.000]  但今次他直接不單止說打仗
[00:02:35.000 --> 00:02:38.000]  他已經說定了,將來有地分的了
[00:02:38.000 --> 00:02:40.000]  就是你有一個應許之地
[00:02:40.000 --> 00:02:42.000]  已經就在眼前了
[00:02:42.000 --> 00:02:45.000]  所以可以談這個分地的問題
[00:02:45.000 --> 00:02:50.000]  第三方面就是他們講這個再一次點數
[00:02:50.000 --> 00:02:53.000]  就是來講這個挑戰,他們要銘記這個挑戰
[00:02:53.000 --> 00:02:55.000]  就是第一代的人全都死了
[00:02:55.000 --> 00:02:57.000]  就沒有一個人在這裡了
[00:02:57.000 --> 00:02:59.000]  唯獨只有兩個人
[00:02:59.000 --> 00:03:04.000]  就是這個加勒和約書亞
[00:03:04.000 --> 00:03:08.000]  這個紀念,這個挑戰究竟是什麼呢
[00:03:08.000 --> 00:03:13.000]  我們就在這裡來看
[00:03:13.000 --> 00:03:17.000]  我們先講一下新舊一代
[00:03:17.000 --> 00:03:21.000]  舊的一代其實是叫做沒有信心
[00:03:21.000 --> 00:03:23.000]  他們只是看環境
[00:03:23.000 --> 00:03:25.000]  他們只是看見艱難
