
[00:00:00.000 --> 00:00:02.620]  聖誕的時候好像特別忙
[00:00:02.620 --> 00:00:04.920]  但心裏面又很開心
[00:00:04.920 --> 00:00:08.300]  但開心之餘又要準備很多東西
[00:00:08.300 --> 00:00:10.620]  所以有時都幾矛盾
[00:00:10.620 --> 00:00:15.920]  要想很多東西 要準備很多東西
[00:00:15.920 --> 00:00:20.400]  但不知道我們有沒有去想一下
[00:00:20.400 --> 00:00:24.140]  為何我們要這樣過聖誕
[00:00:24.140 --> 00:00:25.380]  聖誕快到了
[00:00:25.380 --> 00:00:28.120]  我們要很多事做 很多事想 很多事去籌算
[00:00:28.120 --> 00:00:32.400]  但為何我們要這樣過聖誕
[00:00:32.400 --> 00:00:34.460]  到底我們基督徒怎樣過聖誕
[00:00:34.460 --> 00:00:38.020]  才能夠讓上帝得榮耀
[00:00:38.020 --> 00:00:41.640]  而耶穌是很開心呢
[00:00:41.640 --> 00:00:43.140]  所以從今個星期開始
[00:00:43.140 --> 00:00:44.300]  正如我剛才提過
[00:00:44.300 --> 00:00:47.620]  我們有幾個星期會和大家講聖誕節的訊息
[00:00:47.620 --> 00:00:51.480]  今日首先希望和大家去反思一下
[00:00:51.480 --> 00:00:55.180]  到底聖誕節帶給我們來說有什麼意義
[00:00:55.180 --> 00:00:58.400]  一起去反思一下 什麼叫做過聖誕
[00:00:58.400 --> 00:01:00.000]  我們很熟悉聖經
[00:01:00.000 --> 00:01:05.520]  我們看回馬太夫音 耶穌降生的故事
[00:01:05.520 --> 00:01:09.900]  這裡說 耶穌基督降生的故事記在下面
[00:01:09.900 --> 00:01:13.900]  他的母親瑪利亞已經許配了藥膝
[00:01:13.900 --> 00:01:19.000]  眾母凝催 瑪利亞就從聖靈懷了孕
[00:01:19.000 --> 00:01:22.360]  她丈夫藥膝是她的義人
[00:01:22.360 --> 00:01:24.360]  不願意明明地需要她
[00:01:24.360 --> 00:01:26.500]  想要暗暗地把她幽了
[00:01:26.500 --> 00:01:28.700]  正在思念這件事的時候
[00:01:28.700 --> 00:01:31.900]  有主的使者向她夢中顯現
[00:01:31.900 --> 00:01:34.860]  說大衛的子孫藥膝不要怕
[00:01:34.860 --> 00:01:38.620]  只管娶過你的妻子瑪利亞來
[00:01:38.620 --> 00:01:42.240]  因她所懷的孕是從聖靈來的
[00:01:42.240 --> 00:01:43.860]  她將要生一個兒子
[00:01:43.860 --> 00:01:45.900]  你要給得起名叫耶穌
[00:01:45.900 --> 00:01:50.100]  因她要將自己的百姓從罪惡裡救出來
[00:01:50.100 --> 00:01:52.300]  這一切的成就
[00:01:52.300 --> 00:01:55.860]  是要應驗主席先知所說的話
[00:01:55.860 --> 00:01:59.140]  說必有同女懷孕生子
[00:01:59.140 --> 00:02:02.780]  人要稱她的名為以馬來利
[00:02:02.780 --> 00:02:05.420]  以馬來利翻出來
[00:02:05.420 --> 00:02:08.300]  就是神與我們同在
[00:02:08.300 --> 00:02:10.300]  藥膝醒了起來
[00:02:10.300 --> 00:02:14.500]  就遵著主使者的吩咐把妻子娶過來
[00:02:14.500 --> 00:02:16.600]  只是沒有和她同房
[00:02:16.600 --> 00:02:19.000]  等她生了兒子
[00:02:19.000 --> 00:02:21.940]  有骨卷說等她上了投胎的兒子
[00:02:21.940 --> 00:02:26.680]  就給她起名叫耶穌
[00:02:26.680 --> 00:02:29.220]  可能大家不說不知道
[00:02:29.220 --> 00:02:31.700]  大家知不知道我們說慶祝聖誕
[00:02:31.700 --> 00:02:34.180]  在美國 現在我們生活在美國
[00:02:34.180 --> 00:02:38.100]  美國原來是到了十九世紀的下半葉
[00:02:38.100 --> 00:02:40.180]  應該是1870年
