
[00:00:00.000 --> 00:00:09.000]  自從在一個多月之前發現了有假的一千元紙幣之後
[00:00:09.000 --> 00:00:19.000]  在新年在這個多月裏面很少見到一千元紙幣
[00:00:19.000 --> 00:00:29.000]  很多的食肆都連了這個告示我們不收一千元紙幣
[00:00:29.000 --> 00:00:36.000]  鹽淺聲
[00:00:36.000 --> 00:00:46.000]  假的一千元紙幣的可怕就是做到好像真的一樣
[00:00:46.000 --> 00:00:55.000]  但是什麼時候才可以除去這個恐懼呢?
[00:00:55.000 --> 00:01:05.000]  什麼時候我們又再回應接納一千元紙幣呢?
[00:01:05.000 --> 00:01:15.000]  什麼時候我們才對一千元紙幣有信心可以再用呢?
[00:01:15.000 --> 00:01:21.000]  我也不知道香港政府還會不會再印一千元紙幣
[00:01:21.000 --> 00:01:28.000]  再印的時候怎樣去令到香港的居民有信心
[00:01:28.000 --> 00:01:32.000]  去拿一千元紙幣出來
[00:01:32.000 --> 00:01:43.000]  又怎樣令到那些餐館行業有信心去再收一千元紙幣呢?
[00:01:43.000 --> 00:01:46.000]  都幾可惜的
[00:01:46.000 --> 00:01:50.000]  雖然我們不是經常帶著幾千元紙幣出街
[00:01:50.000 --> 00:01:53.000]  或者我不是經常帶這麼多錢出街
[00:01:53.000 --> 00:01:55.000]  可能你們是也不一定
[00:01:55.000 --> 00:02:01.000]  但是如果要帶多一點錢的話都幾厚的
[00:02:01.000 --> 00:02:06.000]  原來有一些東西出現了假的東西
[00:02:06.000 --> 00:02:09.000]  失去了信心
[00:02:09.000 --> 00:02:16.000]  要再建立是很困難的
[00:02:16.000 --> 00:02:24.000]  今天我們要講的講道就是講真和假
[00:02:24.000 --> 00:02:29.000]  真的虔誠或者是假的虔誠
[00:02:29.000 --> 00:02:35.000]  真實的敬拜或者是假的敬拜
[00:02:35.000 --> 00:02:41.000]  如果只是真和假就很容易可以去分辨得到
[00:02:41.000 --> 00:02:46.000]  不過有一些是假可亂真的
[00:02:46.000 --> 00:02:50.000]  有一種叫做虛偽的虔誠
[00:02:50.000 --> 00:02:54.000]  有一種叫做真實的虔誠
[00:02:54.000 --> 00:03:01.000]  是大概距離有二千七百年的時間
[00:03:01.000 --> 00:03:04.000]  就是在主前七百年的時候
[00:03:04.000 --> 00:03:07.000]  的一位先知叫做以賽亞
[00:03:07.000 --> 00:03:11.000]  他就和當時的以色列人
[00:03:11.000 --> 00:03:15.000]  去講了今天我們所讀經文的那一番說話
[00:03:15.000 --> 00:03:22.000]  就是去指出你們外表上扮得很虔誠
[00:03:22.000 --> 00:03:24.000]  只是扮出來的
[00:03:24.000 --> 00:03:27.000]  這是一個虛偽的虔誠
[00:03:27.000 --> 00:03:35.000]  這樣不是可以得到祝福的
[00:03:35.000 --> 00:03:37.000]  又不能夠祝福你自己
[00:03:37.000 --> 00:03:41.000]  又不能夠祝福你們身邊的人
[00:03:41.000 --> 00:03:45.000]  所以我們就花一點點的時間
[00:03:45.000 --> 00:03:50.000]  去看看當時的百姓他們做錯了什麼
[00:03:50.000 --> 00:03:57.000]  我們又能夠從他們的身上去學一些教訓
[00:03:57.000 --> 00:04:01.000]  希望我們不像他們一樣
[00:04:01.000 --> 00:04:03.000]  雖然經文已經讀了
[00:04:03.000 --> 00:04:05.000]  我也不會再詳細去讀
[00:04:05.000 --> 00:04:08.000]  但是我想請大家可不可以翻開聖經
[00:04:08.000 --> 00:04:10.000]  因為很少翻開聖經
[00:04:10.000 --> 00:04:13.000]  到一個地步可能我們不懂得翻聖經
[00:04:13.000 --> 00:04:14.000]  如果你們懂的話
[00:04:14.000 --> 00:04:22.000]  翻開舊約的以賽亞書第五十八章
[00:04:22.000 --> 00:04:31.000]  翻開來聽講道
[00:04:31.000 --> 00:04:34.000]  我給你們一點時間
[00:04:34.000 --> 00:04:38.000]  在中間一翻開就是以賽亞書
[00:04:38.000 --> 00:04:44.000]  你們選到第五十八章
[00:04:44.000 --> 00:04:46.000]  我們會看第二節
