
[00:00:00.000 --> 00:00:04.000]  在三十年前,一個冬天的晚上
[00:00:04.000 --> 00:00:09.000]  美國有一個商人去醫院探望他患急病的太太
[00:00:09.000 --> 00:00:12.000]  因為離開的時候太匆忙了
[00:00:12.000 --> 00:00:15.000]  他留下了一個皮包在醫院
[00:00:15.000 --> 00:00:18.000]  這個皮包載著十萬元美金
[00:00:18.000 --> 00:00:21.000]  和一份機密的市場資料
[00:00:21.000 --> 00:00:24.000]  那個商人發現留下了皮包之後非常焦急
[00:00:24.000 --> 00:00:28.000]  馬上開車回去,想拿回這個皮包
[00:00:28.000 --> 00:00:30.000]  一邊開車一邊禱告
[00:00:30.000 --> 00:00:32.000]  求神你幫我
[00:00:32.000 --> 00:00:37.000]  把這個皮包留在原本的位置讓我拿回來
[00:00:37.000 --> 00:00:40.000]  當商人回到醫院的時候
[00:00:40.000 --> 00:00:45.000]  他發現有一個小妹妹抱著這個皮包一直等他
[00:00:45.000 --> 00:00:50.000]  商人不知道怎樣才可以感激到這個小妹妹幫忙
[00:00:50.000 --> 00:00:52.000]  原來這個小妹妹叫Jesse
[00:00:52.000 --> 00:00:59.000]  Jesse那晚和她患重病的媽媽去醫院醫治
[00:00:59.000 --> 00:01:02.000]  他們賣了家裡所有貴重的東西
[00:01:02.000 --> 00:01:08.000]  籌得來的錢只能夠救醫院一萬的醫藥費
[00:01:08.000 --> 00:01:12.000]  因為他們沒有錢,所以第二天早上就要離開醫院
[00:01:12.000 --> 00:01:18.000]  當徬徨無助的Jesse走到醫院門口祈禱的時候
[00:01:18.000 --> 00:01:21.000]  突然間有一個男人很急忙地衝出來
[00:01:21.000 --> 00:01:23.000]  撞到他一下
[00:01:23.000 --> 00:01:25.000]  然後就走上車
[00:01:25.000 --> 00:01:27.000]  這個男人沒有發覺
[00:01:27.000 --> 00:01:30.000]  當他撞到Jesse的時候
[00:01:30.000 --> 00:01:33.000]  夾著的皮包就掉在地上
[00:01:33.000 --> 00:01:35.000]  當Jesse撿起這個皮包
[00:01:35.000 --> 00:01:38.000]  想叫停這個男人的時候
[00:01:38.000 --> 00:01:40.000]  他的車已經不見了
[00:01:40.000 --> 00:01:43.000]  當Jesse和他的媽媽打開這個皮包的時候
[00:01:43.000 --> 00:01:46.000]  發現裡面原來有十萬元
[00:01:46.000 --> 00:01:49.000]  難道神應該找Jesse祈禱
[00:01:49.000 --> 00:01:53.000]  如果有這筆錢,他的媽媽就可以繼續治病了
[00:01:53.000 --> 00:01:57.000]  但是這筆錢真的不屬於他們
[00:01:57.000 --> 00:01:59.000]  Jesse的媽媽就這樣跟他說
[00:01:59.000 --> 00:02:03.000]  人生最應該做的事就是幫助人
[00:02:03.000 --> 00:02:06.000]  最不應該做的事就是貪不義之財
[00:02:06.000 --> 00:02:09.000]  於是Jesse就拿著這個皮包去醫院門口
[00:02:09.000 --> 00:02:11.000]  等這個男人回來
[00:02:11.000 --> 00:02:13.000]  這個商人聽到之後非常感動
[00:02:13.000 --> 00:02:16.000]  所以決定出錢治治他的媽媽
[00:02:16.000 --> 00:02:18.000]  但是都為時已晚了
[00:02:18.000 --> 00:02:20.000]  他的媽媽因為病得太重了
[00:02:20.000 --> 00:02:22.000]  所以很快就主懷安息
[00:02:22.000 --> 00:02:25.000]  剩下孤苦伶仃的Jesse
[00:02:25.000 --> 00:02:28.000]  商人決定收養他
[00:02:28.000 --> 00:02:29.000]  在幾年後
[00:02:29.000 --> 00:02:33.000]  這個商人憑著這份機密的市場資料
[00:02:33.000 --> 00:02:35.000]  和自己的本事
[00:02:35.000 --> 00:02:37.000]  他的生意如日中天
[00:02:37.000 --> 00:02:40.000]  他很快就成為一個超級的富豪
[00:02:40.000 --> 00:02:42.000]  一個億萬富翁
[00:02:42.000 --> 00:02:46.000]  Jesse也得到良科教育
[00:02:46.000 --> 00:02:49.000]  在長大之後成為一個出色的商人
[00:02:49.000 --> 00:02:52.000]  晚年的富翁這個商人
[00:02:52.000 --> 00:02:56.000]  雖然他是很聰明
[00:02:56.000 --> 00:02:58.000]  但是他在晚年的時候
[00:02:58.000 --> 00:03:02.000]  幾乎所有的決策都會諮詢Jesse的意見
[00:03:02.000 --> 00:03:05.000]  當這個商人就快離開這個世界的時候
[00:03:05.000 --> 00:03:08.000]  他寫下以下的遺囑
[00:03:08.000 --> 00:03:11.000]  當我離開這個世界的時候
[00:03:11.000 --> 00:03:15.000]  我要把我所有的財產留給Jesse
[00:03:15.000 --> 00:03:17.000]  在我認識這兩母女之前
[00:03:17.000 --> 00:03:19.000]  我已經非常富有了
[00:03:19.000 --> 00:03:21.000]  我以前覺得
[00:03:21.000 --> 00:03:25.000]  商場經營之道是以魚我炸
[00:03:25.000 --> 00:03:26.000]  這是很合理的事
[00:03:26.000 --> 00:03:30.000]  但是當晚我看到這對母女
[00:03:30.000 --> 00:03:32.000]  在貧病交迫的時候
[00:03:32.000 --> 00:03:35.000]  她仍然毫不貪婪
[00:03:35.000 --> 00:03:36.000]  我就知道
[00:03:36.000 --> 00:03:39.000]  她是世界上最富有的人
[00:03:39.000 --> 00:03:42.000]  原來人生最大的資本
[00:03:42.000 --> 00:03:44.000]  就是清潔的動機
[00:03:44.000 --> 00:03:47.000]  也就是品格
[00:03:47.000 --> 00:03:50.000]  雖然你究竟在追尋什麼
[00:03:50.000 --> 00:03:52.000]  你正在尋求什麼呢
[00:03:52.000 --> 00:03:56.000]  你正在尋求這個富翁這個商人的東西
[00:03:56.000 --> 00:03:58.000]  還是其他東西呢
[00:03:58.000 --> 00:04:02.000]  你覺得神想你尋求什麼呢
[00:04:02.000 --> 00:04:03.000]  在幾個星期之前
[00:04:03.000 --> 00:04:06.000]  唐牧師曾經為十誡
[00:04:06.000 --> 00:04:09.000]  作了一個鍾濫的概論
[00:04:09.000 --> 00:04:11.000]  上個星期鄭牧師
[00:04:11.000 --> 00:04:15.000]  也說了十誡的頭四誡
[00:04:15.000 --> 00:04:18.000]  是人和神的關係
[00:04:18.000 --> 00:04:20.000]  剩下來有六誡
[00:04:20.000 --> 00:04:24.000]  是說人和人的關係
[00:04:24.000 --> 00:04:26.000]  當我預備說道的時候
[00:04:26.000 --> 00:04:27.000]  我一邊禱告
[00:04:27.000 --> 00:04:28.000]  一邊在想
[00:04:28.000 --> 00:04:32.000]  究竟我是否把剩下來的六條誡命
[00:04:32.000 --> 00:04:34.000]  逐一說
[00:04:34.000 --> 00:04:36.000]  還是說它的精髓呢
[00:04:36.000 --> 00:04:40.000]  當我仔細看這六條誡命的時候
[00:04:40.000 --> 00:04:43.000]  我發覺第十誡非常特別
[00:04:43.000 --> 00:04:45.000]  我請請師傅一起
[00:04:45.000 --> 00:04:47.000]  我們去到出埃及記的二十章十七節
[00:04:47.000 --> 00:04:49.000]  看看這條誡命
[00:04:49.000 --> 00:04:50.000]  我們一起讀好嗎
[00:04:50.000 --> 00:04:51.000]  一二三
[00:04:51.000 --> 00:04:54.000]  不可貪戀人的房屋
[00:04:54.000 --> 00:04:56.000]  也不可貪戀人的妻子
[00:04:56.000 --> 00:04:57.000]  屋皮
[00:04:57.000 --> 00:04:58.000]  牛奴
[00:04:58.000 --> 00:05:01.000]  並他一切所有的
[00:05:01.000 --> 00:05:02.000]  這個很特別
[00:05:02.000 --> 00:05:03.000]  為什麼呢
[00:05:03.000 --> 00:05:04.000]  因為呢
[00:05:04.000 --> 00:05:05.000]  不可貪戀
[00:05:05.000 --> 00:05:07.000]  這句話呢
[00:05:07.000 --> 00:05:09.000]  竟然在同一節聖經
[00:05:09.000 --> 00:05:11.000]  出現良辭
[00:05:11.000 --> 00:05:12.000]  什麼是貪戀呢
