
[00:00:00.000 --> 00:00:03.600]  格林多厚書我想我們中間也有很多人可能也看過
[00:00:03.600 --> 00:00:08.900]  那麼格林多厚書是一本感情相當豐富的書信
[00:00:08.900 --> 00:00:14.600]  可以說是保羅爲他自己的存權還有正直
[00:00:14.600 --> 00:00:17.300]  那麼這個英文叫做integrity
[00:00:17.300 --> 00:00:21.000]  那麼他辯護的一封信
[00:00:21.000 --> 00:00:23.000]  或者我們也可以說是
[00:00:23.000 --> 00:00:26.900]  他把他自己的心整個都掏出來了
[00:00:26.900 --> 00:00:31.400]  我想我們在所有經歷過的很多事情
[00:00:31.400 --> 00:00:33.100]  我們所認識的人裏面
[00:00:33.100 --> 00:00:38.600]  我覺得保羅他真的是把他自己完完全全掏出來給人看
[00:00:38.600 --> 00:00:41.700]  完全沒有虛假
[00:00:41.700 --> 00:00:44.300]  那麼同時他的這封信
[00:00:44.300 --> 00:00:46.500]  我們在看的時候我們也發現
[00:00:46.500 --> 00:00:51.300]  他對那些當時在教會中那些只注重外表
[00:00:51.300 --> 00:00:53.800]  只注重外面的裝飾
[00:00:53.800 --> 00:00:55.800]  虛僞的假教師
[00:00:55.800 --> 00:01:01.300]  就是當時的猶太人對他的詭謗的一種辯護
[00:01:01.300 --> 00:01:03.700]  那麼今天我們要看的這段經文
[00:01:03.700 --> 00:01:09.900]  是講到他和他的同工們是基督的使者
[00:01:09.900 --> 00:01:11.900]  或者是大使
[00:01:11.900 --> 00:01:13.000]  那這段經文
[00:01:13.000 --> 00:01:15.300]  我想我們大概可以分成兩段
[00:01:15.300 --> 00:01:18.900]  第一段是從第十一節一直到第十七節
[00:01:18.900 --> 00:01:24.300]  然後第二段是從十八節到二十一節
[00:01:24.300 --> 00:01:28.700]  那麼十一節呢
[00:01:28.700 --> 00:01:31.900]  保羅在這裏從十一節到十七節
[00:01:31.900 --> 00:01:36.300]  他是講到一個純全正直
[00:01:36.300 --> 00:01:39.000]  或者是英文就叫integrity
[00:01:39.000 --> 00:01:41.500]  那麼有時候我們在美國久了的人
[00:01:41.500 --> 00:01:45.900]  有時候體會可能英語比較容易
[00:01:45.900 --> 00:01:49.400]  那麼純全正直的一個質分
[00:01:49.400 --> 00:01:57.000]  其實我們做所有的事情和教會有關的
[00:01:57.000 --> 00:01:59.000]  或者是說教會的事工
[00:01:59.000 --> 00:02:05.200]  完全都是基於純全正直
[00:02:05.200 --> 00:02:07.300]  不應該有虛僞
[00:02:07.300 --> 00:02:10.400]  不應該有假冒爲善
[00:02:10.400 --> 00:02:13.800]  因爲基督他就是真的
[00:02:13.800 --> 00:02:15.600]  那麼因爲基督的緣故
[00:02:15.600 --> 00:02:17.200]  所以我們在教會里面
[00:02:17.200 --> 00:02:18.800]  我們不管是做什麼事情
[00:02:18.800 --> 00:02:20.400]  或者是我們來參加聚會
[00:02:20.400 --> 00:02:22.200]  或者是來參加崇拜
[00:02:22.200 --> 00:02:23.600]  或者是我們完了之後
[00:02:23.600 --> 00:02:27.200]  我們在外面參加其他的教會的活動
[00:02:27.200 --> 00:02:28.800]  不管是團祭也好
[00:02:28.800 --> 00:02:32.000]  完全都應該要純全正直
[00:02:32.000 --> 00:02:35.600]  應該是沒有虛假的
[00:02:35.600 --> 00:02:39.200]  我們真的是要很感謝神
[00:02:39.200 --> 00:02:41.200]  神揀選了保羅
