
[00:00:00.000 --> 00:00:02.700]  各位姐妹,我們一同來禱告
[00:00:02.700 --> 00:00:05.100]  親愛的主,我們來到祢的面前
[00:00:05.100 --> 00:00:09.700]  主啊,主,祢要我們常常與祢保持交通
[00:00:09.700 --> 00:00:13.000]  主啊,但有時候我們真的需要從祢來的話語
[00:00:13.000 --> 00:00:15.700]  從祢來的力量,從祢來的感動
[00:00:15.700 --> 00:00:18.000]  主啊,如果祢不與我們同在
[00:00:18.000 --> 00:00:20.700]  主啊,我們禱告,我們向誰禱告呢?
[00:00:20.700 --> 00:00:24.300]  主啊,今天求祢用祢的話語拉近我們跟祢的關係
[00:00:24.300 --> 00:00:27.200]  主啊,從祢的話語裡面讓我們真實的知道
[00:00:27.200 --> 00:00:30.100]  禱告由我們真實的心裡面發出來
[00:00:30.100 --> 00:00:33.400]  願主祢今天,祢的聲音運行在我們當中
[00:00:33.400 --> 00:00:34.700]  主啊,觸動我們
[00:00:34.700 --> 00:00:36.500]  主啊,使我們裡面這一個人
[00:00:36.500 --> 00:00:39.500]  主啊,被祢來使用,被祢來喜悅
[00:00:39.500 --> 00:00:41.200]  願祢與我們同在
[00:00:41.200 --> 00:00:43.300]  主啊,求祢賜給孩子口才
[00:00:43.300 --> 00:00:45.500]  主啊,願說的,主啊,願聽的
[00:00:45.500 --> 00:00:47.900]  都要蒙祢來造就此福
[00:00:47.900 --> 00:00:49.700]  謝謝主,垂聽我們禱告
[00:00:49.700 --> 00:00:52.500]  奉靠耶穌基督,寶貴的聖人名
[00:00:52.500 --> 00:00:54.400]  Amen
[00:00:54.400 --> 00:00:58.100]  各位聽眾姐妹,今天跟大家分享的題目是
[00:00:58.100 --> 00:01:00.700]  蒙主垂聽的禱告
[00:01:00.700 --> 00:01:02.500]  蒙主垂聽的禱告
[00:01:02.500 --> 00:01:05.000]  蒙主垂聽的禱告重要嗎?
[00:01:05.000 --> 00:01:07.600]  蒙主垂聽的禱告非常重要
[00:01:07.600 --> 00:01:10.800]  不然我們花時間禱告是做什麼呢?
[00:01:10.800 --> 00:01:15.000]  我們禱告就是要讓主能夠來聽到
[00:01:15.000 --> 00:01:16.700]  說到禱告
[00:01:16.700 --> 00:01:19.200]  那我們
[00:01:19.200 --> 00:01:21.300]  在我們的腦海裡面
[00:01:21.300 --> 00:01:24.100]  誰的禱告讓我們最印象深刻呢?
[00:01:24.100 --> 00:01:27.600]  在聖經裡面,誰的禱告蒙誰垂聽呢?
[00:01:27.600 --> 00:01:31.500]  這些禱告都會成為我們生活中
[00:01:31.500 --> 00:01:34.400]  我們禱告生活的一個榜樣
[00:01:34.400 --> 00:01:37.300]  我們看見摩西,他被神呼召
[00:01:37.300 --> 00:01:40.100]  一開始他也不願意,他是左口笨蛇
[00:01:40.100 --> 00:01:43.000]  我相信他也不會禱告
[00:01:43.000 --> 00:01:46.000]  但是他被神呼召,他忠於他的呼召
[00:01:46.000 --> 00:01:48.600]  他完成了他的使命
[00:01:48.600 --> 00:01:53.400]  在他帶領以色列的百姓過程中
[00:01:53.400 --> 00:01:56.600]  他也不斷地有跟神有交談
[00:01:56.600 --> 00:02:00.400]  記得有一次,神就叫他去新乃山
[00:02:00.400 --> 00:02:06.600]  在那裡頒發了十戒給以色列百姓
[00:02:06.600 --> 00:02:10.200]  那我們看見摩西在山上四十天
[00:02:10.200 --> 00:02:15.400]  不能吃東西,他在那裡禁食與神交談
[00:02:15.400 --> 00:02:21.600]  我們也看見這一位大能的先知叫做伊利亞
[00:02:21.600 --> 00:02:25.100]  在他的生命裡面也有禁食四十天
[00:02:25.100 --> 00:02:28.600]  他不是像摩西一樣在人生最高峰的時候
[00:02:28.600 --> 00:02:34.100]  好像是在新乃山上與神相見
[00:02:34.100 --> 00:02:37.400]  他是一個逃亡者的身份
[00:02:37.400 --> 00:02:41.300]  在躲避王后耶喜別的追殺
[00:02:41.300 --> 00:02:44.600]  他後來也禁食了四十天
