
[00:00:00.000 --> 00:00:03.000]  各位兄弟姐妹,早安!
[00:00:03.000 --> 00:00:06.000]  開始的時候,我們一起來做一個祈禱
[00:00:06.000 --> 00:00:11.000]  主啊,我們很感謝祢,每個星期都給我們有祢的懷願
[00:00:11.000 --> 00:00:17.000]  求聖靈這時候親切地對我們說話,亦都教導我們
[00:00:17.000 --> 00:00:21.000]  以致我們都能夠明白祢的心意,禱告奉主耶穌基督的聖名
[00:00:21.000 --> 00:00:23.000]  阿們!
[00:00:23.000 --> 00:00:29.000]  在上個世紀,六十年代,B之時,有一首名曲
[00:00:29.000 --> 00:00:31.000]  我想大家都有聽過
[00:00:31.000 --> 00:00:37.000]  歌詞是"I started a joke,我開始了一個玩笑"
[00:00:37.000 --> 00:00:44.000]  歌詞非常詭異,而且有荒謬感
[00:00:44.000 --> 00:00:46.000]  內容是說什麼呢?
[00:00:46.000 --> 00:00:49.000]  歌詞是"我開始了一個玩笑"
[00:00:49.000 --> 00:00:54.000]  這個玩笑讓全世界的人都落淚
[00:00:54.000 --> 00:01:02.000]  我沒有看到這個玩笑只是落在我身上
[00:01:02.000 --> 00:01:07.000]  這首歌曾經引起無數人的共鳴
[00:01:07.000 --> 00:01:11.000]  但亦都很少人能夠說得清楚
[00:01:11.000 --> 00:01:17.000]  這種揮之不去的荒謬感,到底來自哪裡呢?
[00:01:17.000 --> 00:01:23.000]  一個自以為在開玩笑的人
[00:01:23.000 --> 00:01:29.000]  他沒有發覺原來自己就是被這個玩笑來捉弄的人
[00:01:29.000 --> 00:01:38.000]  其實這首歌正正是德經義地說出我們今天所讀的經文的主題
[00:01:38.000 --> 00:01:42.000]  保羅在這段經文裏,其實是告訴我們
[00:01:42.000 --> 00:01:48.000]  人類一開始的時候,就玩了一個玩笑
[00:01:48.000 --> 00:01:52.000]  這個玩笑就是,人自覺這個宇宙裏面是沒有神
[00:01:52.000 --> 00:01:59.000]  所以人是試圖來定義什麼是自由,什麼是快樂
[00:01:59.000 --> 00:02:06.000]  人自己以為很聰明,但怎知道這場自編自導自演的戲碼
