
[00:00:00.000 --> 00:00:06.800]  今天我們繼續會看在馬達峰登山部份的八幅裏面
[00:00:06.800 --> 00:00:11.720]  今天我們來到八幅的第五個
[00:00:11.720 --> 00:00:18.360]  這是一個我們可能都有印象或者我們都熟悉的
[00:00:18.360 --> 00:00:25.080]  我們用了「連戌之心,人皆有之」作為今天講道的題目
[00:00:25.080 --> 00:00:28.600]  這節經文很短
[00:00:28.960 --> 00:00:33.440]  如果大家可以就在你自己的地方試試讀一次
[00:00:33.440 --> 00:00:35.040]  和合本又讀一次
[00:00:35.040 --> 00:00:37.000]  和修版又可以讀一次
[00:00:37.000 --> 00:00:40.000]  讓我們可以加深我們的印象
[00:00:40.000 --> 00:00:42.960]  我們讀一次馬達峰的第五章第七節
[00:00:42.960 --> 00:00:44.120]  預備起
[00:00:44.120 --> 00:00:50.880]  「連戌人的人有福了,因為他們別夢連戌」
[00:00:50.880 --> 00:00:58.040]  「連吻人的人有福了,因為他們別夢連吻」
[00:00:59.560 --> 00:01:01.680]  這節經文其實很簡單
[00:01:01.680 --> 00:01:05.960]  而且用詞差不多一樣
[00:01:05.960 --> 00:01:10.160]  有些和之前的四幅有些不同
[00:01:10.160 --> 00:01:14.760]  那四幅有些好像比較個人性多些
[00:01:14.760 --> 00:01:15.960]  虛心的人有福
[00:01:15.960 --> 00:01:17.680]  哀動的人有福
[00:01:17.680 --> 00:01:19.320]  溫柔的人有福
[00:01:19.320 --> 00:01:21.200]  饑渴無意的人有福
[00:01:21.200 --> 00:01:26.760]  有些比較多些是個人的生命素質直接多些
[00:01:26.760 --> 00:01:29.040]  這裏有少少不同
[00:01:29.040 --> 00:01:32.400]  如果大家留意是在說一個互動
[00:01:32.400 --> 00:01:35.240]  甚至可能有一個對象
[00:01:35.240 --> 00:01:39.320]  而這個互動或對象可以成為一個考驗
[00:01:39.320 --> 00:01:43.280]  正正就是在考驗人的生命素質是怎樣
[00:01:43.280 --> 00:01:49.440]  所以說到連戌人或者連吻人的人有福了
[00:01:49.440 --> 00:01:53.320]  所以我覺得這個是比較特別少少
[00:01:53.320 --> 00:01:56.000]  同樣的寫法八幅裏面
[00:01:56.000 --> 00:01:58.560]  主要是有兩個類似
[00:01:58.560 --> 00:02:00.560]  遲些會再看
