
[00:00:00.000 --> 00:00:02.720]  如果大家看一看你的年齡
[00:00:02.720 --> 00:00:05.780]  今天
[00:00:05.780 --> 00:00:07.740]  是一年
[00:00:07.740 --> 00:00:10.320]  差不多去到最後
[00:00:10.320 --> 00:00:12.500]  如果計算主日
[00:00:12.500 --> 00:00:16.400]  今天是本年度的最後一個主日
[00:00:16.400 --> 00:00:19.380]  但是
[00:00:19.380 --> 00:00:21.920]  在教會的年齡裏面
[00:00:21.920 --> 00:00:24.240]  今天
[00:00:24.240 --> 00:00:26.340]  是
[00:00:26.340 --> 00:00:29.380]  聖誕後第一主日
[00:00:30.940 --> 00:00:33.920]  雖然不是教會年齡的第一個主日
[00:00:33.920 --> 00:00:36.580]  但是也都標誌著一個
[00:00:36.580 --> 00:00:38.160]  新的開始
[00:00:38.160 --> 00:00:41.020]  這個小小的例子
[00:00:41.020 --> 00:00:43.300]  讓我們看見
[00:00:43.300 --> 00:00:45.580]  信徒
[00:00:45.580 --> 00:00:48.940]  雖然生活在世界裏面
[00:00:48.940 --> 00:00:53.480]  但是信仰和世界卻不完全一樣
[00:00:57.660 --> 00:01:00.040]  今天是聖誕後第一個主日
[00:01:00.040 --> 00:01:03.260]  經文告訴我們
[00:01:03.260 --> 00:01:05.500]  耶穌基督
[00:01:05.500 --> 00:01:07.940]  在福音書裏面開始
[00:01:07.940 --> 00:01:09.840]  出場
[00:01:09.840 --> 00:01:15.040]  福音書介紹耶穌基督出場的時候
[00:01:15.040 --> 00:01:19.060]  究竟耶穌基督是一個怎樣的形象呢?
[00:01:19.060 --> 00:01:22.560]  他是一個
[00:01:22.560 --> 00:01:26.660]  平凡的形象還是一個不凡的形象呢?
[00:01:28.660 --> 00:01:30.960]  在我們去看耶穌基督
[00:01:30.960 --> 00:01:34.160]  到底是平凡還是不凡之前呢?
[00:01:34.160 --> 00:01:37.960]  我們去想一想我們自己
[00:01:37.960 --> 00:01:41.960]  其實我們是怎樣看平凡和不凡的呢?
[00:01:41.960 --> 00:01:45.960]  在很久很久以前
[00:01:45.960 --> 00:01:48.960]  香港有一間旅行社
[00:01:48.960 --> 00:01:50.960]  現在已經結業了
[00:01:50.960 --> 00:01:52.960]  所以我們不怕再說它
[00:01:52.960 --> 00:01:57.460]  有一個街知巷聞的電視廣告
[00:01:57.960 --> 00:01:59.460]  不知道你還記不記得
[00:01:59.460 --> 00:02:01.960]  歌詞的頭幾句是這樣說的
[00:02:01.960 --> 00:02:03.960]  食得朝夕
[00:02:03.960 --> 00:02:05.460]  住得舒適
[00:02:05.460 --> 00:02:06.460]  遊得出色
[00:02:06.460 --> 00:02:07.460]  旅遊超值
[00:02:07.460 --> 00:02:10.460]  其實也不是很久
[00:02:10.460 --> 00:02:11.960]  因為我猜你還記得
[00:02:11.960 --> 00:02:18.460]  這幾句歌詞用輕鬆有趣的方式來描繪
[00:02:18.460 --> 00:02:20.960]  什麼是不平凡的旅行團
[00:02:20.960 --> 00:02:23.960]  而事實上
[00:02:25.460 --> 00:02:29.460]  人總是會渴慕和追求不凡的
[00:02:29.460 --> 00:02:32.460]  因為平凡是不用追求的
[00:02:32.460 --> 00:02:35.460]  平凡就是人的本相
[00:02:35.460 --> 00:02:38.460]  人人都是赤身出於母胎
[00:02:38.460 --> 00:02:39.460]  也是赤身歸回
[00:02:39.460 --> 00:02:42.460]  在創造的高度來看
[00:02:42.460 --> 00:02:45.460]  其實人人都是平凡的
[00:02:45.460 --> 00:02:48.460]  不過縱使是這樣
[00:02:48.460 --> 00:02:53.460]  人類從沒有放棄在這個平凡的人生裡面
[00:02:53.460 --> 00:02:55.460]  來追求不凡
[00:02:55.460 --> 00:02:57.460]  個人是這樣
[00:02:57.460 --> 00:02:59.460]  社會也是這樣
[00:02:59.460 --> 00:03:01.460]  不用說商界
[00:03:01.460 --> 00:03:03.460]  就算是教育界
[00:03:03.460 --> 00:03:05.460]  宗教界
[00:03:05.460 --> 00:03:06.460]  都會高舉不凡
[00:03:06.460 --> 00:03:09.460]  鞭策著每一個人脫離平凡
