
[00:00:00.000 --> 00:00:02.600]  那一個星期我們思想到
[00:00:02.600 --> 00:00:06.280]  是中國抗日70週年勝利
[00:00:06.280 --> 00:00:08.480]  那一個月裏我們想到
[00:00:08.480 --> 00:00:10.960]  原來我們有些人去到菲律賓
[00:00:10.960 --> 00:00:14.500]  在那個地方幾年前很高興去旅遊的時候
[00:00:14.500 --> 00:00:16.500]  竟然失去了生命
[00:00:16.500 --> 00:00:18.680]  在那麼多的歷史當中
[00:00:18.680 --> 00:00:21.040]  你發現到原來我有一個親戚
[00:00:21.040 --> 00:00:24.000]  他在南京大屠殺的時候遇害的
[00:00:24.000 --> 00:00:26.520]  現在70年的歷史
[00:00:26.520 --> 00:00:28.100]  我們在慶祝的時候
[00:00:28.100 --> 00:00:30.640]  你心裏面有許許多多的懷念
[00:00:30.640 --> 00:00:33.660]  但想想原來這70年來
[00:00:33.660 --> 00:00:36.660]  日本它已經成為一個強國
[00:00:36.660 --> 00:00:38.500]  但它還沒有肯道歉
[00:00:38.500 --> 00:00:39.820]  我們作為基督徒
[00:00:39.820 --> 00:00:42.960]  我也說耶穌基督求你憐憫他們
[00:00:42.960 --> 00:00:45.060]  希望有一天他們能夠明白
[00:00:45.060 --> 00:00:46.400]  能夠道歉
[00:00:46.400 --> 00:00:48.280]  不論怎樣也要追回
[00:00:48.280 --> 00:00:51.980]  但他們起碼自己都知道自己做錯事
[00:00:51.980 --> 00:00:53.800]  但是他們暫時知道的時候
[00:00:53.800 --> 00:00:57.000]  你還說我是不是仇視所有的日本人呢?
[00:00:57.000 --> 00:00:59.360]  當你和我看到聖經的保羅
[00:00:59.360 --> 00:01:00.720]  他講的經歷
[00:01:00.720 --> 00:01:04.280]  就是他在《菲律賓書》寫作的時候
[00:01:04.280 --> 00:01:08.920]  有不同的聖經學者有不同的結論
[00:01:08.920 --> 00:01:11.480]  有些人說保羅第一次在羅馬坐牢
[00:01:11.480 --> 00:01:12.680]  寫《菲律賓書》
[00:01:12.680 --> 00:01:14.560]  有些人說保羅在一個叫
[00:01:14.560 --> 00:01:17.580]  「蓋撒尼亞 斯塔利亞」的時候所寫的
[00:01:17.580 --> 00:01:19.440]  我自己看多一些的資料
[00:01:19.440 --> 00:01:23.880]  就發現多數是在《仕途行傳》28章
[00:01:23.880 --> 00:01:28.400]  保羅在那個地方就是一個軟禁的囚犯
[00:01:28.400 --> 00:01:31.200]  就是說他不需要去到今天的赤柱
[00:01:31.200 --> 00:01:32.800]  在那裏失去了自由
[00:01:32.800 --> 00:01:34.140]  他租了一個地方
[00:01:34.140 --> 00:01:37.080]  在那裏向來貪污的人
[00:01:37.080 --> 00:01:39.680]  來講福音、來做賄賂的工作
[00:01:39.680 --> 00:01:41.220]  沒有法律禁止
[00:01:41.220 --> 00:01:43.080]  起碼有兩年的時間
[00:01:43.080 --> 00:01:45.360]  在那兩年裏面他又想回到
[00:01:45.360 --> 00:01:47.960]  好像在《仕途行傳》第16章
[00:01:47.960 --> 00:01:50.480]  保羅第一次去到一個地方
[00:01:50.480 --> 00:01:52.440]  叫做是菲律賓
[00:01:52.440 --> 00:01:54.360]  大家都知道在那個地方
[00:01:54.360 --> 00:01:57.680]  保羅將福音從亞洲帶去歐洲
[00:01:57.680 --> 00:01:59.320]  太多人告訴我們
[00:01:59.320 --> 00:02:01.440]  信耶穌是西方的宗教
[00:02:01.440 --> 00:02:04.000]  有沒有想過福音的開始
[00:02:04.000 --> 00:02:07.000]  或者耶穌基督所踏足的地方
[00:02:07.000 --> 00:02:09.120]  我真希望他踏足我們的土瓜灣
[00:02:09.120 --> 00:02:11.240]  但當時耶穌所踏足的地方
[00:02:11.240 --> 00:02:14.320]  今天就好像一個火藥庫的中東地方
[00:02:14.320 --> 00:02:15.780]  耶穌在那個地方
[00:02:15.780 --> 00:02:18.780]  為你為我掛在十字架上
[00:02:18.780 --> 00:02:22.040]  親身擔當我的羞恥、我的罪
[00:02:22.040 --> 00:02:23.160]  世人的罪
[00:02:23.160 --> 00:02:24.460]  由耶穌基督的地方
[00:02:24.460 --> 00:02:25.840]  榮耀的復活
[00:02:25.840 --> 00:02:26.680]  升天
[00:02:26.680 --> 00:02:28.040]  祂說要再來
[00:02:28.040 --> 00:02:30.860]  接著就到保羅出現了
[00:02:30.860 --> 00:02:32.000]  他蒙召
[00:02:32.000 --> 00:02:34.980]  然後他第一次聽到神的呼召
[00:02:34.980 --> 00:02:37.420]  是要去到菲律賓的地方
[00:02:37.420 --> 00:02:39.180]  去那裏傳福音
[00:02:39.180 --> 00:02:41.880]  或者叫馬其頓的Macedonia Call
[00:02:41.880 --> 00:02:44.760]  他去到馬其頓的第一個城市
[00:02:44.760 --> 00:02:47.360]  去到那個地方傳福音
[00:02:47.360 --> 00:02:50.520]  他遇到第一個聽他講福音的人
[00:02:50.520 --> 00:02:51.800]  這個人是誰呢?
[00:02:51.800 --> 00:02:53.200]  是一位姊妹
[00:02:53.200 --> 00:02:57.100]  這位姊妹在聖經裏面說她賣紫色的布
[00:02:57.100 --> 00:02:59.180]  她的名字叫做女底牙
[00:02:59.180 --> 00:03:02.080]  你有沒有想過為何聖經那麼小心地說
[00:03:02.080 --> 00:03:03.640]  賣紫色的布呢?
